variant,length_mm,length_in,powder_mm3,powder_mL
1,40,1.575,7224.9,7.225
1,45,1.772,8640.4,8.64
1,50,1.969,10055.9,10.056
1,55,2.165,11471.4,11.471
1,60,2.362,12886.8,12.887
1,65,2.559,14302.3,14.302
1,70,2.756,15717.8,15.718
1,75,2.953,17133.3,17.133
1,80,3.15,18548.7,18.549
1,85,3.346,19964.2,19.964
1,90,3.543,21379.7,21.38
1,95,3.74,22795.2,22.795
1,100,3.937,24210.6,24.211
1,105,4.134,25626.1,25.626
1,110,4.331,27041.6,27.042
1,115,4.528,28457.1,28.457
1,120,4.724,29872.5,29.873
1,125,4.921,31288.0,31.288
1,130,5.118,32703.5,32.703
1,135,5.315,34119.0,34.119
1,140,5.512,35534.4,35.534
1,145,5.709,36949.9,36.95
1,150,5.906,38365.4,38.365
1,155,6.102,39780.9,39.781
1,160,6.299,41196.3,41.196
1,165,6.496,42611.8,42.612
1,170,6.693,44027.3,44.027
1,175,6.89,45442.8,45.443
1,180,7.087,46858.2,46.858
1,185,7.283,48273.7,48.274
1,190,7.48,49689.2,49.689
1,195,7.677,51104.7,51.105
1,200,7.874,52520.1,52.52
1,205,8.071,53935.6,53.936
1,210,8.268,55351.1,55.351
1,215,8.465,56766.6,56.767
1,220,8.661,58182.0,58.182
1,225,8.858,59597.5,59.598
1,230,9.055,61013.0,61.013
1,235,9.252,62428.5,62.428
1,240,9.449,63843.9,63.844
1,245,9.646,65259.4,65.259
1,250,9.843,66674.9,66.675
1,255,10.039,68090.4,68.09
1,260,10.236,69505.9,69.506
2,40,1.575,9144.3,9.144
2,45,1.772,10559.8,10.56
2,50,1.969,11975.3,11.975
2,55,2.165,13390.7,13.391
2,60,2.362,14806.2,14.806
2,65,2.559,16221.7,16.222
2,70,2.756,17637.2,17.637
2,75,2.953,19052.6,19.053
2,80,3.15,20468.1,20.468
2,85,3.346,21883.6,21.884
2,90,3.543,23299.1,23.299
2,95,3.74,24714.5,24.715
2,100,3.937,26130.0,26.13
2,105,4.134,27545.5,27.545
2,110,4.331,28961.0,28.961
2,115,4.528,30376.4,30.376
2,120,4.724,31791.9,31.792
2,125,4.921,33207.4,33.207
2,130,5.118,34622.9,34.623
2,135,5.315,36038.3,36.038
2,140,5.512,37453.8,37.454
2,145,5.709,38869.3,38.869
2,150,5.906,40284.8,40.285
2,155,6.102,41700.2,41.7
2,160,6.299,43115.7,43.116
2,165,6.496,44531.2,44.531
2,170,6.693,45946.7,45.947
2,175,6.89,47362.1,47.362
2,180,7.087,48777.6,48.778
2,185,7.283,50193.1,50.193
2,190,7.48,51608.6,51.609
2,195,7.677,53024.0,53.024
2,200,7.874,54439.5,54.44
2,205,8.071,55855.0,55.855
2,210,8.268,57270.5,57.27
2,215,8.465,58685.9,58.686
2,220,8.661,60101.4,60.101
2,225,8.858,61516.9,61.517
2,230,9.055,62932.4,62.932
2,235,9.252,64347.8,64.348
2,240,9.449,65763.3,65.763
2,245,9.646,67178.8,67.179
2,250,9.843,68594.3,68.594
2,255,10.039,70009.7,70.01
2,260,10.236,71425.2,71.425
3,40,1.575,7478.3,7.478
3,45,1.772,8893.8,8.894
3,50,1.969,10309.3,10.309
3,55,2.165,11724.7,11.725
3,60,2.362,13140.2,13.14
3,65,2.559,14555.7,14.556
3,70,2.756,15971.2,15.971
3,75,2.953,17386.6,17.387
3,80,3.15,18802.1,18.802
3,85,3.346,20217.6,20.218
3,90,3.543,21633.1,21.633
3,95,3.74,23048.6,23.049
3,100,3.937,24464.0,24.464
3,105,4.134,25879.5,25.88
3,110,4.331,27295.0,27.295
3,115,4.528,28710.5,28.71
3,120,4.724,30125.9,30.126
3,125,4.921,31541.4,31.541
3,130,5.118,32956.9,32.957
3,135,5.315,34372.4,34.372
3,140,5.512,35787.8,35.788
3,145,5.709,37203.3,37.203
3,150,5.906,38618.8,38.619
3,155,6.102,40034.3,40.034
3,160,6.299,41449.7,41.45
3,165,6.496,42865.2,42.865
3,170,6.693,44280.7,44.281
3,175,6.89,45696.2,45.696
3,180,7.087,47111.6,47.112
3,185,7.283,48527.1,48.527
3,190,7.48,49942.6,49.943
3,195,7.677,51358.1,51.358
3,200,7.874,52773.5,52.774
3,205,8.071,54189.0,54.189
3,210,8.268,55604.5,55.604
3,215,8.465,57020.0,57.02
3,220,8.661,58435.4,58.435
3,225,8.858,59850.9,59.851
3,230,9.055,61266.4,61.266
3,235,9.252,62681.9,62.682
3,240,9.449,64097.3,64.097
3,245,9.646,65512.8,65.513
3,250,9.843,66928.3,66.928
3,255,10.039,68343.8,68.344
3,260,10.236,69759.2,69.759
4,40,1.575,7394.3,7.394
4,45,1.772,8809.8,8.81
4,50,1.969,10225.3,10.225
4,55,2.165,11640.7,11.641
4,60,2.362,13056.2,13.056
4,65,2.559,14471.7,14.472
4,70,2.756,15887.2,15.887
4,75,2.953,17302.7,17.303
