block,kind,t_start_s,t_end_s,dur_s,n_frames,n_datums,sigma_detr_mg,p2p_mg,slope_mg_per_min,delta_mg,st_frac,first_stable_s
quiet_pre,quiet,5.047,124.968,119.921,1249,327,4.496512431611832,18.000000000000018,-0.6543318867048398,-6.933333333333348,0.6373098478783027,0.383
tap_single,tap,125.064,247.377,122.31300000000002,1257,756,10.708467155428666,56.900000000000006,-7.846248525012008,-7.783333333333335,0.26252983293556087,0.0
quiet_mid1,quiet,247.473,277.405,29.93199999999996,313,188,1.391067231321528,12.199999999999989,19.140934747150922,9.849999999999987,0.28115015974440893,2.5819999999999936
tap_burst,tap,277.501,347.025,69.524,669,356,9.188048937604188,30.299999999999994,-4.28866895773851,-3.549999999999997,0.3602391629297459,0.09600000000000364
quiet_mid2,quiet,347.121,377.053,29.932000000000016,313,151,0.8952354580239357,3.9000000000000146,2.832715568537175,-0.4833333333333171,0.3514376996805112,1.7210000000000036
auger15_p1,auger,377.161,392.067,14.906000000000006,156,144,4.505145800922419,21.300000000000043,-17.01143891424107,-6.700000000000012,0.038461538461538464,0.0
post_auger15_p1,post,392.163,407.082,14.918999999999983,156,42,1.3181925976631983,5.599999999999994,-13.801187092546932,0.34999999999997033,0.5576923076923077,1.4350000000000023
auger30_p1,auger,407.178,422.096,14.918000000000006,156,140,4.035797810147432,19.900000000000027,15.015392033068872,2.7666666666666853,0.05128205128205128,0.0
post_auger30_p1,post,422.19,437.112,14.922000000000025,157,37,3.2762001908570797,12.299999999999978,14.180721376447778,9.21666666666667,0.7261146496815286,2.201000000000022
auger55_p1,auger,437.207,452.124,14.91700000000003,157,145,4.551492224220999,28.899999999999984,21.39805630741612,-8.40000000000001,0.05732484076433121,0.0
post_auger55_p1,post,452.22,467.138,14.91799999999995,156,33,3.433747885007085,18.500000000000014,15.195382239456748,8.250000000000025,0.7564102564102564,1.625
auger75_p1,auger,467.234,482.152,14.918000000000006,157,142,3.900107789568939,23.799999999999986,-34.532466811662786,-17.36666666666666,0.07643312101910828,0.0
post_auger75_p1,post,482.248,497.166,14.918000000000006,156,48,8.357354901120267,30.800000000000047,41.1798744607706,29.099999999999987,0.5128205128205128,1.913000000000011
auger75_p2,auger,497.262,512.18,14.91799999999995,157,147,6.838783064818992,41.40000000000005,-39.21772471435571,-24.700000000000003,0.0,
post_auger75_p2,post,512.276,527.196,14.920000000000073,157,38,16.196949149087313,53.400000000000006,69.37171525659782,51.19999999999999,0.6496815286624203,1.625
auger55_p2,auger,527.397,542.209,14.811999999999898,155,152,7.811071604582077,48.70000000000002,-52.93849267974604,-31.400000000000006,0.0064516129032258064,0.37199999999995725
post_auger55_p2,post,542.305,557.224,14.919000000000096,157,49,8.6411511795579,31.99999999999997,35.63449074648315,28.283333333333346,0.46496815286624205,1.62600000000009
auger30_p2,auger,557.32,572.237,14.916999999999916,157,139,5.068500420253174,35.2,-18.767401136173163,-27.183333333333337,0.044585987261146494,0.0
post_auger30_p2,post,572.333,587.252,14.918999999999983,155,38,2.5230248552499486,10.699999999999989,18.054108748387943,8.18333333333333,0.7161290322580646,1.8170000000000073
auger15_p2,auger,587.347,602.265,14.918000000000006,157,146,6.374026274998754,32.2,-7.046359903171328,-6.199999999999993,0.050955414012738856,0.0
post_auger15_p2,post,602.361,617.279,14.918000000000006,157,45,8.441433592011716,29.700000000000003,29.463374672089042,26.16666666666667,0.5923566878980892,1.625
quiet_mid3,quiet,617.375,647.31,29.934999999999945,312,33,0.29610484764367023,3.1999999999999815,7.5053183236845875,2.699999999999985,0.9038461538461539,0.0
stepper_hold,hold,647.404,667.391,19.986999999999966,210,96,2.4719507750638843,18.600000000000005,15.255956401037224,-9.500000000000009,0.4,0.0
auger_steps,auger,667.487,732.42,64.93299999999999,418,176,13.268427638489486,61.20000000000003,-8.149058537217742,-32.28333333333333,0.47607655502392343,0.0
quiet_mid4,quiet,732.516,762.448,29.932000000000016,313,51,0.3897979545663974,4.5999999999999925,9.51093771800814,4.583333333333329,0.7827476038338658,0.0
combined,combined,762.544,782.531,19.986999999999966,189,171,4.53640169586995,23.399999999999977,9.933162355342247,5.0333333333333545,0.047619047619047616,0.0
post_combined,post,782.728,802.614,19.88600000000008,208,39,13.18596868799227,42.3,34.39756420805318,39.91666666666667,0.7836538461538461,1.7160000000000082
servo_moves,servo,803.474,832.452,28.977999999999952,250,82,8.759181013187579,56.699999999999974,6.469949744613321,-13.899999999999988,0.592,1.4349999999999454
quiet_post,quiet,832.548,952.469,119.92100000000005,1247,252,1.0881455352594809,19.400000000000027,9.007201727067843,18.36666666666666,0.7217321571772254,0.0
