t_ms,block,mass_g,flag,rpm,taps,servo_deg,dev_mg
3332,quiet_pre,-0.0222,S,0.0,0,0.0,-3.100000000000002
3428,quiet_pre,-0.0222,S,0.0,0,0.0,-3.100000000000002
3524,quiet_pre,-0.0222,S,0.0,0,0.0,-3.100000000000002
3619,quiet_pre,-0.0222,S,0.0,0,0.0,-3.100000000000002
3715,quiet_pre,-0.0222,S,0.0,0,0.0,-3.100000000000002
3811,quiet_pre,-0.0222,S,0.0,0,0.0,-3.100000000000002
3905,quiet_pre,-0.0222,S,0.0,0,0.0,-3.100000000000002
4001,quiet_pre,-0.0222,S,0.0,0,0.0,-3.100000000000002
4097,quiet_pre,-0.0221,S,0.0,0,0.0,-3.0000000000000027
4193,quiet_pre,-0.0221,S,0.0,0,0.0,-3.0000000000000027
4289,quiet_pre,-0.0221,S,0.0,0,0.0,-3.0000000000000027
4384,quiet_pre,-0.0221,S,0.0,0,0.0,-3.0000000000000027
4480,quiet_pre,-0.0221,S,0.0,0,0.0,-3.0000000000000027
4576,quiet_pre,-0.0221,S,0.0,0,0.0,-3.0000000000000027
4672,quiet_pre,-0.0221,S,0.0,0,0.0,-3.0000000000000027
4768,quiet_pre,-0.0221,S,0.0,0,0.0,-3.0000000000000027
4862,quiet_pre,-0.022,S,0.0,0,0.0,-2.9
4958,quiet_pre,-0.022,S,0.0,0,0.0,-2.9
5053,quiet_pre,-0.0218,U,0.0,0,0.0,-2.700000000000001
5149,quiet_pre,-0.0218,U,0.0,0,0.0,-2.700000000000001
5245,quiet_pre,-0.0217,U,0.0,0,0.0,-2.6000000000000014
5341,quiet_pre,-0.0216,U,0.0,0,0.0,-2.500000000000002
5437,quiet_pre,-0.0216,U,0.0,0,0.0,-2.500000000000002
5533,quiet_pre,-0.0215,U,0.0,0,0.0,-2.3999999999999995
5628,quiet_pre,-0.0214,U,0.0,0,0.0,-2.3
5722,quiet_pre,-0.0214,U,0.0,0,0.0,-2.3
5818,quiet_pre,-0.0213,U,0.0,0,0.0,-2.2000000000000006
5914,quiet_pre,-0.0212,U,0.0,0,0.0,-2.100000000000001
6010,quiet_pre,-0.0211,U,0.0,0,0.0,-2.0000000000000018
6106,quiet_pre,-0.0211,U,0.0,0,0.0,-2.0000000000000018
6202,quiet_pre,-0.021,U,0.0,0,0.0,-1.9000000000000024
6297,quiet_pre,-0.0209,U,0.0,0,0.0,-1.7999999999999996
6393,quiet_pre,-0.0208,U,0.0,0,0.0,-1.7000000000000002
6489,quiet_pre,-0.0207,U,0.0,0,0.0,-1.6000000000000008
6583,quiet_pre,-0.0206,U,0.0,0,0.0,-1.5000000000000013
6679,quiet_pre,-0.0205,U,0.0,0,0.0,-1.400000000000002
6775,quiet_pre,-0.0204,U,0.0,0,0.0,-1.3000000000000025
6870,quiet_pre,-0.0204,U,0.0,0,0.0,-1.3000000000000025
6966,quiet_pre,-0.0203,U,0.0,0,0.0,-1.1999999999999997
7062,quiet_pre,-0.0203,U,0.0,0,0.0,-1.1999999999999997
7158,quiet_pre,-0.0202,U,0.0,0,0.0,-1.1000000000000003
7254,quiet_pre,-0.0202,U,0.0,0,0.0,-1.1000000000000003
7350,quiet_pre,-0.0202,U,0.0,0,0.0,-1.1000000000000003
7443,quiet_pre,-0.0202,S,0.0,0,0.0,-1.1000000000000003
7539,quiet_pre,-0.0201,U,0.0,0,0.0,-1.0000000000000009
7635,quiet_pre,-0.0201,S,0.0,0,0.0,-1.0000000000000009
7731,quiet_pre,-0.0201,S,0.0,0,0.0,-1.0000000000000009
7827,quiet_pre,-0.0201,S,0.0,0,0.0,-1.0000000000000009
7923,quiet_pre,-0.0202,S,0.0,0,0.0,-1.1000000000000003
8019,quiet_pre,-0.0202,S,0.0,0,0.0,-1.1000000000000003
8114,quiet_pre,-0.0202,S,0.0,0,0.0,-1.1000000000000003
8210,quiet_pre,-0.0202,S,0.0,0,0.0,-1.1000000000000003
8306,quiet_pre,-0.0203,U,0.0,0,0.0,-1.1999999999999997
8400,quiet_pre,-0.0203,S,0.0,0,0.0,-1.1999999999999997
8496,quiet_pre,-0.0203,S,0.0,0,0.0,-1.1999999999999997
8592,quiet_pre,-0.0203,S,0.0,0,0.0,-1.1999999999999997
8688,quiet_pre,-0.0204,U,0.0,0,0.0,-1.3000000000000025
8783,quiet_pre,-0.0204,S,0.0,0,0.0,-1.3000000000000025
8879,quiet_pre,-0.0204,S,0.0,0,0.0,-1.3000000000000025
8975,quiet_pre,-0.0204,S,0.0,0,0.0,-1.3000000000000025
9071,quiet_pre,-0.0204,S,0.0,0,0.0,-1.3000000000000025
9167,quiet_pre,-0.0204,S,0.0,0,0.0,-1.3000000000000025
9261,quiet_pre,-0.0205,S,0.0,0,0.0,-1.400000000000002
9356,quiet_pre,-0.0206,U,0.0,0,0.0,-1.5000000000000013
9452,quiet_pre,-0.0206,U,0.0,0,0.0,-1.5000000000000013
9548,quiet_pre,-0.0206,U,0.0,0,0.0,-1.5000000000000013
9644,quiet_pre,-0.0206,U,0.0,0,0.0,-1.5000000000000013
9740,quiet_pre,-0.0206,S,0.0,0,0.0,-1.5000000000000013
9836,quiet_pre,-0.0206,S,0.0,0,0.0,-1.5000000000000013
9931,quiet_pre,-0.0206,S,0.0,0,0.0,-1.5000000000000013
10027,quiet_pre,-0.0206,S,0.0,0,0.0,-1.5000000000000013
10129,quiet_pre,-0.0206,S,0.0,0,0.0,-1.5000000000000013
10219,quiet_pre,-0.0205,S,0.0,0,0.0,-1.400000000000002
10313,quiet_pre,-0.0205,S,0.0,0,0.0,-1.400000000000002
10409,quiet_pre,-0.0205,S,0.0,0,0.0,-1.400000000000002
10505,quiet_pre,-0.0205,S,0.0,0,0.0,-1.400000000000002
10600,quiet_pre,-0.0205,S,0.0,0,0.0,-1.400000000000002
10696,quiet_pre,-0.0205,S,0.0,0,0.0,-1.400000000000002
10792,quiet_pre,-0.0205,S,0.0,0,0.0,-1.400000000000002
10888,quiet_pre,-0.0204,S,0.0,0,0.0,-1.3000000000000025
10984,quiet_pre,-0.0204,S,0.0,0,0.0,-1.3000000000000025
11078,quiet_pre,-0.0204,S,0.0,0,0.0,-1.3000000000000025
11173,quiet_pre,-0.0201,U,0.0,0,0.0,-1.0000000000000009
11269,quiet_pre,-0.0201,U,0.0,0,0.0,-1.0000000000000009
11364,quiet_pre,-0.02,U,0.0,0,0.0,-0.9000000000000015
11460,quiet_pre,-0.02,U,0.0,0,0.0,-0.9000000000000015
11556,quiet_pre,-0.02,U,0.0,0,0.0,-0.9000000000000015
11652,quiet_pre,-0.02,S,0.0,0,0.0,-0.9000000000000015
11749,quiet_pre,-0.0199,U,0.0,0,0.0,-0.800000000000002
11844,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
11938,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
12034,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
12130,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
12226,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
12322,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
12417,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
12513,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
12609,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
12705,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
12799,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
12895,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
12991,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
13087,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
13182,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
13278,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
13374,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
13470,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
13566,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
13662,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
13756,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
13851,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
13947,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
14043,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
14139,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
14235,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
14331,quiet_pre,-0.0199,S,0.0,0,0.0,-0.800000000000002
