event,t_rel_s,dev_mg,flag
"TAP,1",-0.922,0.07999999999999918,S
"TAP,1",-0.826,0.07999999999999918,S
"TAP,1",-0.731,-0.020000000000000018,S
"TAP,1",-0.635,-0.020000000000000018,S
"TAP,1",-0.539,-0.020000000000000018,S
"TAP,1",-0.443,-0.020000000000000018,S
"TAP,1",-0.347,-0.020000000000000018,S
"TAP,1",-0.251,-0.020000000000000018,S
"TAP,1",-0.155,-0.020000000000000018,S
"TAP,1",-0.062,-0.020000000000000018,S
"TAP,1",0.132,-0.020000000000000018,S
"TAP,1",0.226,-0.020000000000000018,S
"TAP,1",0.322,-0.020000000000000018,S
"TAP,1",0.418,-0.020000000000000018,S
"TAP,1",0.514,-0.020000000000000018,S
"TAP,1",0.609,-0.020000000000000018,S
"TAP,1",0.71,-0.11999999999999922,S
"TAP,1",0.799,-0.11999999999999922,S
"TAP,1",0.895,-0.11999999999999922,S
"TAP,1",0.99,10.48,U
"TAP,1",1.086,17.18,U
"TAP,1",1.182,23.68,U
"TAP,1",1.278,29.879999999999995,U
"TAP,1",1.374,35.78,U
"TAP,1",1.469,41.88,U
"TAP,1",1.565,47.88,U
"TAP,1",1.661,53.78,U
"TAP,1",1.755,59.480000000000004,U
"TAP,1",1.851,64.98,U
"TAP,1",1.947,70.67999999999999,U
"TAP,1",2.043,76.38000000000001,U
"TAP,1",2.138,82.18,U
"TAP,1",2.234,87.78,U
"TAP,1",2.33,93.28,U
"TAP,1",2.426,98.78000000000002,U
"TAP,1",2.522,104.08000000000001,U
"TAP,1",2.616,109.08000000000001,U
"TAP,1",2.711,113.38000000000001,U
"TAP,1",2.807,116.57999999999998,U
"TAP,1",2.903,118.28,U
"TAP,1",2.999,118.78,U
"TAP,1",3.095,118.68,U
"TAP,1",3.191,118.37999999999998,U
"TAP,1",3.287,118.28,U
"TAP,1",3.383,118.18,U
"TAP,1",3.476,118.18,U
"TAP,1",3.572,118.28,U
"TAP,1",3.668,118.28,S
"TAP,1",3.764,118.28,S
"TAP,1",3.86,118.28,S
"TAP,1",3.956,118.28,S
"TAP,1",4.051,118.28,S
"TAP,1",4.147,118.28,S
"TAP,1",4.243,118.28,S
"TAP,1",4.339,118.28,S
"TAP,1",4.433,118.28,S
"TAP,2",-0.923,-0.12999999999998124,U
"TAP,2",-0.829,-0.12999999999998124,S
"TAP,2",-0.733,-0.12999999999998124,S
"TAP,2",-0.637,-0.12999999999998124,S
"TAP,2",-0.542,-0.029999999999972715,U
"TAP,2",-0.446,0.0700000000000216,U
"TAP,2",-0.35,0.0700000000000216,U
"TAP,2",-0.254,0.0700000000000216,U
"TAP,2",-0.158,0.1700000000000017,U
"TAP,2",-0.062,0.1700000000000017,U
"TAP,2",0.132,0.37000000000001876,U
"TAP,2",0.223,0.37000000000001876,U
"TAP,2",0.319,0.4700000000000273,U
"TAP,2",0.415,0.4700000000000273,U
"TAP,2",0.511,0.5700000000000216,U
"TAP,2",0.606,0.7700000000000244,U
"TAP,2",0.702,10.570000000000022,U
"TAP,2",0.798,20.970000000000027,U
"TAP,2",0.894,34.77000000000004,U
"TAP,2",0.987,49.170000000000016,U
"TAP,2",1.083,61.670000000000044,U
"TAP,2",1.179,71.27000000000004,U
"TAP,2",1.275,78.77000000000004,U
"TAP,2",1.371,84.97000000000003,U
"TAP,2",1.467,90.17000000000004,U
"TAP,2",1.562,94.27000000000004,U
"TAP,2",1.658,96.87,U
"TAP,2",1.754,97.77000000000004,U
"TAP,2",1.848,97.47000000000003,U
"TAP,2",1.944,96.67000000000004,U
"TAP,2",2.04,96.07000000000002,U
"TAP,2",2.136,95.87,U
"TAP,2",2.231,95.77000000000004,U
"TAP,2",2.327,95.87,U
"TAP,2",2.423,95.87,U
"TAP,2",2.519,95.87,U
"TAP,2",2.615,95.97000000000003,U
"TAP,2",2.709,95.97000000000003,U
"TAP,2",2.805,96.07000000000002,U
"TAP,2",2.901,96.17000000000004,U
"TAP,2",2.996,96.17000000000004,U
"TAP,2",3.092,96.17000000000004,U
"TAP,2",3.188,96.17000000000004,U
"TAP,2",3.284,96.17000000000004,S
"TAP,2",3.38,96.17000000000004,S
"TAP,2",3.476,96.17000000000004,S
"TAP,2",3.572,96.17000000000004,S
"TAP,2",3.665,96.17000000000004,S
"TAP,2",3.761,96.17000000000004,S
"TAP,2",3.857,96.17000000000004,S
"TAP,2",3.953,96.17000000000004,S
"TAP,2",4.049,96.17000000000004,S
"TAP,2",4.145,96.17000000000004,S
"TAP,2",4.241,96.17000000000004,S
"TAP,2",4.337,96.27000000000004,S
"TAP,2",4.432,96.27000000000004,S
"TAP,3",-0.923,-0.08999999999994657,S
"TAP,3",-0.827,0.010000000000019327,S
"TAP,3",-0.733,0.010000000000019327,S
"TAP,3",-0.637,0.010000000000019327,S
"TAP,3",-0.541,0.010000000000019327,S
"TAP,3",-0.445,0.010000000000019327,S
"TAP,3",-0.35,0.010000000000019327,S
"TAP,3",-0.254,0.010000000000019327,S
"TAP,3",-0.158,0.010000000000019327,S
"TAP,3",-0.062,0.010000000000019327,S
"TAP,3",0.131,0.010000000000019327,S
"TAP,3",0.224,0.010000000000019327,S
"TAP,3",0.32,0.010000000000019327,S
"TAP,3",0.415,0.010000000000019327,S
"TAP,3",0.511,0.010000000000019327,S
"TAP,3",0.607,-0.4899999999999807,U
"TAP,3",0.702,-7.489999999999952,U
"TAP,3",0.798,-10.489999999999952,U
"TAP,3",0.894,-11.489999999999952,U
"TAP,3",0.99,-9.289999999999935,U
"TAP,3",1.083,-4.089999999999975,U
"TAP,3",1.179,2.310000000000059,U
"TAP,3",1.286,8.31000000000003,U
"TAP,3",1.467,14.110000000000042,U
"TAP,3",1.563,14.110000000000042,U
"TAP,3",1.658,13.410000000000053,U
"TAP,3",1.754,12.710000000000036,U
"TAP,3",1.85,12.31000000000003,U
"TAP,3",1.944,12.31000000000003,U
"TAP,3",2.04,12.210000000000036,U
"TAP,3",2.136,12.210000000000036,U
"TAP,3",2.232,12.210000000000036,U
"TAP,3",2.328,12.210000000000036,S
"TAP,3",2.423,12.210000000000036,S
"TAP,3",2.519,12.210000000000036,S
"TAP,3",2.615,12.210000000000036,S
"TAP,3",2.711,12.210000000000036,S
"TAP,3",2.807,12.31000000000003,S
"TAP,3",2.901,12.31000000000003,S
"TAP,3",2.997,12.31000000000003,S
"TAP,3",3.092,12.410000000000053,U
"TAP,3",3.188,12.410000000000053,U
"TAP,3",3.284,12.410000000000053,S
"TAP,3",3.38,12.510000000000048,U
"TAP,3",3.476,12.510000000000048,U
"TAP,3",3.572,12.510000000000048,S
"TAP,3",3.668,12.510000000000048,S
"TAP,3",3.762,12.610000000000042,U
"TAP,3",3.857,12.610000000000042,S
"TAP,3",3.953,12.710000000000036,U
"TAP,3",4.049,12.710000000000036,U
"TAP,3",4.145,12.81000000000003,U
"TAP,3",4.241,12.910000000000053,U
"TAP,3",4.337,12.910000000000053,U
"TAP,3",4.433,13.010000000000048,U
"TAP,4",-0.923,-0.28000000000000114,U
"TAP,4",-0.827,-0.18000000000000682,U
"TAP,4",-0.731,-0.18000000000000682,U
"TAP,4",-0.635,-0.0800000000000125,U
"TAP,4",-0.541,-0.0800000000000125,U
"TAP,4",-0.446,0.01999999999998181,U
"TAP,4",-0.35,0.11999999999997613,U
"TAP,4",-0.254,0.11999999999997613,U
"TAP,4",-0.158,0.21999999999999886,U
"TAP,4",-0.062,0.3199999999999932,U
"TAP,4",0.131,0.4199999999999875,U
"TAP,4",0.225,0.5199999999999818,U
"TAP,4",0.319,0.5199999999999818,U
"TAP,4",0.415,0.6199999999999761,U
"TAP,4",0.511,0.7199999999999989,U
"TAP,4",0.607,0.8199999999999932,U
"TAP,4",0.703,1.0199999999999818,U
"TAP,4",0.798,11.620000000000005,U
"TAP,4",0.894,21.71999999999997,U
"TAP,4",0.99,33.51999999999998,U
"TAP,4",1.086,43.91999999999996,U
"TAP,4",1.179,50.71999999999997,U
"TAP,4",1.275,53.71999999999997,U
"TAP,4",1.371,54.21999999999997,U
"TAP,4",1.467,53.620000000000005,U
"TAP,4",1.563,52.91999999999996,U
