block,kind,t_start_s,t_end_s,dur_s,n_frames,n_datums,sigma_detr_mg,p2p_mg,slope_mg_per_min,delta_mg,st_frac,first_stable_s
quiet_pre,quiet,1.679,121.6,119.92099999999999,1251,1,0.0,0.0,0.0,0.0,1.0,0.0
tap_single,tap,121.696,244.008,122.31200000000001,1255,1,0.0,0.0,0.0,0.0,1.0,0.0
quiet_mid1,quiet,244.104,274.036,29.931999999999988,312,1,0.0,0.0,0.0,0.0,1.0,0.0
tap_burst,tap,274.132,343.656,69.524,669,1,0.0,0.0,0.0,0.0,1.0,0.0
quiet_mid2,quiet,343.752,373.684,29.932000000000016,312,1,0.0,0.0,0.0,0.0,1.0,0.0
auger15_p1,auger,373.78,388.698,14.918000000000006,157,3,0.04676793267367802,0.1,-0.008367053858982263,0.0,1.0,0.0
post_auger15_p1,post,388.794,403.712,14.918000000000006,156,5,0.04908732868348628,0.1,-0.023586176430900295,0.0,1.0,0.0
auger30_p1,auger,403.808,418.728,14.920000000000016,156,1,0.0,0.0,0.0,0.0,1.0,0.0
post_auger30_p1,post,418.822,433.742,14.920000000000016,156,1,0.0,0.0,0.0,0.0,1.0,0.0
auger55_p1,auger,433.942,448.755,14.812999999999988,154,1,0.0,0.0,0.0,0.0,1.0,0.0
post_auger55_p1,post,448.945,463.865,14.920000000000016,157,1,0.0,0.0,0.0,0.0,1.0,0.0
auger75_p1,auger,463.961,478.879,14.918000000000006,157,1,0.0,0.0,0.0,0.0,1.0,0.0
post_auger75_p1,post,478.975,493.893,14.91799999999995,156,1,0.0,0.0,0.0,0.0,1.0,0.0
auger75_p2,auger,493.989,508.907,14.918000000000006,156,1,0.0,0.0,0.0,0.0,1.0,0.0
post_auger75_p2,post,509.003,523.921,14.918000000000063,156,1,0.0,0.0,0.0,0.0,1.0,0.0
auger55_p2,auger,524.017,538.935,14.917999999999893,156,1,0.0,0.0,0.0,0.0,1.0,0.0
post_auger55_p2,post,539.031,553.949,14.918000000000006,157,1,0.0,0.0,0.0,0.0,1.0,0.0
auger30_p2,auger,554.045,568.963,14.918000000000006,155,1,0.0,0.0,0.0,0.0,1.0,0.0
post_auger30_p2,post,569.059,583.977,14.918000000000006,157,1,0.0,0.0,0.0,0.0,1.0,0.0
auger15_p2,auger,584.073,598.991,14.918000000000006,156,1,0.0,0.0,0.0,0.0,1.0,0.0
post_auger15_p2,post,599.086,614.006,14.919999999999959,156,1,0.0,0.0,0.0,0.0,1.0,0.0
quiet_mid3,quiet,614.101,644.034,29.932999999999993,314,1,0.0,0.0,0.0,0.0,1.0,0.0
stepper_hold,hold,644.13,664.116,19.98599999999999,207,1,0.0,0.0,0.0,0.0,1.0,0.0
auger_steps,auger,664.212,729.242,65.02999999999997,419,1,0.0,0.0,0.0,0.0,1.0,0.0
quiet_mid4,quiet,729.337,759.269,29.932000000000016,314,1,0.0,0.0,0.0,0.0,1.0,0.0
combined,combined,759.365,779.351,19.98599999999999,191,1,0.0,0.0,0.0,0.0,1.0,0.0
post_combined,post,779.547,799.435,19.88799999999992,208,1,0.0,0.0,0.0,0.0,1.0,0.0
servo_moves,servo,800.296,829.271,28.97499999999991,249,7,0.06318001349287986,0.2,-0.020334229896516835,0.0,1.0,0.0
quiet_post,quiet,829.463,949.289,119.82600000000002,1253,23,1.0876106905825917,4.699999999999999,-0.0004055878889699242,0.0,0.9792498004788508,0.0
