t_ms,block,mass_g,flag,rpm,taps,servo_deg,dev_mg
1679,quiet_pre,0.0,S,0.0,0,0.0,0.0
1775,quiet_pre,0.0,S,0.0,0,0.0,0.0
1871,quiet_pre,0.0,S,0.0,0,0.0,0.0
1966,quiet_pre,0.0,S,0.0,0,0.0,0.0
2062,quiet_pre,0.0,S,0.0,0,0.0,0.0
2158,quiet_pre,0.0,S,0.0,0,0.0,0.0
2254,quiet_pre,0.0,S,0.0,0,0.0,0.0
2348,quiet_pre,0.0,S,0.0,0,0.0,0.0
2443,quiet_pre,0.0,S,0.0,0,0.0,0.0
2539,quiet_pre,0.0,S,0.0,0,0.0,0.0
2635,quiet_pre,0.0,S,0.0,0,0.0,0.0
2732,quiet_pre,0.0,S,0.0,0,0.0,0.0
2827,quiet_pre,0.0,S,0.0,0,0.0,0.0
2923,quiet_pre,0.0,S,0.0,0,0.0,0.0
3019,quiet_pre,0.0,S,0.0,0,0.0,0.0
3114,quiet_pre,0.0,S,0.0,0,0.0,0.0
3208,quiet_pre,0.0,S,0.0,0,0.0,0.0
3304,quiet_pre,0.0,S,0.0,0,0.0,0.0
3400,quiet_pre,0.0,S,0.0,0,0.0,0.0
3496,quiet_pre,0.0,S,0.0,0,0.0,0.0
3592,quiet_pre,0.0,S,0.0,0,0.0,0.0
3688,quiet_pre,0.0,S,0.0,0,0.0,0.0
3783,quiet_pre,0.0,S,0.0,0,0.0,0.0
3879,quiet_pre,0.0,S,0.0,0,0.0,0.0
3975,quiet_pre,0.0,S,0.0,0,0.0,0.0
4071,quiet_pre,0.0,S,0.0,0,0.0,0.0
4165,quiet_pre,0.0,S,0.0,0,0.0,0.0
4261,quiet_pre,0.0,S,0.0,0,0.0,0.0
4356,quiet_pre,0.0,S,0.0,0,0.0,0.0
4452,quiet_pre,0.0,S,0.0,0,0.0,0.0
4548,quiet_pre,0.0,S,0.0,0,0.0,0.0
4644,quiet_pre,0.0,S,0.0,0,0.0,0.0
4740,quiet_pre,0.0,S,0.0,0,0.0,0.0
4836,quiet_pre,0.0,S,0.0,0,0.0,0.0
