event,t_rel_s,dev_mg,flag
"TAP,1",-0.923,0.0,S
"TAP,1",-0.827,0.0,S
"TAP,1",-0.731,0.0,S
"TAP,1",-0.635,0.0,S
"TAP,1",-0.539,0.0,S
"TAP,1",-0.446,0.0,S
"TAP,1",-0.35,0.0,S
"TAP,1",-0.254,0.0,S
"TAP,1",-0.158,0.0,S
"TAP,1",-0.062,0.0,S
"TAP,1",0.131,0.0,S
"TAP,1",0.225,0.0,S
"TAP,1",0.321,0.0,S
"TAP,1",0.415,0.0,S
"TAP,1",0.511,0.0,S
"TAP,1",0.607,0.0,S
"TAP,1",0.703,0.0,S
"TAP,1",0.798,0.0,S
"TAP,1",0.894,0.0,S
"TAP,1",0.99,0.0,S
"TAP,1",1.086,0.0,S
"TAP,1",1.182,0.0,S
"TAP,1",1.276,0.0,S
"TAP,1",1.371,0.0,S
"TAP,1",1.467,0.0,S
"TAP,1",1.563,0.0,S
"TAP,1",1.659,0.0,S
"TAP,1",1.755,0.0,S
"TAP,1",1.863,0.0,S
"TAP,1",2.042,0.0,S
"TAP,1",2.138,0.0,S
"TAP,1",2.232,0.0,S
"TAP,1",2.328,0.0,S
"TAP,1",2.424,0.0,S
"TAP,1",2.52,0.0,S
"TAP,1",2.615,0.0,S
"TAP,1",2.711,0.0,S
"TAP,1",2.807,0.0,S
"TAP,1",2.903,0.0,S
"TAP,1",2.999,0.0,S
"TAP,1",3.093,0.0,S
"TAP,1",3.189,0.0,S
"TAP,1",3.284,0.0,S
"TAP,1",3.38,0.0,S
"TAP,1",3.476,0.0,S
"TAP,1",3.572,0.0,S
"TAP,1",3.668,0.0,S
"TAP,1",3.764,0.0,S
"TAP,1",3.859,0.0,S
"TAP,1",3.953,0.0,S
"TAP,1",4.049,0.0,S
"TAP,1",4.145,0.0,S
"TAP,1",4.241,0.0,S
"TAP,1",4.337,0.0,S
"TAP,1",4.432,0.0,S
"TAP,2",-0.923,0.0,S
"TAP,2",-0.827,0.0,S
"TAP,2",-0.731,0.0,S
"TAP,2",-0.635,0.0,S
"TAP,2",-0.539,0.0,S
"TAP,2",-0.444,0.0,S
"TAP,2",-0.35,0.0,S
"TAP,2",-0.254,0.0,S
"TAP,2",-0.158,0.0,S
"TAP,2",-0.062,0.0,S
"TAP,2",0.131,0.0,S
"TAP,2",0.225,0.0,S
"TAP,2",0.321,0.0,S
"TAP,2",0.417,0.0,S
"TAP,2",0.511,0.0,S
"TAP,2",0.607,0.0,S
"TAP,2",0.703,0.0,S
"TAP,2",0.798,0.0,S
"TAP,2",0.894,0.0,S
"TAP,2",0.99,0.0,S
"TAP,2",1.086,0.0,S
"TAP,2",1.182,0.0,S
"TAP,2",1.278,0.0,S
"TAP,2",1.372,0.0,S
"TAP,2",1.468,0.0,S
"TAP,2",1.563,0.0,S
"TAP,2",1.659,0.0,S
"TAP,2",1.755,0.0,S
"TAP,2",1.851,0.0,S
"TAP,2",1.947,0.0,S
"TAP,2",2.042,0.0,S
"TAP,2",2.138,0.0,S
"TAP,2",2.234,0.0,S
"TAP,2",2.328,0.0,S
"TAP,2",2.424,0.0,S
"TAP,2",2.52,0.0,S
"TAP,2",2.616,0.0,S
"TAP,2",2.711,0.0,S
"TAP,2",2.807,0.0,S
"TAP,2",2.903,0.0,S
"TAP,2",2.999,0.0,S
"TAP,2",3.095,0.0,S
"TAP,2",3.189,0.0,S
"TAP,2",3.284,0.0,S
"TAP,2",3.38,0.0,S
"TAP,2",3.476,0.0,S
"TAP,2",3.572,0.0,S
"TAP,2",3.668,0.0,S
"TAP,2",3.764,0.0,S
"TAP,2",3.859,0.0,S
"TAP,2",3.955,0.0,S
"TAP,2",4.049,0.0,S
"TAP,2",4.145,0.0,S
"TAP,2",4.241,0.0,S
"TAP,2",4.337,0.0,S
"TAP,2",4.433,0.0,S
"TAP,3",-0.922,0.0,S
"TAP,3",-0.827,0.0,S
"TAP,3",-0.731,0.0,S
"TAP,3",-0.635,0.0,S
"TAP,3",-0.539,0.0,S
"TAP,3",-0.443,0.0,S
"TAP,3",-0.347,0.0,S
"TAP,3",-0.254,0.0,S
"TAP,3",-0.158,0.0,S
"TAP,3",-0.062,0.0,S
"TAP,3",0.131,0.0,S
"TAP,3",0.226,0.0,S
"TAP,3",0.321,0.0,S
"TAP,3",0.417,0.0,S
"TAP,3",0.513,0.0,S
"TAP,3",0.607,0.0,S
"TAP,3",0.703,0.0,S
"TAP,3",0.799,0.0,S
"TAP,3",0.895,0.0,S
"TAP,3",0.99,0.0,S
"TAP,3",1.086,0.0,S
"TAP,3",1.182,0.0,S
"TAP,3",1.278,0.0,S
"TAP,3",1.374,0.0,S
"TAP,3",1.468,0.0,S
"TAP,3",1.563,0.0,S
"TAP,3",1.66,0.0,S
"TAP,3",1.755,0.0,S
"TAP,3",1.851,0.0,S
"TAP,3",1.947,0.0,S
"TAP,3",2.043,0.0,S
"TAP,3",2.139,0.0,S
"TAP,3",2.234,0.0,S
"TAP,3",2.33,0.0,S
"TAP,3",2.424,0.0,S
"TAP,3",2.525,0.0,S
"TAP,3",2.616,0.0,S
"TAP,3",2.712,0.0,S
"TAP,3",2.807,0.0,S
"TAP,3",2.903,0.0,S
"TAP,3",2.999,0.0,S
"TAP,3",3.095,0.0,S
"TAP,3",3.191,0.0,S
"TAP,3",3.285,0.0,S
"TAP,3",3.381,0.0,S
"TAP,3",3.476,0.0,S
"TAP,3",3.572,0.0,S
"TAP,3",3.668,0.0,S
"TAP,3",3.764,0.0,S
"TAP,3",3.86,0.0,S
"TAP,3",3.956,0.0,S
"TAP,3",4.051,0.0,S
"TAP,3",4.145,0.0,S
"TAP,3",4.241,0.0,S
"TAP,3",4.337,0.0,S
"TAP,3",4.433,0.0,S
"TAP,4",-0.922,0.0,S
"TAP,4",-0.827,0.0,S
"TAP,4",-0.731,0.0,S
"TAP,4",-0.635,0.0,S
"TAP,4",-0.539,0.0,S
"TAP,4",-0.443,0.0,S
"TAP,4",-0.347,0.0,S
"TAP,4",-0.251,0.0,S
"TAP,4",-0.157,0.0,S
"TAP,4",-0.062,0.0,S
"TAP,4",0.131,0.0,S
"TAP,4",0.226,0.0,S
"TAP,4",0.322,0.0,S
"TAP,4",0.417,0.0,S
"TAP,4",0.513,0.0,S
"TAP,4",0.609,0.0,S
"TAP,4",0.703,0.0,S
"TAP,4",0.799,0.0,S
"TAP,4",0.895,0.0,S
"TAP,4",0.99,0.0,S
"TAP,4",1.086,0.0,S
"TAP,4",1.182,0.0,S
"TAP,4",1.278,0.0,S
"TAP,4",1.374,0.0,S
"TAP,4",1.47,0.0,S
"TAP,4",1.564,0.0,S
"TAP,4",1.659,0.0,S
"TAP,4",1.755,0.0,S
"TAP,4",1.851,0.0,S
"TAP,4",1.947,0.0,S
"TAP,4",2.043,0.0,S
"TAP,4",2.139,0.0,S
"TAP,4",2.234,0.0,S
"TAP,4",2.33,0.0,S
"TAP,4",2.426,0.0,S
"TAP,4",2.52,0.0,S
"TAP,4",2.616,0.0,S
"TAP,4",2.712,0.0,S
"TAP,4",2.808,0.0,S
"TAP,4",2.904,0.0,S
"TAP,4",2.999,0.0,S
"TAP,4",3.095,0.0,S
"TAP,4",3.191,0.0,S
"TAP,4",3.287,0.0,S
"TAP,4",3.381,0.0,S
"TAP,4",3.477,0.0,S
"TAP,4",3.572,0.0,S
"TAP,4",3.668,0.0,S
"TAP,4",3.764,0.0,S
"TAP,4",3.86,0.0,S
"TAP,4",3.956,0.0,S
"TAP,4",4.052,0.0,S
"TAP,4",4.148,0.0,S
"TAP,4",4.241,0.0,S
"TAP,4",4.337,0.0,S
"TAP,4",4.433,0.0,S
"TAP,5",-0.922,0.0,S
"TAP,5",-0.826,0.0,S
"TAP,5",-0.73,0.0,S
"TAP,5",-0.635,0.0,S
"TAP,5",-0.539,0.0,S
"TAP,5",-0.443,0.0,S
"TAP,5",-0.347,0.0,S
"TAP,5",-0.251,0.0,S
"TAP,5",-0.155,0.0,S
"TAP,5",-0.062,0.0,S
"TAP,5",0.131,0.0,S
"TAP,5",0.226,0.0,S
"TAP,5",0.322,0.0,S
"TAP,5",0.418,0.0,S
"TAP,5",0.514,0.0,S
"TAP,5",0.609,0.0,S
"TAP,5",0.705,0.0,S
"TAP,5",0.799,0.0,S
"TAP,5",0.895,0.0,S
"TAP,5",0.991,0.0,S
"TAP,5",1.087,0.0,S
"TAP,5",1.182,0.0,S
"TAP,5",1.278,0.0,S
"TAP,5",1.374,0.0,S
"TAP,5",1.47,0.0,S
"TAP,5",1.566,0.0,S
"TAP,5",1.66,0.0,S
"TAP,5",1.756,0.0,S
"TAP,5",1.851,0.0,S
"TAP,5",1.947,0.0,S
"TAP,5",2.043,0.0,S
"TAP,5",2.139,0.0,S
"TAP,5",2.235,0.0,S
"TAP,5",2.331,0.0,S
"TAP,5",2.426,0.0,S
"TAP,5",2.52,0.0,S
"TAP,5",2.616,0.0,S
"TAP,5",2.712,0.0,S
"TAP,5",2.82,0.0,S
"TAP,5",2.999,0.0,S
"TAP,5",3.096,0.0,S
"TAP,5",3.191,0.0,S
"TAP,5",3.287,0.0,S
"TAP,5",3.383,0.0,S
"TAP,5",3.477,0.0,S
"TAP,5",3.573,0.0,S
"TAP,5",3.668,0.0,S
"TAP,5",3.764,0.0,S
"TAP,5",3.86,0.0,S
"TAP,5",3.956,0.0,S
"TAP,5",4.052,0.0,S
"TAP,5",4.148,0.0,S
"TAP,5",4.243,0.0,S
"TAP,5",4.337,0.0,S
"TAP,5",4.433,0.0,S
"TAP,6",-0.925,0.0,S
"TAP,6",-0.829,0.0,S
"TAP,6",-0.733,0.0,S
"TAP,6",-0.638,0.0,S
"TAP,6",-0.542,0.0,S
"TAP,6",-0.446,0.0,S
"TAP,6",-0.35,0.0,S
"TAP,6",-0.254,0.0,S
"TAP,6",-0.158,0.0,S
"TAP,6",-0.062,0.0,S
"TAP,6",0.131,0.0,S
"TAP,6",0.223,0.0,S
"TAP,6",0.319,0.0,S
"TAP,6",0.415,0.0,S
"TAP,6",0.511,0.0,S
"TAP,6",0.607,0.0,S
"TAP,6",0.702,0.0,S
"TAP,6",0.798,0.0,S
"TAP,6",0.892,0.0,S
"TAP,6",0.988,0.0,S
"TAP,6",1.084,0.0,S
"TAP,6",1.18,0.0,S
"TAP,6",1.275,0.0,S
"TAP,6",1.371,0.0,S
"TAP,6",1.467,0.0,S
"TAP,6",1.563,0.0,S
"TAP,6",1.659,0.0,S
"TAP,6",1.753,0.0,S
"TAP,6",1.848,0.0,S
"TAP,6",1.945,0.0,S
"TAP,6",2.04,0.0,S
"TAP,6",2.136,0.0,S
"TAP,6",2.232,0.0,S
"TAP,6",2.328,0.0,S
"TAP,6",2.424,0.0,S
"TAP,6",2.52,0.0,S
"TAP,6",2.613,0.0,S
"TAP,6",2.709,0.0,S
"TAP,6",2.805,0.0,S
"TAP,6",2.901,0.0,S
"TAP,6",2.997,0.0,S
"TAP,6",3.092,0.0,S
"TAP,6",3.188,0.0,S
"TAP,6",3.284,0.0,S
"TAP,6",3.38,0.0,S
"TAP,6",3.476,0.0,S
"TAP,6",3.57,0.0,S
"TAP,6",3.666,0.0,S
"TAP,6",3.762,0.0,S
"TAP,6",3.857,0.0,S
"TAP,6",3.953,0.0,S
"TAP,6",4.049,0.0,S
"TAP,6",4.145,0.0,S
"TAP,6",4.241,0.0,S
"TAP,6",4.337,0.0,S
"TAP,6",4.43,0.0,S
"TAP,7",-0.923,0.0,S
"TAP,7",-0.829,0.0,S
"TAP,7",-0.733,0.0,S
"TAP,7",-0.637,0.0,S
"TAP,7",-0.541,0.0,S
"TAP,7",-0.446,0.0,S
"TAP,7",-0.35,0.0,S
"TAP,7",-0.254,0.0,S
"TAP,7",-0.158,0.0,S
"TAP,7",-0.062,0.0,S
"TAP,7",0.131,0.0,S
"TAP,7",0.223,0.0,S
"TAP,7",0.319,0.0,S
"TAP,7",0.415,0.0,S
"TAP,7",0.511,0.0,S
"TAP,7",0.607,0.0,S
"TAP,7",0.703,0.0,S
"TAP,7",0.798,0.0,S
"TAP,7",0.894,0.0,S
