powder_id,block,tilt_deg,rpm,t_ms,grams,stable
alsi10mg,D,45.0,15.0,221149,0.0,1
alsi10mg,D,45.0,15.0,221435,0.0,1
alsi10mg,D,45.0,15.0,221723,0.0,1
alsi10mg,D,45.0,15.0,222010,0.0,1
alsi10mg,D,45.0,15.0,222295,0.0081,0
alsi10mg,D,45.0,15.0,222582,0.0098,0
alsi10mg,D,45.0,15.0,222871,0.0103,0
alsi10mg,D,45.0,15.0,223155,0.0104,0
alsi10mg,D,45.0,15.0,223443,0.011,0
alsi10mg,D,45.0,15.0,223730,0.0243,0
alsi10mg,D,45.0,15.0,224015,0.0367,0
alsi10mg,D,45.0,15.0,224304,0.0519,0
alsi10mg,D,45.0,15.0,224591,0.0654,0
alsi10mg,D,45.0,15.0,224876,0.075,0
alsi10mg,D,45.0,15.0,225165,0.0853,0
alsi10mg,D,45.0,15.0,225452,0.0955,0
alsi10mg,D,45.0,15.0,225739,0.1045,0
alsi10mg,D,45.0,15.0,226025,0.1125,0
alsi10mg,D,45.0,15.0,226313,0.1158,0
alsi10mg,D,45.0,15.0,226600,0.1168,0
alsi10mg,D,45.0,15.0,226885,0.117,0
alsi10mg,D,45.0,15.0,227174,0.1171,0
alsi10mg,D,45.0,15.0,227460,0.1177,0
alsi10mg,D,45.0,15.0,227747,0.1333,0
alsi10mg,D,45.0,15.0,228034,0.1466,0
alsi10mg,D,45.0,15.0,228322,0.1612,0
alsi10mg,D,45.0,15.0,228607,0.1771,0
alsi10mg,D,45.0,15.0,228895,0.1862,0
alsi10mg,D,45.0,15.0,229182,0.1955,0
alsi10mg,D,45.0,15.0,229468,0.2076,0
alsi10mg,D,45.0,15.0,229755,0.2173,0
alsi10mg,D,45.0,15.0,230042,0.2247,0
alsi10mg,D,45.0,15.0,230328,0.2287,0
alsi10mg,D,45.0,15.0,230616,0.2292,0
alsi10mg,D,45.0,15.0,230904,0.2292,1
alsi10mg,D,45.0,15.0,231285,0.2293,1
alsi10mg,D,45.0,15.0,231572,0.2341,0
alsi10mg,D,45.0,15.0,231860,0.2471,0
alsi10mg,D,45.0,15.0,232146,0.2596,0
alsi10mg,D,45.0,15.0,232432,0.273,0
alsi10mg,D,45.0,15.0,232721,0.2873,0
alsi10mg,D,45.0,15.0,233005,0.3001,0
alsi10mg,D,45.0,15.0,233294,0.312,0
alsi10mg,D,45.0,15.0,233581,0.3232,0
alsi10mg,D,45.0,15.0,233867,0.3332,0
alsi10mg,D,45.0,15.0,234153,0.3407,0
alsi10mg,D,45.0,15.0,234441,0.3424,0
alsi10mg,D,45.0,15.0,234726,0.3424,0
alsi10mg,D,45.0,45.0,237309,0.3532,1
alsi10mg,D,45.0,45.0,237597,0.3532,1
alsi10mg,D,45.0,45.0,237885,0.3535,0
alsi10mg,D,45.0,45.0,238169,0.3748,0
alsi10mg,D,45.0,45.0,238457,0.3935,0
alsi10mg,D,45.0,45.0,238745,0.4033,0
alsi10mg,D,45.0,45.0,239030,0.4057,0
alsi10mg,D,45.0,45.0,239317,0.4073,0
alsi10mg,D,45.0,45.0,239605,0.4196,0
alsi10mg,D,45.0,45.0,239890,0.4363,0
alsi10mg,D,45.0,45.0,240178,0.4444,0
alsi10mg,D,45.0,45.0,240465,0.4472,0
alsi10mg,D,45.0,45.0,240753,0.4593,0
alsi10mg,D,45.0,45.0,241038,0.4796,0
alsi10mg,D,45.0,45.0,241326,0.4912,0
alsi10mg,D,45.0,45.0,241615,0.4963,0
alsi10mg,D,45.0,90.0,244100,0.5312,1
alsi10mg,D,45.0,90.0,244386,0.5312,1
alsi10mg,D,45.0,90.0,244674,0.5313,1
alsi10mg,D,45.0,90.0,244960,0.5425,0
alsi10mg,D,45.0,90.0,245246,0.5557,0
alsi10mg,D,45.0,90.0,245533,0.5767,0
alsi10mg,D,45.0,90.0,245821,0.5907,0
alsi10mg,D,45.0,90.0,246106,0.6109,0
