powder_id,block,tilt_deg,phase,n,mean_g,std_g,sem_g,min_g,max_g,rsd_pct
alsi10mg,A,45.0,baseline,8,0.0,0.0,0.0,0.0,0.0,
alsi10mg,B,0.0,hold,1,0.0,,,0.0,0.0,
alsi10mg,B,45.0,hold,1,0.0,,,0.0,0.0,
alsi10mg,B,90.0,hold,1,0.0,,,0.0,0.0,
alsi10mg,C,0.0,rotation,6,0.08259999999999999,0.0031317726609701403,0.001278540834962523,0.0766,0.0857,3.79149232562971
alsi10mg,C,45.0,rotation,6,0.07555,0.005911937076796403,0.0024135382049320594,0.067,0.0828,7.8251979838469925
alsi10mg,C,90.0,rotation,6,0.0683,0.0028305476501906805,0.00115556623926685,0.0636,0.072,4.1442864570873805
alsi10mg,D,45.0,speed,3,0.2212333333333333,0.11643411584811961,0.06722326812776792,0.1326,0.3531,52.62955364537575
alsi10mg,E,0.0,refeed,8,0.06855,0.005298517312823058,0.0018733087610657538,0.0613,0.0778,7.729419858239326
alsi10mg,E,0.0,tap,8,-3.7500000000000003e-05,7.44023809142845e-05,2.630521404045756e-05,-0.0001,0.0001,198.40634910475865
alsi10mg,E,45.0,refeed,8,0.0573875,0.014839179559530912,0.0052464422468945565,0.0269,0.0695,25.857860264919907
alsi10mg,E,45.0,tap,8,-0.000325,0.000696419413859206,0.0002462214450449026,-0.0019,0.0003,214.2828965720634
