powder_id,block,tilt_deg,phase,trial,action,rpm,before_g,after_g,delta_g,flag,t_ms
alsi10mg,A,45.0,baseline,0,,,0.0,0.0,0.0,,7519
alsi10mg,A,45.0,baseline,1,,,0.0,0.0,0.0,,9615
alsi10mg,A,45.0,baseline,2,,,0.0,0.0,0.0,,11730
alsi10mg,A,45.0,baseline,3,,,0.0,0.0,0.0,,13824
alsi10mg,A,45.0,baseline,4,,,0.0,0.0,0.0,,15939
alsi10mg,A,45.0,baseline,5,,,0.0,0.0,0.0,,18033
alsi10mg,A,45.0,baseline,6,,,0.0,0.0,0.0,,20134
alsi10mg,A,45.0,baseline,7,,,0.0,0.0,0.0,,22249
alsi10mg,B,0.0,hold,0,15,,0.0,0.0,0.0,,42705
alsi10mg,B,45.0,hold,0,15,,0.0,0.0,0.0,,63170
alsi10mg,B,90.0,hold,0,15,,0.0,0.0,0.0,,83635
alsi10mg,C,0.0,rotation,0,360.0,30.0,0.0,0.0857,0.0857,,96073
alsi10mg,C,0.0,rotation,1,360.0,30.0,0.0857,0.1698,0.0841,,102478
alsi10mg,C,0.0,rotation,2,360.0,30.0,0.1698,0.253,0.0832,,108885
alsi10mg,C,0.0,rotation,3,360.0,30.0,0.253,0.3296,0.0766,,115289
alsi10mg,C,0.0,rotation,4,360.0,30.0,0.3296,0.4121,0.0825,,121697
alsi10mg,C,0.0,rotation,5,360.0,30.0,0.4121,0.4956,0.0835,,128102
alsi10mg,C,45.0,rotation,0,360.0,30.0,0.0,0.0782,0.0782,,139776
alsi10mg,C,45.0,rotation,1,360.0,30.0,0.0782,0.1541,0.0759,,146181
alsi10mg,C,45.0,rotation,2,360.0,30.0,0.1541,0.2369,0.0828,,152587
alsi10mg,C,45.0,rotation,3,360.0,30.0,0.2369,0.3161,0.0792,,158993
alsi10mg,C,45.0,rotation,4,360.0,30.0,0.3161,0.3863,0.0702,,165400
alsi10mg,C,45.0,rotation,5,360.0,30.0,0.3863,0.4533,0.067,,171806
alsi10mg,C,90.0,rotation,0,360.0,30.0,0.0,0.0685,0.0685,,183472
alsi10mg,C,90.0,rotation,1,360.0,30.0,0.0685,0.1321,0.0636,,189880
alsi10mg,C,90.0,rotation,2,360.0,30.0,0.1321,0.2004,0.0683,,196287
alsi10mg,C,90.0,rotation,3,360.0,30.0,0.2004,0.2724,0.072,,202694
alsi10mg,C,90.0,rotation,4,360.0,30.0,0.2724,0.3425,0.0701,,209102
alsi10mg,C,90.0,rotation,5,360.0,30.0,0.3425,0.4098,0.0673,,215509
alsi10mg,D,45.0,speed,0,3.0,15.0,0.0,0.3531,0.3531,,236843
alsi10mg,D,45.0,speed,1,3.0,45.0,0.3531,0.5311,0.178,,243719
alsi10mg,D,45.0,speed,2,3.0,90.0,0.5311,0.6637,0.1326,,248225
alsi10mg,E,0.0,refeed,0,360.0,30.0,0.0,0.0778,0.0778,,259881
alsi10mg,E,0.0,tap,0,1,,0.0778,0.0778,0.0,,262278
alsi10mg,E,0.0,refeed,1,360.0,30.0,0.0778,0.1405,0.0627,,268681
alsi10mg,E,0.0,tap,1,1,,0.1405,0.1404,-0.0001,,271077
alsi10mg,E,0.0,refeed,2,360.0,30.0,0.1404,0.2073,0.0669,,277483
alsi10mg,E,0.0,tap,2,1,,0.2073,0.2072,-0.0001,,279867
alsi10mg,E,0.0,refeed,3,360.0,30.0,0.2072,0.2781,0.0709,,286286
alsi10mg,E,0.0,tap,3,1,,0.2781,0.278,-0.0001,,288665
alsi10mg,E,0.0,refeed,4,360.0,30.0,0.278,0.3447,0.0667,,295074
alsi10mg,E,0.0,tap,4,1,,0.3447,0.3447,0.0,,297470
alsi10mg,E,0.0,refeed,5,360.0,30.0,0.3447,0.4157,0.071,,303874
alsi10mg,E,0.0,tap,5,1,,0.4157,0.4156,-0.0001,,306271
alsi10mg,E,0.0,refeed,6,360.0,30.0,0.4156,0.4769,0.0613,,312676
alsi10mg,E,0.0,tap,6,1,,0.4769,0.477,0.0001,,315059
alsi10mg,E,0.0,refeed,7,360.0,30.0,0.477,0.5481,0.0711,,321466
alsi10mg,E,0.0,tap,7,1,,0.5481,0.5481,0.0,,323863
alsi10mg,E,45.0,refeed,0,360.0,30.0,-0.0001,0.0423,0.0424,,335525
alsi10mg,E,45.0,tap,0,1,,0.0423,0.0423,0.0,,337922
alsi10mg,E,45.0,refeed,1,360.0,30.0,0.0423,0.1076,0.0653,,344327
alsi10mg,E,45.0,tap,1,1,,0.1076,0.1075,-0.0001,,346724
alsi10mg,E,45.0,refeed,2,360.0,30.0,0.1075,0.177,0.0695,,353128
alsi10mg,E,45.0,tap,2,1,,0.177,0.1773,0.0003,,355512
alsi10mg,E,45.0,refeed,3,360.0,30.0,0.1773,0.2432,0.0659,,361919
alsi10mg,E,45.0,tap,3,1,,0.2432,0.2432,0.0,,364316
alsi10mg,E,45.0,refeed,4,360.0,30.0,0.2432,0.3088,0.0656,,370718
alsi10mg,E,45.0,tap,4,1,,0.3088,0.3088,0.0,,373115
alsi10mg,E,45.0,refeed,5,360.0,30.0,0.3088,0.3705,0.0617,,380470
alsi10mg,E,45.0,tap,5,1,,0.3705,0.3686,-0.0019,,382867
alsi10mg,E,45.0,refeed,6,360.0,30.0,0.3685,0.3954,0.0269,,389842
alsi10mg,E,45.0,tap,6,1,,0.3954,0.3952,-0.0002,,392239
alsi10mg,E,45.0,refeed,7,360.0,30.0,0.3952,0.457,0.0618,,398645
alsi10mg,E,45.0,tap,7,1,,0.457,0.4563,-0.0007,,401042
