powder_id,block,tilt_deg,rpm,t_ms,grams,stable
salt,D,45.0,15.0,221192,0.0,1
salt,D,45.0,15.0,221564,0.0,1
salt,D,45.0,15.0,221850,0.0,1
salt,D,45.0,15.0,222138,0.0,1
salt,D,45.0,15.0,222424,0.0005,0
salt,D,45.0,15.0,222712,0.0009,0
salt,D,45.0,15.0,222997,0.0012,0
salt,D,45.0,15.0,223285,0.0018,0
salt,D,45.0,15.0,223572,0.0128,0
salt,D,45.0,15.0,223857,0.0367,0
salt,D,45.0,15.0,224145,0.0735,0
salt,D,45.0,15.0,224434,0.1192,0
salt,D,45.0,15.0,224719,0.1733,0
salt,D,45.0,15.0,225006,0.2024,0
salt,D,45.0,15.0,225293,0.2177,0
salt,D,45.0,15.0,225579,0.2269,0
salt,D,45.0,15.0,225866,0.2344,0
salt,D,45.0,15.0,226155,0.2383,0
salt,D,45.0,15.0,226439,0.2406,0
salt,D,45.0,15.0,226727,0.2407,0
salt,D,45.0,15.0,227014,0.2409,0
salt,D,45.0,15.0,227300,0.2415,0
salt,D,45.0,15.0,227587,0.2575,0
salt,D,45.0,15.0,227875,0.2779,0
salt,D,45.0,15.0,228161,0.3083,0
salt,D,45.0,15.0,228449,0.3561,0
salt,D,45.0,15.0,228736,0.397,0
salt,D,45.0,15.0,229021,0.4219,0
salt,D,45.0,15.0,229309,0.4371,0
salt,D,45.0,15.0,229596,0.4483,0
salt,D,45.0,15.0,229882,0.4545,0
salt,D,45.0,15.0,230169,0.4603,0
salt,D,45.0,15.0,230457,0.4615,0
salt,D,45.0,15.0,230838,0.4617,0
salt,D,45.0,15.0,231126,0.4619,0
salt,D,45.0,15.0,231413,0.4673,0
salt,D,45.0,15.0,231699,0.4836,0
salt,D,45.0,15.0,231986,0.5057,0
salt,D,45.0,15.0,232274,0.5469,0
salt,D,45.0,15.0,232559,0.5975,0
salt,D,45.0,15.0,232847,0.6294,0
salt,D,45.0,15.0,233134,0.6462,0
salt,D,45.0,15.0,233422,0.6565,0
salt,D,45.0,15.0,233708,0.6672,0
salt,D,45.0,15.0,233995,0.6742,0
salt,D,45.0,15.0,234283,0.6773,0
salt,D,45.0,15.0,234568,0.6777,0
salt,D,45.0,15.0,234856,0.6776,1
salt,D,45.0,45.0,237354,0.7084,1
salt,D,45.0,45.0,237726,0.7084,1
salt,D,45.0,45.0,238011,0.7157,0
salt,D,45.0,45.0,238298,0.7528,0
salt,D,45.0,45.0,238586,0.8175,0
salt,D,45.0,45.0,238871,0.8427,0
salt,D,45.0,45.0,239159,0.8461,0
salt,D,45.0,45.0,239446,0.8694,0
salt,D,45.0,45.0,239732,0.9302,0
salt,D,45.0,45.0,240019,0.9814,0
salt,D,45.0,45.0,240307,0.9928,0
salt,D,45.0,45.0,240596,1.001,0
salt,D,45.0,45.0,240880,1.0416,0
salt,D,45.0,45.0,241168,1.1094,0
salt,D,45.0,45.0,241455,1.1487,0
salt,D,45.0,45.0,241742,1.1533,0
salt,D,45.0,90.0,244324,1.2833,1
salt,D,45.0,90.0,244611,1.2833,1
salt,D,45.0,90.0,244899,1.2891,0
salt,D,45.0,90.0,245184,1.3086,0
salt,D,45.0,90.0,245471,1.3479,0
salt,D,45.0,90.0,245758,1.4154,0
salt,D,45.0,90.0,246044,1.4484,0
salt,D,45.0,90.0,246332,1.5142,0
