powder_id,block,tilt_deg,phase,n,mean_g,std_g,sem_g,min_g,max_g,rsd_pct
salt,A,45.0,baseline,8,0.0,0.0,0.0,0.0,0.0,
salt,B,0.0,hold,1,0.0,,,0.0,0.0,
salt,B,45.0,hold,1,0.0,,,0.0,0.0,
salt,B,90.0,hold,1,0.0,,,0.0,0.0,
salt,C,0.0,rotation,6,0.034300000000000004,0.002954995769878529,0.0012063719713808563,0.0315,0.0386,8.615148017138567
salt,C,45.0,rotation,6,0.17535,0.010469909264172258,0.004274322558410087,0.1588,0.1862,5.970863566679361
salt,C,90.0,rotation,6,0.2304166666666667,0.013747496741831457,0.005612392043010219,0.2056,0.244,5.966363866255967
salt,D,45.0,speed,3,0.5539,0.1659992469862439,0.0958397099327831,0.3784,0.7084,29.969172591847613
salt,E,0.0,refeed,8,0.0369875,0.0018364853855744594,0.0006492956348448458,0.0344,0.0395,4.965151431090124
salt,E,0.0,tap,8,3.7500000000000003e-05,5.175491695067657e-05,1.8298126367784997e-05,0.0,0.0001,138.01311186847084
salt,E,45.0,refeed,8,0.1622625,0.00759039571714526,0.0026836101417413703,0.1544,0.1738,4.677849606129118
salt,E,45.0,tap,8,0.0009125,0.00017268882005337972,6.105471784742412e-05,0.0007,0.0012,18.924802197630655
