powder_id,block,tilt_deg,phase,trial,action,rpm,before_g,after_g,delta_g,flag,t_ms
salt,A,45.0,baseline,0,,,0.0,0.0,0.0,,7453
salt,A,45.0,baseline,1,,,0.0,0.0,0.0,,9549
salt,A,45.0,baseline,2,,,0.0,0.0,0.0,,11652
salt,A,45.0,baseline,3,,,0.0,0.0,0.0,,13767
salt,A,45.0,baseline,4,,,0.0,0.0,0.0,,15861
salt,A,45.0,baseline,5,,,0.0,0.0,0.0,,17964
salt,A,45.0,baseline,6,,,0.0,0.0,0.0,,20079
salt,A,45.0,baseline,7,,,0.0,0.0,0.0,,22173
salt,B,0.0,hold,0,15,,0.0,0.0,0.0,,42644
salt,B,45.0,hold,0,15,,0.0,0.0,0.0,,63108
salt,B,90.0,hold,0,15,,0.0,0.0,0.0,,83574
salt,C,0.0,rotation,0,360.0,30.0,0.0,0.0343,0.0343,,96000
salt,C,0.0,rotation,1,360.0,30.0,0.0343,0.0658,0.0315,,102408
salt,C,0.0,rotation,2,360.0,30.0,0.0658,0.0983,0.0325,,108815
salt,C,0.0,rotation,3,360.0,30.0,0.0983,0.1354,0.0371,,115224
salt,C,0.0,rotation,4,360.0,30.0,0.1354,0.174,0.0386,,121631
salt,C,0.0,rotation,5,360.0,30.0,0.174,0.2058,0.0318,,128039
salt,C,45.0,rotation,0,360.0,30.0,0.0,0.1862,0.1862,,139704
salt,C,45.0,rotation,1,360.0,30.0,0.1862,0.3691,0.1829,,146112
salt,C,45.0,rotation,2,360.0,30.0,0.3691,0.5386,0.1695,,152519
salt,C,45.0,rotation,3,360.0,30.0,0.5386,0.7106,0.172,,158927
salt,C,45.0,rotation,4,360.0,30.0,0.7106,0.8694,0.1588,,165334
salt,C,45.0,rotation,5,360.0,30.0,0.8694,1.0521,0.1827,,171743
salt,C,90.0,rotation,0,360.0,30.0,0.0,0.244,0.244,,183408
salt,C,90.0,rotation,1,360.0,30.0,0.244,0.485,0.241,,189815
salt,C,90.0,rotation,2,360.0,30.0,0.485,0.7176,0.2326,,196224
salt,C,90.0,rotation,3,360.0,30.0,0.7176,0.9509,0.2333,,202630
salt,C,90.0,rotation,4,360.0,30.0,0.9509,1.1565,0.2056,,209039
salt,C,90.0,rotation,5,360.0,30.0,1.1565,1.3825,0.226,,215447
salt,D,45.0,speed,0,3.0,15.0,0.0,0.7084,0.7084,,236974
salt,D,45.0,speed,1,3.0,45.0,0.7084,1.2833,0.5749,,243859
salt,D,45.0,speed,2,3.0,90.0,1.2833,1.6617,0.3784,,248449
salt,E,0.0,refeed,0,360.0,30.0,0.0,0.0378,0.0378,,260106
salt,E,0.0,tap,0,1,,0.0378,0.0378,0.0,,262503
salt,E,0.0,refeed,1,360.0,30.0,0.0378,0.0722,0.0344,,268907
salt,E,0.0,tap,1,1,,0.0722,0.0722,0.0,,271304
salt,E,0.0,refeed,2,360.0,30.0,0.0722,0.1113,0.0391,,277709
salt,E,0.0,tap,2,1,,0.1113,0.1114,0.0001,,280092
salt,E,0.0,refeed,3,360.0,30.0,0.1114,0.1464,0.035,,286511
salt,E,0.0,tap,3,1,,0.1464,0.1464,0.0,,288892
salt,E,0.0,refeed,4,360.0,30.0,0.1464,0.1831,0.0367,,295298
salt,E,0.0,tap,4,1,,0.1831,0.1832,0.0001,,297694
salt,E,0.0,refeed,5,360.0,30.0,0.1832,0.2207,0.0375,,304100
salt,E,0.0,tap,5,1,,0.2207,0.2208,0.0001,,306496
salt,E,0.0,refeed,6,360.0,30.0,0.2208,0.2567,0.0359,,312903
salt,E,0.0,tap,6,1,,0.2567,0.2567,0.0,,315285
salt,E,0.0,refeed,7,360.0,30.0,0.2568,0.2963,0.0395,,321693
salt,E,0.0,tap,7,1,,0.2963,0.2963,0.0,,324089
salt,E,45.0,refeed,0,360.0,30.0,0.0,0.1569,0.1569,,335750
salt,E,45.0,tap,0,1,,0.1569,0.1577,0.0008,,338716
salt,E,45.0,refeed,1,360.0,30.0,0.1577,0.3315,0.1738,,345124
salt,E,45.0,tap,1,1,,0.3315,0.3323,0.0008,,348280
salt,E,45.0,refeed,2,360.0,30.0,0.3323,0.5035,0.1712,,354685
salt,E,45.0,tap,2,1,,0.5035,0.5045,0.001,,357840
salt,E,45.0,refeed,3,360.0,30.0,0.5045,0.6679,0.1634,,364248
salt,E,45.0,tap,3,1,,0.6679,0.6686,0.0007,,367213
salt,E,45.0,refeed,4,360.0,30.0,0.6687,0.8259,0.1572,,373813
salt,E,45.0,tap,4,1,,0.8259,0.8271,0.0012,,376969
salt,E,45.0,refeed,5,360.0,30.0,0.8271,0.9819,0.1548,,383375
salt,E,45.0,tap,5,1,,0.9819,0.9827,0.0008,,386152
salt,E,45.0,refeed,6,360.0,30.0,0.9828,1.1492,0.1664,,392748
salt,E,45.0,tap,6,1,,1.1492,1.1501,0.0009,,395714
salt,E,45.0,refeed,7,360.0,30.0,1.1501,1.3045,0.1544,,402121
salt,E,45.0,tap,7,1,,1.3045,1.3056,0.0011,,405277
