powder_id,block,tilt_deg,phase,trial,action,rpm,before_g,after_g,delta_g,flag,t_ms,sigma_g,drift_g,shock_g,retries,quality
salt,A,45.0,baseline,0,,,51.8948,51.9024,0.0077,,16762,0.005,-0.0141,0.0126,0,shock
salt,A,45.0,baseline,1,,,51.9015,51.9163,0.0149,,21257,0.0058,-0.001,0.0126,0,unsettled
salt,A,45.0,baseline,2,,,51.9074,51.9126,0.0052,,25746,0.0055,-0.0089,0.0,0,unsettled
salt,A,45.0,baseline,3,,,51.9087,51.9267,0.0179,,30235,0.0082,-0.0039,0.0,0,unsettled
salt,A,45.0,baseline,4,,,51.9187,51.9027,-0.016,,34728,0.0089,-0.008,0.0109,0,shock
salt,A,45.0,baseline,5,,,51.9015,51.8964,-0.0051,,39222,0.006,-0.0012,0.0109,0,shock
salt,A,45.0,baseline,6,,,51.9185,51.9066,-0.0119,,43716,0.0029,0.0221,0.0,0,ok
salt,A,45.0,baseline,7,,,51.911,51.9066,-0.0044,,48212,0.0023,0.0044,-0.001,0,shock
salt,B,0.0,hold,0,15,,51.9823,51.9283,-0.054,,78149,0.0616,0.0678,-0.0221,0,shock
salt,B,45.0,hold,0,15,,51.835,51.9282,0.0932,,115539,0.0312,-0.0751,-0.0206,0,shock
salt,B,90.0,hold,0,15,,51.887,51.9222,0.0352,,162884,0.0129,-0.0382,-0.0019,0,shock
salt,C,0.0,rotation,0,360.0,30.0,51.9609,52.0472,0.0863,,215580,0.0157,-0.0399,-0.0106,2,shock
salt,C,0.0,rotation,1,360.0,30.0,52.1367,52.1659,0.0292,,265205,0.0146,0.0101,0.0,2,unsettled
salt,C,0.0,rotation,2,360.0,30.0,52.2697,52.3099,0.0403,,299914,0.0069,0.0251,0.0015,2,shock
salt,C,0.0,rotation,3,360.0,30.0,52.3417,52.3954,0.0536,,349547,0.0152,-0.0343,0.0236,2,shock
salt,C,0.0,rotation,4,360.0,30.0,52.4849,52.531,0.0461,,406651,0.006,-0.0073,0.0034,2,shock
salt,C,0.0,rotation,5,360.0,30.0,52.5279,52.5748,0.047,,420697,0.0178,-0.0045,0.0,0,unsettled
salt,C,45.0,rotation,0,360.0,30.0,52.8839,53.0669,0.1831,,495006,0.0088,-0.0279,-0.0013,2,shock
