powder_id,block,tilt_deg,rpm,t_ms,grams,stable
sodium-sulfate,D,45.0,15.0,422751,2.9216,0
sodium-sulfate,D,45.0,15.0,423137,2.9224,0
sodium-sulfate,D,45.0,15.0,423510,2.9169,0
sodium-sulfate,D,45.0,15.0,423896,2.9227,0
sodium-sulfate,D,45.0,15.0,424282,2.9643,0
sodium-sulfate,D,45.0,15.0,424656,3.0072,0
sodium-sulfate,D,45.0,15.0,425042,3.0786,0
sodium-sulfate,D,45.0,15.0,425428,3.1293,0
sodium-sulfate,D,45.0,15.0,425814,3.154,0
sodium-sulfate,D,45.0,15.0,426188,3.1671,0
sodium-sulfate,D,45.0,15.0,426574,3.1783,0
sodium-sulfate,D,45.0,15.0,426960,3.1785,0
sodium-sulfate,D,45.0,15.0,427334,3.1829,0
sodium-sulfate,D,45.0,15.0,427720,3.1864,0
sodium-sulfate,D,45.0,15.0,428106,3.2066,0
sodium-sulfate,D,45.0,15.0,428492,3.2601,0
sodium-sulfate,D,45.0,15.0,428865,3.3252,0
sodium-sulfate,D,45.0,15.0,429247,3.376,0
sodium-sulfate,D,45.0,15.0,429633,3.4003,0
sodium-sulfate,D,45.0,15.0,430019,3.4271,0
sodium-sulfate,D,45.0,15.0,430405,3.4362,0
sodium-sulfate,D,45.0,15.0,430778,3.4377,0
sodium-sulfate,D,45.0,15.0,431165,3.4368,0
sodium-sulfate,D,45.0,15.0,431551,3.4369,1
sodium-sulfate,D,45.0,15.0,431924,3.4519,0
sodium-sulfate,D,45.0,15.0,432310,3.4959,0
sodium-sulfate,D,45.0,15.0,432696,3.5726,0
sodium-sulfate,D,45.0,15.0,433082,3.622,0
sodium-sulfate,D,45.0,15.0,433456,3.656,0
sodium-sulfate,D,45.0,15.0,433842,3.6832,0
sodium-sulfate,D,45.0,15.0,434228,3.6955,0
sodium-sulfate,D,45.0,15.0,434614,3.6988,0
sodium-sulfate,D,45.0,15.0,434986,3.6998,0
sodium-sulfate,D,45.0,15.0,435372,3.7025,0
sodium-sulfate,D,45.0,15.0,435758,3.7101,0
sodium-sulfate,D,45.0,15.0,436144,3.7324,0
sodium-sulfate,D,45.0,15.0,436515,3.7909,0
sodium-sulfate,D,45.0,15.0,436901,3.865,0
sodium-sulfate,D,45.0,15.0,437287,3.907,0
sodium-sulfate,D,45.0,15.0,437673,3.9335,0
sodium-sulfate,D,45.0,15.0,438045,3.9588,0
sodium-sulfate,D,45.0,15.0,438431,3.9585,0
sodium-sulfate,D,45.0,15.0,438817,3.9644,0
sodium-sulfate,D,45.0,15.0,439203,3.9699,0
sodium-sulfate,D,45.0,15.0,439576,3.9685,0
sodium-sulfate,D,45.0,15.0,439962,3.987,0
sodium-sulfate,D,45.0,15.0,440348,4.033,0
sodium-sulfate,D,45.0,15.0,440734,4.1036,0
sodium-sulfate,D,45.0,45.0,448480,4.2118,0
sodium-sulfate,D,45.0,45.0,448852,4.2125,0
sodium-sulfate,D,45.0,45.0,449238,4.2125,0
sodium-sulfate,D,45.0,45.0,449624,4.2252,0
sodium-sulfate,D,45.0,45.0,450010,4.271,0
sodium-sulfate,D,45.0,45.0,450390,4.3916,0
sodium-sulfate,D,45.0,45.0,450764,4.422,0
sodium-sulfate,D,45.0,45.0,451151,4.4289,0
sodium-sulfate,D,45.0,45.0,451537,4.5146,0
sodium-sulfate,D,45.0,45.0,451924,4.6034,0
sodium-sulfate,D,45.0,45.0,452294,4.6063,0
sodium-sulfate,D,45.0,45.0,452680,4.6521,0
sodium-sulfate,D,45.0,45.0,453067,4.7642,0
sodium-sulfate,D,45.0,45.0,453453,4.7963,0
sodium-sulfate,D,45.0,45.0,453825,4.8086,0
sodium-sulfate,D,45.0,45.0,454211,4.9025,0
sodium-sulfate,D,45.0,90.0,461960,4.9963,0
sodium-sulfate,D,45.0,90.0,462347,4.9978,0
sodium-sulfate,D,45.0,90.0,462719,5.0179,0
sodium-sulfate,D,45.0,90.0,463105,5.1212,0
sodium-sulfate,D,45.0,90.0,463491,5.1745,0
sodium-sulfate,D,45.0,90.0,463877,5.2768,0
sodium-sulfate,D,45.0,90.0,464248,5.3521,0
sodium-sulfate,D,45.0,90.0,464634,5.4274,0
