powder_id,block,tilt_deg,phase,trial,action,rpm,before_g,after_g,delta_g,flag,t_ms,sigma_g,drift_g,shock_g,retries,quality
sodium-sulfate,A,45.0,baseline,0,,,51.271,51.263,-0.008,,14313,0.0056,-0.0005,0.0112,0,shock
sodium-sulfate,A,45.0,baseline,1,,,51.2273,51.2693,0.042,,18806,0.0091,-0.0357,0.0112,0,unsettled
sodium-sulfate,A,45.0,baseline,2,,,51.259,51.2728,0.0139,,23305,0.0074,-0.0104,-0.0112,0,shock
sodium-sulfate,A,45.0,baseline,3,,,51.285,51.2616,-0.0235,,27795,0.0093,0.0122,0.0033,0,shock
sodium-sulfate,A,45.0,baseline,4,,,51.2278,51.2696,0.0419,,32290,0.004,-0.0338,0.0145,0,unsettled
sodium-sulfate,A,45.0,baseline,5,,,51.2804,51.2665,-0.0138,,36785,0.0076,0.0107,0.0,0,unsettled
sodium-sulfate,A,45.0,baseline,6,,,51.2629,51.27,0.0071,,41280,0.0085,-0.0037,0.0,0,unsettled
sodium-sulfate,A,45.0,baseline,7,,,51.2704,51.2708,0.0004,,45775,0.0107,0.0004,0.0,0,unsettled
sodium-sulfate,B,0.0,hold,0,15,,51.1805,51.3001,0.1195,,75714,0.018,-0.094,-0.0249,0,shock
sodium-sulfate,B,45.0,hold,0,15,,51.2791,51.2729,-0.0062,,105656,0.0202,0.0021,0.0024,0,shock
sodium-sulfate,B,90.0,hold,0,15,,51.3044,51.2843,-0.0201,,135581,0.0333,0.0289,-0.0108,0,shock
sodium-sulfate,C,0.0,rotation,0,360.0,30.0,51.2797,51.34,0.0603,,155190,0.0021,0.0027,0.0,0,unsettled
sodium-sulfate,C,0.0,rotation,1,360.0,30.0,51.3472,51.3984,0.0512,,166761,0.0095,0.0076,0.0,0,unsettled
sodium-sulfate,C,0.0,rotation,2,360.0,30.0,51.4168,51.464,0.0473,,178321,0.0123,0.0177,0.0,0,unsettled
sodium-sulfate,C,0.0,rotation,3,360.0,30.0,51.4556,51.5148,0.0592,,189904,0.0132,-0.0089,0.0,0,unsettled
sodium-sulfate,C,0.0,rotation,4,360.0,30.0,51.6785,51.6952,0.0167,,224618,0.0121,0.0492,-0.0113,2,shock
sodium-sulfate,C,0.0,rotation,5,360.0,30.0,51.6628,51.7353,0.0725,,241150,0.0173,-0.0233,0.0,0,unsettled
sodium-sulfate,C,45.0,rotation,0,360.0,30.0,0.2203,0.4577,0.2374,,275582,0.0015,-0.0095,0.0,1,unsettled
sodium-sulfate,C,45.0,rotation,1,360.0,30.0,0.416,0.6738,0.2579,,287164,0.0094,-0.0377,0.0,0,unsettled
sodium-sulfate,C,45.0,rotation,2,360.0,30.0,0.6701,0.8675,0.1975,,298720,0.0119,-0.0046,0.0,0,unsettled
sodium-sulfate,C,45.0,rotation,3,360.0,30.0,0.8706,1.0677,0.1972,,310295,0.0022,0.0024,0.0,0,unsettled
sodium-sulfate,C,45.0,rotation,4,360.0,30.0,1.0736,1.2577,0.1842,,324360,0.0119,0.0071,0.0,0,unsettled
sodium-sulfate,C,45.0,rotation,5,360.0,30.0,1.2693,1.4454,0.1762,,335924,0.0063,0.0126,0.0,0,ok
sodium-sulfate,C,90.0,rotation,0,360.0,30.0,1.4332,1.6868,0.2536,,354759,0.0053,-0.01,0.0,0,ok
sodium-sulfate,C,90.0,rotation,1,360.0,30.0,1.6891,1.9731,0.284,,366335,0.0142,0.0031,0.0,0,unsettled
sodium-sulfate,C,90.0,rotation,2,360.0,30.0,2.0171,2.279,0.2619,,377902,0.0155,0.042,0.0,0,unsettled
sodium-sulfate,C,90.0,rotation,3,360.0,30.0,2.2541,2.4902,0.2361,,389478,0.0075,-0.0254,0.0,0,unsettled
sodium-sulfate,C,90.0,rotation,4,360.0,30.0,2.4996,2.7213,0.2217,,401048,0.0102,0.0089,0.0,0,unsettled
sodium-sulfate,C,90.0,rotation,5,360.0,30.0,2.7184,2.9223,0.204,,412621,0.0118,-0.0027,0.0,0,unsettled
sodium-sulfate,D,45.0,speed,0,3.0,15.0,2.9428,4.2125,1.2697,,445610,0.018,0.0201,0.0,0,unsettled
sodium-sulfate,D,45.0,speed,1,3.0,45.0,4.2052,4.996,0.7908,,459094,0.0059,-0.0073,0.0,0,unsettled
sodium-sulfate,D,45.0,speed,2,3.0,90.0,5.013,5.6696,0.6566,,469517,0.0115,0.0134,0.0,0,unsettled
sodium-sulfate,E,0.0,refeed,0,360.0,30.0,5.663,5.7178,0.0548,,488357,0.0097,-0.0065,0.0,0,unsettled
sodium-sulfate,E,0.0,tap,0,1,,5.7281,5.7243,-0.0038,,495915,0.0051,0.0083,0.0,0,unsettled
sodium-sulfate,E,0.0,refeed,1,360.0,30.0,5.7148,5.7701,0.0553,,507487,0.0047,-0.0081,0.0,0,unsettled
