powder_id,block,tilt_deg,rpm,t_ms,grams,stable
silicon-110-200,D,45.0,15.0,449316,3.5486,0
silicon-110-200,D,45.0,15.0,449702,3.5482,0
silicon-110-200,D,45.0,15.0,450088,3.548,0
silicon-110-200,D,45.0,15.0,450474,3.5542,0
silicon-110-200,D,45.0,15.0,450845,3.5762,0
silicon-110-200,D,45.0,15.0,451231,3.5952,0
silicon-110-200,D,45.0,15.0,451617,3.6028,0
silicon-110-200,D,45.0,15.0,452003,3.6087,0
silicon-110-200,D,45.0,15.0,452389,3.6093,0
silicon-110-200,D,45.0,15.0,452758,3.6103,0
silicon-110-200,D,45.0,15.0,453144,3.6166,0
silicon-110-200,D,45.0,15.0,453530,3.6449,0
silicon-110-200,D,45.0,15.0,453916,3.7017,0
silicon-110-200,D,45.0,15.0,454302,3.7547,0
silicon-110-200,D,45.0,15.0,454671,3.7825,0
silicon-110-200,D,45.0,15.0,455057,3.8035,0
silicon-110-200,D,45.0,15.0,455443,3.8153,0
silicon-110-200,D,45.0,15.0,455829,3.823,0
silicon-110-200,D,45.0,15.0,456201,3.8274,0
silicon-110-200,D,45.0,15.0,456587,3.8272,0
silicon-110-200,D,45.0,15.0,456973,3.8273,0
silicon-110-200,D,45.0,15.0,457359,3.8492,0
silicon-110-200,D,45.0,15.0,457732,3.8933,0
silicon-110-200,D,45.0,15.0,458118,3.9536,0
silicon-110-200,D,45.0,15.0,458504,3.9875,0
silicon-110-200,D,45.0,15.0,458890,4.0115,0
silicon-110-200,D,45.0,15.0,459262,4.0296,0
silicon-110-200,D,45.0,15.0,459648,4.0404,0
silicon-110-200,D,45.0,15.0,460034,4.0455,0
silicon-110-200,D,45.0,15.0,460420,4.0444,0
silicon-110-200,D,45.0,15.0,460799,4.0456,0
silicon-110-200,D,45.0,15.0,461186,4.0564,0
silicon-110-200,D,45.0,15.0,461556,4.088,0
silicon-110-200,D,45.0,15.0,461943,4.142,0
silicon-110-200,D,45.0,15.0,462330,4.1914,0
silicon-110-200,D,45.0,15.0,462716,4.2212,0
silicon-110-200,D,45.0,15.0,463088,4.2422,0
silicon-110-200,D,45.0,15.0,463474,4.2544,0
silicon-110-200,D,45.0,15.0,463860,4.2601,0
silicon-110-200,D,45.0,15.0,464246,4.263,0
silicon-110-200,D,45.0,15.0,464617,4.2643,0
silicon-110-200,D,45.0,15.0,465003,4.2673,0
silicon-110-200,D,45.0,15.0,465389,4.2877,0
silicon-110-200,D,45.0,15.0,465775,4.3332,0
silicon-110-200,D,45.0,15.0,466147,4.3917,0
silicon-110-200,D,45.0,15.0,466533,4.4291,0
silicon-110-200,D,45.0,15.0,466919,4.4507,0
silicon-110-200,D,45.0,15.0,467306,4.4667,0
silicon-110-200,D,45.0,45.0,475049,4.482,0
silicon-110-200,D,45.0,45.0,475435,4.4829,0
silicon-110-200,D,45.0,45.0,475805,4.479,0
silicon-110-200,D,45.0,45.0,476191,4.5275,0
silicon-110-200,D,45.0,45.0,476577,4.6161,0
silicon-110-200,D,45.0,45.0,476963,4.6458,0
silicon-110-200,D,45.0,45.0,477349,4.6637,0
silicon-110-200,D,45.0,45.0,477718,4.7462,0
silicon-110-200,D,45.0,45.0,478104,4.8056,0
silicon-110-200,D,45.0,45.0,478490,4.8193,0
silicon-110-200,D,45.0,45.0,478876,4.8643,0
silicon-110-200,D,45.0,45.0,479248,4.9522,0
silicon-110-200,D,45.0,45.0,479634,4.9815,0
silicon-110-200,D,45.0,45.0,480020,4.9999,0
silicon-110-200,D,45.0,45.0,480406,5.0874,0
silicon-110-200,D,45.0,45.0,480779,5.142,0
silicon-110-200,D,45.0,90.0,488531,5.261,0
silicon-110-200,D,45.0,90.0,488917,5.2612,0
silicon-110-200,D,45.0,90.0,489290,5.2848,0
silicon-110-200,D,45.0,90.0,489676,5.3368,0
silicon-110-200,D,45.0,90.0,490062,5.4463,0
silicon-110-200,D,45.0,90.0,490448,5.5013,0
silicon-110-200,D,45.0,90.0,490819,5.6093,0
silicon-110-200,D,45.0,90.0,491206,5.6797,0
