powder_id,block,tilt_deg,phase,n,mean_g,std_g,sem_g,min_g,max_g,rsd_pct
silicon-110-200,A,45.0,baseline,8,-0.0009874999999999997,0.020189066171003127,0.007137912797670118,-0.0281,0.029,2044.4623970636083
silicon-110-200,B,0.0,hold,1,0.0049,,,0.0049,0.0049,
silicon-110-200,B,45.0,hold,1,-0.0328,,,-0.0328,-0.0328,
silicon-110-200,B,90.0,hold,1,0.0464,,,0.0464,0.0464,
silicon-110-200,C,0.0,rotation,6,0.05716666666666667,0.0173715476186397,0.007091904618021248,0.0307,0.0775,30.387546854763322
silicon-110-200,C,45.0,rotation,6,0.2107,0.01467678438895932,0.005991772136299355,0.1954,0.2342,6.965725860920417
silicon-110-200,C,90.0,rotation,6,0.30235,0.013236124810532728,0.0054036253262663096,0.2833,0.321,4.377749234507269
silicon-110-200,D,45.0,speed,3,0.7741000000000001,0.14163431787529462,0.08177261155179039,0.6307,0.9139,18.296643569990263
silicon-110-200,E,0.0,refeed,8,0.0557125,0.011643322733898356,0.004116536230341509,0.0375,0.0709,20.89894141152947
silicon-110-200,E,0.0,tap,8,-0.003725,0.0074603236237732054,0.0026376227121081156,-0.0154,0.0068,200.27714426236793
silicon-110-200,E,45.0,refeed,8,0.1745875,0.015343536331069748,0.005424759293540788,0.1435,0.189,8.788450680071453
silicon-110-200,E,45.0,tap,8,-0.003525,0.006652550531294639,0.0023520317964323043,-0.0116,0.0071,188.7248377672238
