powder_id,block,tilt_deg,phase,trial,reason,shock_g,discarded_delta_g,t_ms
alsi10mg,C,45.0,rotation,0,shock,-0.0134,0.2047,239357
alsi10mg,C,45.0,rotation,1,shock,-0.0102,0.2099,262500
alsi10mg,C,45.0,rotation,2,shock,-0.0114,0.2779,285650
alsi10mg,C,45.0,rotation,4,shock,0.0012,0.2189,320352
alsi10mg,C,90.0,rotation,0,shock,-0.0129,0.2999,362338
alsi10mg,C,90.0,rotation,3,shock,-0.0132,0.3401,423537
alsi10mg,C,90.0,rotation,3,shock,-0.0107,0.3463,435120
alsi10mg,C,90.0,rotation,4,shock,-0.009,0.3948,470695
alsi10mg,C,90.0,rotation,4,shock,-0.0038,0.2888,492199
alsi10mg,E,0.0,refeed,0,shock,0.011,0.0381,603515
alsi10mg,E,0.0,tap,0,shock,-0.0121,-0.0156,622652
alsi10mg,E,0.0,tap,1,shock,-0.0114,0.0018,651812
alsi10mg,E,0.0,tap,1,shock,-0.0112,-0.0149,659361
alsi10mg,E,0.0,tap,2,shock,0.0154,0.0059,688528
alsi10mg,E,0.0,tap,2,shock,0.0003,0.014,696096
alsi10mg,E,0.0,tap,4,shock,-0.0009,-0.0169,741895
alsi10mg,E,0.0,tap,4,shock,0.0107,0.0067,749447
alsi10mg,E,0.0,tap,5,shock,-0.0117,-0.0154,786080
alsi10mg,E,0.0,tap,5,shock,0.0105,0.003,793628
alsi10mg,E,0.0,refeed,6,shock,-0.0061,0.0435,817733
alsi10mg,E,45.0,refeed,0,shock,0.0132,0.264,877304
alsi10mg,E,45.0,refeed,0,shock,-0.0114,0.2827,893847
alsi10mg,E,45.0,tap,1,shock,0.0118,-0.0145,934591
alsi10mg,E,45.0,tap,1,shock,-0.0007,0.0216,942142
alsi10mg,E,45.0,refeed,2,shock,0.0001,0.2246,966253
alsi10mg,E,45.0,refeed,2,shock,0.0017,0.2602,980299
alsi10mg,E,45.0,refeed,3,shock,-0.017,0.271,1028404
alsi10mg,E,45.0,refeed,3,shock,-0.0134,0.3229,1039971
alsi10mg,E,45.0,refeed,4,shock,-0.0085,0.2884,1075642
alsi10mg,E,45.0,refeed,4,shock,0.0108,0.2701,1092190
alsi10mg,E,45.0,refeed,5,shock,0.0005,0.2112,1127861
alsi10mg,E,45.0,refeed,5,shock,0.0166,0.2426,1139439
alsi10mg,E,45.0,tap,5,shock,0.0034,0.0047,1158553
alsi10mg,E,45.0,tap,5,shock,0.0111,0.0088,1171081
alsi10mg,E,45.0,refeed,6,shock,-0.0105,0.2713,1192706
alsi10mg,E,45.0,refeed,6,shock,-0.0344,0.2583,1204266
alsi10mg,E,45.0,refeed,7,shock,0.0114,0.2644,1234967
alsi10mg,E,45.0,refeed,7,shock,0.0101,0.2888,1246546
