powder_id,block,tilt_deg,rpm,t_ms,grams,stable
silicon-325,D,45.0,15.0,408695,0.0,1
silicon-325,D,45.0,15.0,409081,0.0,1
silicon-325,D,45.0,15.0,409467,0.0,1
silicon-325,D,45.0,15.0,409853,0.0,1
silicon-325,D,45.0,15.0,410224,0.0,1
silicon-325,D,45.0,15.0,410609,0.0,1
silicon-325,D,45.0,15.0,410996,0.0006,0
silicon-325,D,45.0,15.0,411383,0.0008,0
silicon-325,D,45.0,15.0,411753,0.0012,0
silicon-325,D,45.0,15.0,412140,0.0014,0
silicon-325,D,45.0,15.0,412527,0.0017,0
silicon-325,D,45.0,15.0,412901,0.0019,0
silicon-325,D,45.0,15.0,413288,0.0021,0
silicon-325,D,45.0,15.0,413675,0.0023,0
silicon-325,D,45.0,15.0,414047,0.0025,0
silicon-325,D,45.0,15.0,414434,0.0027,0
silicon-325,D,45.0,15.0,414821,0.0029,0
silicon-325,D,45.0,15.0,415195,0.0032,0
silicon-325,D,45.0,15.0,415582,0.0034,0
silicon-325,D,45.0,15.0,415969,0.0039,0
silicon-325,D,45.0,15.0,416344,0.0046,0
silicon-325,D,45.0,15.0,416731,0.0054,0
silicon-325,D,45.0,15.0,417111,0.006,0
silicon-325,D,45.0,15.0,417498,0.0066,0
silicon-325,D,45.0,15.0,417885,0.0071,0
silicon-325,D,45.0,15.0,418257,0.0075,0
silicon-325,D,45.0,15.0,418644,0.0079,0
silicon-325,D,45.0,15.0,419031,0.0083,0
silicon-325,D,45.0,15.0,419403,0.0089,0
silicon-325,D,45.0,15.0,419790,0.0094,0
silicon-325,D,45.0,15.0,420177,0.0097,0
silicon-325,D,45.0,15.0,420551,0.0102,0
silicon-325,D,45.0,15.0,420937,0.0106,0
silicon-325,D,45.0,15.0,421323,0.0109,0
silicon-325,D,45.0,15.0,421710,0.0112,0
silicon-325,D,45.0,15.0,422080,0.0113,0
silicon-325,D,45.0,15.0,422466,0.0113,1
silicon-325,D,45.0,15.0,422852,0.0114,1
silicon-325,D,45.0,15.0,423238,0.0114,1
silicon-325,D,45.0,15.0,423624,0.0115,1
silicon-325,D,45.0,15.0,423993,0.0169,0
silicon-325,D,45.0,15.0,424379,0.0176,0
silicon-325,D,45.0,15.0,424765,0.0179,0
silicon-325,D,45.0,15.0,425151,0.0182,0
silicon-325,D,45.0,15.0,425525,0.0183,0
silicon-325,D,45.0,15.0,425911,0.0184,0
silicon-325,D,45.0,15.0,426297,0.0185,0
silicon-325,D,45.0,15.0,426671,0.019,0
silicon-325,D,45.0,45.0,434420,0.0214,1
silicon-325,D,45.0,45.0,434806,0.0214,1
silicon-325,D,45.0,45.0,435192,0.0214,1
silicon-325,D,45.0,45.0,435566,0.0214,1
silicon-325,D,45.0,45.0,435952,0.0215,1
silicon-325,D,45.0,45.0,436338,0.0215,1
silicon-325,D,45.0,45.0,436724,0.0221,0
silicon-325,D,45.0,45.0,437094,0.0226,0
silicon-325,D,45.0,45.0,437480,0.0267,0
silicon-325,D,45.0,45.0,437866,0.028,0
silicon-325,D,45.0,45.0,438246,0.0314,0
silicon-325,D,45.0,45.0,438633,0.0315,0
silicon-325,D,45.0,45.0,439019,0.0319,0
silicon-325,D,45.0,45.0,439390,0.0323,0
silicon-325,D,45.0,45.0,439777,0.0328,0
silicon-325,D,45.0,45.0,440163,0.0333,0
silicon-325,D,45.0,90.0,447902,0.0354,1
silicon-325,D,45.0,90.0,448289,0.0354,1
silicon-325,D,45.0,90.0,448675,0.0354,1
silicon-325,D,45.0,90.0,449061,0.0354,1
silicon-325,D,45.0,90.0,449433,0.0354,1
silicon-325,D,45.0,90.0,449820,0.0363,0
silicon-325,D,45.0,90.0,450206,0.0373,0
silicon-325,D,45.0,90.0,450578,0.0443,0
