powder_id,block,tilt_deg,phase,n,mean_g,std_g,sem_g,min_g,max_g,rsd_pct
silicon-325,A,45.0,baseline,8,0.0,0.0,0.0,0.0,0.0,
silicon-325,B,0.0,hold,1,0.0,,,0.0,0.0,
silicon-325,B,45.0,hold,1,0.0,,,0.0,0.0,
silicon-325,B,90.0,hold,1,0.0,,,0.0,0.0,
silicon-325,C,0.0,rotation,6,0.0,0.0,0.0,0.0,0.0,
silicon-325,C,45.0,rotation,6,0.0,0.0,0.0,0.0,0.0,
silicon-325,C,90.0,rotation,6,0.0012,0.002939387691339814,0.0012000000000000001,0.0,0.0072,244.94897427831782
silicon-325,D,45.0,speed,3,0.01746666666666667,0.003722006627255428,0.0021489015281714926,0.014,0.0214,21.30919824764558
silicon-325,E,0.0,refeed,8,0.0003125,0.0004189698250300542,0.0001481282021956463,-0.0002,0.0012,134.07034400961734
silicon-325,E,0.0,tap,8,-3.7500000000000003e-05,0.00018468119248354136,6.529466178136506e-05,-0.0003,0.0003,492.4831799561102
silicon-325,E,45.0,refeed,8,0.0011,0.0018715921411614077,0.0006617077473153407,-0.0002,0.0055,170.1447401055825
silicon-325,E,45.0,tap,8,0.00055,0.0009335033858688309,0.0003300432872042263,-0.0002,0.0025,169.72788833978743
