powder_id,block,tilt_deg,rpm,t_ms,grams,stable
barium-chloride,D,45.0,15.0,408723,0.0,1
barium-chloride,D,45.0,15.0,409109,0.0,1
barium-chloride,D,45.0,15.0,409481,0.0095,0
barium-chloride,D,45.0,15.0,409868,0.0146,0
barium-chloride,D,45.0,15.0,410254,0.0175,0
barium-chloride,D,45.0,15.0,410627,0.0177,0
barium-chloride,D,45.0,15.0,411014,0.0183,0
barium-chloride,D,45.0,15.0,411400,0.0238,0
barium-chloride,D,45.0,15.0,411786,0.0271,0
barium-chloride,D,45.0,15.0,412158,0.0342,0
barium-chloride,D,45.0,15.0,412544,0.0884,0
barium-chloride,D,45.0,15.0,412930,0.112,0
barium-chloride,D,45.0,15.0,413316,0.1309,0
barium-chloride,D,45.0,15.0,413688,0.1464,0
barium-chloride,D,45.0,15.0,414074,0.1532,0
barium-chloride,D,45.0,15.0,414460,0.1539,0
barium-chloride,D,45.0,15.0,414846,0.1544,0
barium-chloride,D,45.0,15.0,415217,0.158,0
barium-chloride,D,45.0,15.0,415604,0.1615,0
barium-chloride,D,45.0,15.0,415990,0.179,0
barium-chloride,D,45.0,15.0,416376,0.2306,0
barium-chloride,D,45.0,15.0,416747,0.2734,0
barium-chloride,D,45.0,15.0,417134,0.2947,0
barium-chloride,D,45.0,15.0,417520,0.314,0
barium-chloride,D,45.0,15.0,417906,0.3234,0
barium-chloride,D,45.0,15.0,418278,0.3282,0
barium-chloride,D,45.0,15.0,418664,0.3287,0
barium-chloride,D,45.0,15.0,419050,0.3328,0
barium-chloride,D,45.0,15.0,419429,0.3425,0
barium-chloride,D,45.0,15.0,419816,0.3648,0
barium-chloride,D,45.0,15.0,420202,0.4186,0
barium-chloride,D,45.0,15.0,420573,0.464,0
barium-chloride,D,45.0,15.0,420960,0.4851,0
barium-chloride,D,45.0,15.0,421346,0.5087,0
barium-chloride,D,45.0,15.0,421732,0.5256,0
barium-chloride,D,45.0,15.0,422103,0.5308,0
barium-chloride,D,45.0,15.0,422489,0.5307,0
barium-chloride,D,45.0,15.0,422875,0.5316,0
barium-chloride,D,45.0,15.0,423261,0.5412,0
barium-chloride,D,45.0,15.0,423634,0.5545,0
barium-chloride,D,45.0,15.0,424020,0.5968,0
barium-chloride,D,45.0,15.0,424406,0.6616,0
barium-chloride,D,45.0,15.0,424792,0.6889,0
barium-chloride,D,45.0,15.0,425164,0.7065,0
barium-chloride,D,45.0,15.0,425550,0.7263,0
barium-chloride,D,45.0,15.0,425936,0.7348,0
barium-chloride,D,45.0,15.0,426323,0.7387,0
barium-chloride,D,45.0,15.0,426693,0.7391,0
barium-chloride,D,45.0,45.0,434447,0.783,1
barium-chloride,D,45.0,45.0,434833,0.783,1
barium-chloride,D,45.0,45.0,435205,0.7953,0
barium-chloride,D,45.0,45.0,435591,0.8477,0
barium-chloride,D,45.0,45.0,435977,0.8788,0
barium-chloride,D,45.0,45.0,436363,0.8816,0
barium-chloride,D,45.0,45.0,436735,0.8935,0
barium-chloride,D,45.0,45.0,437121,0.8958,0
barium-chloride,D,45.0,45.0,437507,0.8964,0
barium-chloride,D,45.0,45.0,437893,0.897,0
barium-chloride,D,45.0,45.0,438265,0.8977,0
barium-chloride,D,45.0,45.0,438651,0.9044,0
barium-chloride,D,45.0,45.0,439037,0.9056,0
barium-chloride,D,45.0,45.0,439423,0.9066,0
barium-chloride,D,45.0,45.0,439794,0.9113,0
barium-chloride,D,45.0,45.0,440180,0.9116,0
barium-chloride,D,45.0,90.0,447932,0.9184,1
barium-chloride,D,45.0,90.0,448318,0.9184,1
barium-chloride,D,45.0,90.0,448689,0.9184,1
barium-chloride,D,45.0,90.0,449075,0.9285,0
barium-chloride,D,45.0,90.0,449461,0.9515,0
barium-chloride,D,45.0,90.0,449847,1.0326,0
barium-chloride,D,45.0,90.0,450219,1.0956,0
barium-chloride,D,45.0,90.0,450605,1.1878,0
