powder_id,block,tilt_deg,phase,n,mean_g,std_g,sem_g,min_g,max_g,rsd_pct
barium-chloride,A,45.0,baseline,8,0.0,0.0,0.0,0.0,0.0,
barium-chloride,B,0.0,hold,1,0.0,,,0.0,0.0,
barium-chloride,B,45.0,hold,1,0.0,,,0.0,0.0,
barium-chloride,B,90.0,hold,1,0.0,,,0.0,0.0,
barium-chloride,C,0.0,rotation,6,0.023283333333333333,0.01094046007563972,0.004466424122768061,0.0098,0.0332,46.98837541434382
barium-chloride,C,45.0,rotation,6,0.1847,0.03170154570364039,0.01294210183857321,0.1431,0.2253,17.16380384604244
barium-chloride,C,90.0,rotation,6,0.20038333333333336,0.07672299307682584,0.03132203076288495,0.1375,0.319,38.28811099234426
barium-chloride,D,45.0,speed,3,0.44226666666666664,0.3251675926861921,0.18773559716911561,0.1353,0.783,73.52297091186135
barium-chloride,E,0.0,refeed,8,0.0373625,0.0023033748531851514,0.0008143659891508944,0.0336,0.04,6.164937713443028
barium-chloride,E,0.0,tap,8,6.25e-05,0.00011877349391654207,4.1992771486803024e-05,-0.0001,0.0002,190.03759026646733
barium-chloride,E,45.0,refeed,8,0.1907625,0.011642279784107088,0.004116167491906588,0.1771,0.2107,6.103023279788789
barium-chloride,E,45.0,tap,8,0.002125,0.001037510757259206,0.0003668154460059873,0.0012,0.0045,48.824035635727334
