powder_id,block,tilt_deg,phase,trial,action,rpm,before_g,after_g,delta_g,flag,t_ms,sigma_g,drift_g,shock_g,retries,quality
barium-chloride,A,45.0,baseline,0,,,0.0,0.0,0.0,,18357,0.0,0.0,0.0,0,ok
barium-chloride,A,45.0,baseline,1,,,0.0,0.0,0.0,,22851,0.0,0.0,0.0,0,ok
barium-chloride,A,45.0,baseline,2,,,0.0,0.0,0.0,,27347,0.0,0.0,0.0,0,ok
barium-chloride,A,45.0,baseline,3,,,0.0,0.0,0.0,,31844,0.0,0.0,0.0,0,ok
barium-chloride,A,45.0,baseline,4,,,0.0,0.0,0.0,,36335,0.0,0.0,0.0,0,ok
barium-chloride,A,45.0,baseline,5,,,0.0,0.0,0.0,,40830,0.0,0.0,0.0,0,ok
barium-chloride,A,45.0,baseline,6,,,0.0,0.0,0.0,,45336,0.0,0.0,0.0,0,ok
barium-chloride,A,45.0,baseline,7,,,0.0,0.0,0.0,,49820,0.0,0.0,0.0,0,ok
barium-chloride,B,0.0,hold,0,15,,0.0,0.0,0.0,,83786,0.0,0.0,0.0,0,ok
barium-chloride,B,45.0,hold,0,15,,0.0,0.0,0.0,,117724,0.0,0.0,0.0,0,ok
barium-chloride,B,90.0,hold,0,15,,0.0,0.0,0.0,,151673,0.0,0.0,0.0,0,ok
barium-chloride,C,0.0,rotation,0,360.0,30.0,0.0,0.0099,0.0099,,175288,0.0,0.0,0.0,0,ok
barium-chloride,C,0.0,rotation,1,360.0,30.0,0.0099,0.0197,0.0098,,186860,0.0,0.0,0.0,0,ok
barium-chloride,C,0.0,rotation,2,360.0,30.0,0.0197,0.0435,0.0238,,198436,0.0,0.0,0.0,0,ok
barium-chloride,C,0.0,rotation,3,360.0,30.0,0.0435,0.0736,0.0301,,210007,0.0,0.0,0.0,0,ok
barium-chloride,C,0.0,rotation,4,360.0,30.0,0.0739,0.1068,0.0329,,221575,0.0002,0.0003,0.0,0,ok
barium-chloride,C,0.0,rotation,5,360.0,30.0,0.1068,0.14,0.0332,,233146,0.0,0.0,0.0,0,ok
barium-chloride,C,45.0,rotation,0,360.0,30.0,0.0,0.1431,0.1431,,256003,0.0,0.0,0.0,0,ok
barium-chloride,C,45.0,rotation,1,360.0,30.0,0.1431,0.3004,0.1573,,267573,0.0,0.0,0.0,0,ok
barium-chloride,C,45.0,rotation,2,360.0,30.0,0.3004,0.4846,0.1842,,279159,0.0,0.0,0.0,0,ok
