powder_id,block,tilt_deg,rpm,t_ms,grams,stable
fumed-silica,D,45.0,15.0,398970,-4.1978,1
fumed-silica,D,45.0,15.0,399357,-4.2044,0
fumed-silica,D,45.0,15.0,399729,-4.2053,0
fumed-silica,D,45.0,15.0,400115,-4.1995,0
fumed-silica,D,45.0,15.0,400502,-4.2006,0
fumed-silica,D,45.0,15.0,400888,-4.2013,0
fumed-silica,D,45.0,15.0,401259,-4.2011,0
fumed-silica,D,45.0,15.0,401646,-4.2063,0
fumed-silica,D,45.0,15.0,402033,-4.2036,0
fumed-silica,D,45.0,15.0,402406,-4.2025,0
fumed-silica,D,45.0,15.0,402792,-4.2022,0
fumed-silica,D,45.0,15.0,403179,-4.2022,0
fumed-silica,D,45.0,15.0,403565,-4.2022,0
fumed-silica,D,45.0,15.0,403936,-4.1952,0
fumed-silica,D,45.0,15.0,404322,-4.198,0
fumed-silica,D,45.0,15.0,404709,-4.1983,0
fumed-silica,D,45.0,15.0,405096,-4.1981,0
fumed-silica,D,45.0,15.0,405466,-4.1986,0
fumed-silica,D,45.0,15.0,405852,-4.2062,0
fumed-silica,D,45.0,15.0,406239,-4.1956,0
fumed-silica,D,45.0,15.0,406614,-4.2012,0
fumed-silica,D,45.0,15.0,407000,-4.2052,0
fumed-silica,D,45.0,15.0,407386,-4.2024,0
fumed-silica,D,45.0,15.0,407772,-4.2033,0
fumed-silica,D,45.0,15.0,408143,-4.2034,0
fumed-silica,D,45.0,15.0,408530,-4.1958,0
fumed-silica,D,45.0,15.0,408917,-4.1969,0
fumed-silica,D,45.0,15.0,409303,-4.1977,0
fumed-silica,D,45.0,15.0,409675,-4.2044,0
fumed-silica,D,45.0,15.0,410061,-4.2012,0
fumed-silica,D,45.0,15.0,410448,-4.2017,0
fumed-silica,D,45.0,15.0,410821,-4.2011,0
fumed-silica,D,45.0,15.0,411207,-4.2005,0
fumed-silica,D,45.0,15.0,411593,-4.1998,0
fumed-silica,D,45.0,15.0,411979,-4.2005,0
fumed-silica,D,45.0,15.0,412352,-4.1997,0
fumed-silica,D,45.0,15.0,412738,-4.2009,0
fumed-silica,D,45.0,15.0,413118,-4.2018,0
fumed-silica,D,45.0,15.0,413505,-4.1989,0
fumed-silica,D,45.0,15.0,413892,-4.1992,0
fumed-silica,D,45.0,15.0,414266,-4.202,0
fumed-silica,D,45.0,15.0,414652,-4.1999,0
fumed-silica,D,45.0,15.0,415038,-4.2084,0
fumed-silica,D,45.0,15.0,415411,-4.2018,0
fumed-silica,D,45.0,15.0,415798,-4.2008,0
fumed-silica,D,45.0,15.0,416184,-4.2002,0
fumed-silica,D,45.0,15.0,416570,-4.2005,0
fumed-silica,D,45.0,15.0,416941,-4.2067,0
fumed-silica,D,45.0,45.0,424695,-4.1966,1
fumed-silica,D,45.0,45.0,425082,-4.2158,0
fumed-silica,D,45.0,45.0,425453,-4.2507,0
fumed-silica,D,45.0,45.0,425839,-4.2391,0
fumed-silica,D,45.0,45.0,426225,-4.2365,0
fumed-silica,D,45.0,45.0,426612,-4.2359,0
fumed-silica,D,45.0,45.0,426983,-4.2344,0
fumed-silica,D,45.0,45.0,427369,-4.2333,0
fumed-silica,D,45.0,45.0,427755,-4.2314,0
fumed-silica,D,45.0,45.0,428141,-4.2333,0
fumed-silica,D,45.0,45.0,428513,-4.2381,0
fumed-silica,D,45.0,45.0,428899,-4.2386,0
fumed-silica,D,45.0,45.0,429285,-4.239,0
fumed-silica,D,45.0,45.0,429671,-4.2399,0
fumed-silica,D,45.0,45.0,430044,-4.231,0
fumed-silica,D,45.0,45.0,430430,-4.2356,0
fumed-silica,D,45.0,90.0,438179,-4.1947,0
fumed-silica,D,45.0,90.0,438566,-4.2003,0
fumed-silica,D,45.0,90.0,438938,-4.2319,0
fumed-silica,D,45.0,90.0,439324,-4.2548,0
fumed-silica,D,45.0,90.0,439711,-4.2562,0
fumed-silica,D,45.0,90.0,440084,-4.2671,0
fumed-silica,D,45.0,90.0,440470,-4.242,0
fumed-silica,D,45.0,90.0,440857,-4.2461,0
