powder_id,block,tilt_deg,phase,n,mean_g,std_g,sem_g,min_g,max_g,rsd_pct
fumed-silica,A,45.0,baseline,8,-0.0009875,0.003860953805177457,0.001365053308744492,-0.0061,0.0044,390.9826638154387
fumed-silica,B,0.0,hold,1,0.0079,,,0.0079,0.0079,
fumed-silica,B,45.0,hold,1,-0.0191,,,-0.0191,-0.0191,
fumed-silica,B,90.0,hold,1,0.0015,,,0.0015,0.0015,
fumed-silica,C,0.0,rotation,6,0.0025166666666666666,0.014068321387666213,0.0057433681562109335,-0.0126,0.0283,559.0061478542866
fumed-silica,C,45.0,rotation,6,0.0027166666666666663,0.014250251459769636,0.005817640797131123,-0.0155,0.0186,524.549133488453
fumed-silica,C,90.0,rotation,6,0.005566666666666667,0.009963065124080373,0.004067404304685948,-0.0058,0.0172,178.977217797851
fumed-silica,D,45.0,speed,3,-0.0005000000000000001,0.0243006172761105,0.014029967925836467,-0.0211,0.0263,4860.1234552220985
fumed-silica,E,0.0,refeed,8,-0.008862499999999999,0.009848268520767641,0.003481888726990404,-0.0237,0.0012,111.12291701853475
fumed-silica,E,0.0,tap,8,0.032175,0.006221793494300039,0.0021997361854809512,0.0216,0.042,19.337353517638036
fumed-silica,E,45.0,refeed,8,0.0126875,0.015565569834918164,0.005503259991651701,-0.0044,0.0442,122.68429426536484
fumed-silica,E,45.0,tap,8,0.00185,0.0021889332039668483,0.0007739047560446772,-0.0012,0.0047,118.32071372793774
