powder_id,source,detail,tilt_deg,rpm,mass_at_stop_g,settled_g,afterflow_mg,flow_mean_g_per_s,flow_slope_g_per_s,flow_slope1_g_per_s,dispense_s,poll_cadence_s,note
brown-rice-flour,D-speed,15rpm,45.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0625,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
brown-rice-flour,D-speed,45rpm,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1875,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
brown-rice-flour,D-speed,90rpm,45.0,90.0,0.0006,0.0026,1.8999999999999997,0.0010947368421052631,0.0002737364416198709,0.0007673251634864565,2.375,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
white-rice-flour,G-bulk,dose0,90.0,55.0,0.3964,0.42,23.599999999999998,0.028561684924360977,0.034474122512854886,0.047035993740219245,13.878733031674209,0.2891402714932127,afterflow from controller's while-settling delta (0.8 s settle + stable weigh)
white-rice-flour,G-bulk,dose1,90.0,55.0,0.384,0.4212,37.199999999999996,0.02990643586329338,0.02656449178872609,0.029123728362183604,12.84004559270517,0.2853343465045593,afterflow from controller's while-settling delta (0.8 s settle + stable weigh)
white-rice-flour,G-bulk,dose2,90.0,55.0,0.385,0.4167,31.7,0.040199556541019955,0.044683037694013356,0.052753303769400975,9.577220077220078,0.2902187902187902,afterflow from controller's while-settling delta (0.8 s settle + stable weigh)
white-rice-flour,D-speed,15rpm,45.0,15.0,0.0524,0.0572,4.799999999999999,0.004741968911917098,0.002800515656797514,0.0027861033314954342,12.0625,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
white-rice-flour,D-speed,45rpm,45.0,45.0,0.0562,0.1295,16.1,0.017265671641791047,0.012229683665037848,0.010377770234226529,4.1875,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
white-rice-flour,D-speed,90rpm,45.0,90.0,0.07880000000000001,0.2406,32.3,0.04677894736842105,0.04743542279767785,0.06155374508762626,2.375,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
sodium-alginate,G-bulk,dose0,90.0,55.0,0.38649999999999995,0.3958,9.299999999999999,0.013494445633159475,0.012344761760144193,0.011510255865158189,28.64141369766726,0.2893072090673461,afterflow from controller's while-settling delta (0.8 s settle + stable weigh)
sodium-alginate,G-bulk,dose1,90.0,55.0,0.38370000000000004,0.3931,9.4,0.01212849059728842,0.012194418577749458,0.009109801902889176,31.6362532437288,0.28760230221571637,afterflow from controller's while-settling delta (0.8 s settle + stable weigh)
sodium-alginate,G-bulk,dose2,90.0,55.0,0.3829,0.3938,10.9,0.012075221062042977,0.012029944051382312,0.007284868282402449,31.709564407363164,0.2882687673396651,afterflow from controller's while-settling delta (0.8 s settle + stable weigh)
sodium-alginate,D-speed,15rpm,45.0,15.0,0.0287,0.0332,4.500000000000001,0.0027523316062176167,0.0014196438762696937,0.0017794096878972264,12.0625,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
sodium-alginate,D-speed,45rpm,45.0,45.0,0.025999999999999995,0.0681,8.799999999999995,0.00831044776119403,0.006939861914377352,0.004423150065118288,4.1875,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
sodium-alginate,D-speed,90rpm,45.0,90.0,0.0242,0.1069,14.69999999999999,0.016378947368421052,0.015261721776517176,0.01902434405093251,2.375,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
calcium-lactate,G-bulk,dose0,90.0,55.0,0.4091,0.5483,139.2,0.13272049910873443,0.14792385620915036,0.17382784313725516,3.082417582417582,0.2802197802197802,afterflow from controller's while-settling delta (0.8 s settle + stable weigh)
