powder_id,rpm,tilt_deg,n_polls,poll_dt_ms,polls_per_rev,actual_revs,streamed_mg,settled_mg,settled_mg_per_rev,ramp_dev,burstiness
calcium-lactate,15.0,45.0,48,287,13.9,3.46,541.2,571.3,164.9,0.067,2.96
calcium-lactate,45.0,45.0,16,287,4.6,3.44,340.0,450.5,130.8,0.063,2.43
calcium-lactate,90.0,45.0,8,287,2.3,3.44,218.6,385.6,112.1,0.039,1.84
xanthan-gum,15.0,45.0,48,287,13.9,3.47,642.7,700.0,201.9,0.057,2.56
xanthan-gum,45.0,45.0,16,287,4.6,3.43,301.6,374.0,108.9,0.055,2.1
xanthan-gum,90.0,45.0,8,287,2.3,3.45,208.6,317.6,92.2,0.07,2.33
carboxymethyl-cellulose,15.0,45.0,48,287,13.9,3.49,58.0,70.2,20.1,0.134,5.83
carboxymethyl-cellulose,45.0,45.0,16,287,4.6,3.44,67.9,91.6,26.6,0.076,2.56
carboxymethyl-cellulose,90.0,45.0,8,287,2.3,3.44,57.0,86.5,25.1,0.032,1.88
white-rice-flour,15.0,45.0,48,287,13.9,3.47,52.4,57.2,16.5,0.197,6.91
white-rice-flour,45.0,45.0,16,287,4.6,3.44,56.2,72.3,21.0,0.095,2.67
white-rice-flour,90.0,45.0,8,287,2.3,3.44,78.8,111.1,32.3,0.058,2.21
salt,15.0,45.0,48,287,13.9,3.46,120.6,151.7,43.8,0.098,3.08
salt,45.0,45.0,16,287,4.6,3.44,44.0,58.9,17.1,0.086,2.32
salt,90.0,45.0,8,287,2.3,3.44,30.1,53.7,15.6,0.034,2.07
sodium-alginate,15.0,45.0,48,287,13.9,3.47,28.7,33.2,9.6,0.082,7.86
sodium-alginate,45.0,45.0,16,287,4.6,3.44,26.0,34.8,10.1,0.076,2.94
sodium-alginate,90.0,45.0,8,287,2.3,3.44,24.2,38.9,11.3,0.014,2.17
brown-rice-flour,15.0,45.0,48,287,13.9,3.49,0.0,0.0,0.0,,
brown-rice-flour,45.0,45.0,16,287,4.6,3.51,0.0,0.0,0.0,,
brown-rice-flour,90.0,45.0,8,287,2.3,3.57,0.7,2.6,0.7,,
