M,stream,scale-idle-v1
M,poll_hz,5.0
M,duration_s,1200.0
M,baud,19200
M,bits,8
M,parity,0
M,stop,1
M,response_timeout_ms,1000
E,8,stream start
S,120,1.0361,S
S,299,1.0361,S
S,497,1.0361,S
S,680,1.0361,S
S,876,1.0361,S
S,1064,1.0362,S
S,1255,1.0362,S
S,1456,1.0362,S
S,1637,1.0362,S
S,1924,1.0362,S
S,2121,1.0362,S
S,2308,1.0362,S
S,2500,1.0362,S
S,2700,1.0362,S
S,2881,1.0362,S
S,3080,1.0362,S
S,3264,1.0362,S
S,3459,1.0362,S
S,3645,1.0362,S
S,3944,1.0362,S
S,4125,1.0362,S
S,4325,1.0362,S
S,4506,1.0362,S
S,4706,1.0362,S
S,4889,1.0362,S
S,5085,1.0362,S
S,5271,1.0362,S
S,5465,1.0362,S
S,5666,1.0362,S
S,5846,1.0362,S
S,6131,1.0361,S
S,6331,1.0361,S
S,6515,1.0361,S
S,6710,1.0361,S
S,6896,1.0361,S
S,7090,1.0361,S
S,7290,1.0361,S
S,7471,1.0361,S
S,7670,1.0361,S
S,7853,1.0361,S
S,8140,1.0361,S
S,8334,1.0361,S
S,8535,1.0361,S
S,8715,1.0361,S
S,8915,1.0361,S
S,9097,1.0361,S
S,9294,1.0361,S
S,9480,1.0361,S
S,9673,1.0361,S
S,9862,1.0361,S
S,10159,1.0361,S
S,10341,1.0361,S
S,10538,1.0361,S
S,10722,1.0361,S
S,10918,1.0361,S
S,11106,1.0361,S
S,11298,1.0361,S
S,11498,1.0361,S
S,11679,1.0361,S
S,11877,1.0361,S
S,12062,1.0361,S
S,12256,1.0361,S
S,12541,1.0361,S
S,12741,1.0361,S
S,12923,1.0361,S
S,13120,1.0361,S
S,13304,1.0361,S
S,13499,1.0361,S
S,13699,1.0361,S
S,13879,1.0361,S
S,14078,1.0362,S
S,14260,1.0362,S
S,14548,1.0362,S
S,14741,1.0362,S
S,14941,1.0362,S
S,15121,1.0362,S
S,15320,1.0362,S
S,15504,1.0362,S
