M,stream,scale-idle-v1
M,poll_hz,5.0
M,duration_s,180.0
M,baud,19200
M,bits,8
M,parity,0
M,stop,1
M,response_timeout_ms,1000
E,8,stream start
S,60,1.0362,S
S,257,1.0362,S
S,440,1.0362,S
S,740,1.0362,S
S,920,1.0362,S
S,1120,1.0362,S
S,1301,1.0362,S
S,1500,1.0362,S
S,1684,1.0362,S
S,1880,1.0362,S
S,2066,1.0362,S
S,2261,1.0362,S
S,2449,1.0362,S
S,2747,1.0362,S
S,2927,1.0362,S
S,3127,1.0362,S
S,3310,1.0362,S
S,3507,1.0362,S
S,3693,1.0362,S
S,3887,1.0362,S
S,4075,1.0362,S
S,4267,1.0362,S
S,4467,1.0362,S
S,4648,1.0362,S
S,4935,1.0362,S
S,5132,1.0362,S
S,5318,1.0362,S
S,5513,1.0362,S
S,5700,1.0362,S
S,5892,1.0362,S
S,6092,1.0362,S
S,6275,1.0362,S
S,6471,1.0362,S
S,6656,1.0362,S
S,6944,1.0362,S
S,7136,1.0362,S
S,7336,1.0362,S
S,7517,1.0362,S
S,7716,1.0362,S
S,7900,1.0362,S
S,8095,1.0362,S
S,8282,1.0362,S
S,8475,1.0362,S
S,8676,1.0362,S
S,8857,1.0362,S
S,9142,1.0362,S
S,9339,1.0362,S
S,9526,1.0362,S
S,9719,1.0362,S
S,9920,1.0362,S
S,10100,1.0362,S
S,10300,1.0362,S
S,10482,1.0362,S
S,10679,1.0362,S
S,10864,1.0362,S
S,11163,1.0362,S
S,11343,1.0362,S
S,11542,1.0362,S
S,11724,1.0362,S
S,11922,1.0362,S
S,12108,1.0362,S
S,12302,1.0362,S
S,12502,1.0362,S
S,12681,1.0362,S
S,12881,1.0362,S
S,13064,1.0362,S
S,13352,1.0362,S
S,13544,1.0362,S
S,13744,1.0362,S
S,13925,1.0362,S
S,14123,1.0362,S
S,14308,1.0362,S
S,14502,1.0362,S
S,14689,1.0362,S
S,14882,1.0362,S
S,15082,1.0362,S
S,15265,1.0362,S
S,15550,1.0362,S
S,15746,1.0362,S
S,15934,1.0362,S
S,16125,1.0362,S
S,16325,1.0362,S
S,16507,1.0362,S
S,16704,1.0362,S
S,16890,1.0362,S
S,17084,1.0362,S
S,17271,1.0362,S
S,17568,1.0362,S
S,17751,1.0362,S
S,17948,1.0362,S
S,18132,1.0362,S
S,18327,1.0362,S
S,18527,1.0362,S
S,18707,1.0362,S
S,18906,1.0362,S
S,19088,1.0362,S
S,19285,1.0362,S
S,19472,1.0362,S
S,19664,1.0362,S
S,19949,1.0362,S
S,20148,1.0362,S
S,20333,1.0362,S
S,20532,1.0362,S
S,20714,1.0362,S
S,20906,1.0362,S
S,21106,1.0362,S
S,21289,1.0362,S
S,21485,1.0362,S
S,21670,1.0362,S
S,21864,1.0362,S
S,22150,1.0362,S
S,22348,1.0362,S
S,22531,1.0362,S
S,22727,1.0362,S
S,22914,1.0362,S
S,23106,1.0362,S
S,23306,1.0362,S
S,23487,1.0362,S
S,23685,1.0362,S
S,23871,1.0362,S
S,24169,1.0362,S
S,24349,1.0362,S
S,24549,1.0362,S
S,24731,1.0362,S
S,24928,1.0362,S
S,25113,1.0362,S
S,25307,1.0362,S
S,25507,1.0362,S
S,25688,1.0362,S
S,25886,1.0362,S
S,26069,1.0362,S
S,26357,1.0362,S
S,26549,1.0362,S
S,26749,1.0362,S
S,26930,1.0362,S
S,27128,1.0362,S
S,27313,1.0362,S
S,27507,1.0362,S
S,27707,1.0362,S
S,27886,1.0362,S
S,28086,1.0362,S
S,28270,1.0362,S
S,28557,1.0362,S
S,28750,1.0362,S
S,28950,1.0362,S
S,29130,1.0362,S
S,29329,1.0362,S
S,29512,1.0362,S
S,29708,1.0362,S
S,29895,1.0362,S
S,30087,1.0362,S
S,30287,1.0362,S
S,30468,1.0362,S
S,30756,1.0362,S
S,30950,1.0362,S
S,31150,1.0362,S
S,31329,1.0362,S
S,31529,1.0362,S
S,31712,1.0362,S
S,31908,1.0362,S
S,32096,1.0362,S
S,32288,1.0361,S
S,32488,1.0361,S
S,32669,1.0361,S
S,32956,1.0361,S
S,33152,1.0361,S
S,33338,1.0361,S
S,33531,1.0362,S
S,33731,1.0362,S
S,33913,1.0362,S
S,34111,1.0362,S
S,34294,1.0362,S
S,34490,1.0362,S
S,34677,1.0362,S
S,34975,1.0362,S
S,35155,1.0362,S
S,35354,1.0362,S
S,35538,1.0362,S
S,35734,1.0362,S
S,35919,1.0362,S
S,36114,1.0362,S
S,36315,1.0362,S
S,36495,1.0362,S
S,36694,1.0362,S
S,36876,1.0362,S
S,37164,1.0362,S
S,37358,1.0362,S
S,37545,1.0362,S
S,37737,1.0362,S
S,37937,1.0362,S
S,38120,1.0362,S
S,38317,1.0362,S
S,38502,1.0362,S
S,38696,1.0362,S
S,38896,1.0362,S
S,39077,1.0362,S
S,39362,1.0362,S
S,39559,1.0362,S
S,39745,1.0362,S
S,39938,1.0362,S
S,40138,1.0362,S
S,40319,1.0362,S
S,40518,1.0362,S
S,40702,1.0362,S
S,40897,1.0362,S
S,41083,1.0362,S
S,41382,1.0362,S
S,41562,1.0362,S
S,41761,1.0362,S
S,41946,1.0362,S
S,42144,1.0362,S
S,42327,1.0362,S
S,42520,1.0362,S
S,42720,1.0362,S
S,42900,1.0362,S
S,43099,1.0362,S
S,43284,1.0362,S
S,43583,1.0362,S
S,43762,1.0362,S
S,43962,1.0362,S
S,44144,1.0362,S
S,44341,1.0362,S
S,44528,1.0362,S
S,44720,1.0362,S
S,44920,1.0362,S
S,45101,1.0362,S
S,45299,1.0362,S
S,45484,1.0362,S
S,45770,1.0362,S
S,45963,1.0362,S
S,46163,1.0362,S
S,46345,1.0362,S
S,46543,1.0362,S
S,46726,1.0362,S
S,46922,1.0362,S
S,47110,1.0362,S
S,47301,1.0362,S
S,47501,1.0362,S
S,47683,1.0362,S
S,47970,1.0362,S
S,48164,1.0362,S
S,48352,1.0362,S
S,48543,1.0362,S
S,48743,1.0362,S
S,48927,1.0362,S
S,49122,1.0362,S
S,49308,1.0362,S
S,49502,1.0362,S
S,49702,1.0362,S
S,49883,1.0362,S
S,50169,1.0362,S
S,50365,1.0362,S
S,50552,1.0362,S
S,50745,1.0362,S
S,50945,1.0362,S
S,51125,1.0362,S
S,51324,1.0362,S
S,51509,1.0362,S
S,51703,1.0362,S
S,51890,1.0362,S
S,52187,1.0362,S
S,52369,1.0362,S
S,52566,1.0362,S
S,52751,1.0362,S
S,52945,1.0362,S
S,53145,1.0362,S
S,53326,1.0362,S
S,53524,1.0362,S
S,53707,1.0362,S
S,53903,1.0362,S
S,54090,1.0362,S
S,54282,1.0362,S
S,54568,1.0362,S
S,54767,1.0362,S
S,54951,1.0362,S
S,55146,1.0362,S
S,55332,1.0362,S
S,55525,1.0362,S
S,55725,1.0362,S
S,55907,1.0362,S
S,56105,1.0362,S
S,56289,1.0362,S
S,56576,1.0362,S
S,56769,1.0362,S
S,56969,1.0362,S
S,57149,1.0362,S
S,57348,1.0362,S
S,57533,1.0362,S
S,57727,1.0362,S
S,57927,1.0362,S
S,58106,1.0362,S
S,58306,1.0362,S
S,58489,1.0362,S
S,58777,1.0362,S
S,58969,1.0362,S
S,59169,1.0362,S
S,59350,1.0362,S
S,59548,1.0362,S
S,59733,1.0362,S
S,59927,1.0362,S
S,60115,1.0362,S
S,60307,1.0362,S
S,60507,1.0362,S
S,60688,1.0362,S
S,60975,1.0362,S
S,61171,1.0362,S
S,61359,1.0362,S
S,61550,1.0362,S
S,61751,1.0362,S
S,61932,1.0362,S
S,62130,1.0362,S
S,62315,1.0362,S
S,62509,1.0362,S
S,62697,1.0362,S
S,62888,1.0362,S
S,63176,1.0362,S
S,63372,1.0362,S
S,63557,1.0362,S
S,63752,1.0362,S
S,63957,1.0362,S
S,64132,1.0362,S
S,64331,1.0362,S
S,64514,1.0362,S
S,64710,1.0362,S
S,64897,1.0362,S
S,65183,1.0362,S
S,65374,1.0362,S
S,65574,1.0362,S
S,65758,1.0362,S
S,65954,1.0362,S
S,66139,1.0362,S
S,66333,1.0362,S
S,66533,1.0362,S
S,66714,1.0362,S
S,66913,1.0362,S
S,67096,1.0362,S
S,67383,1.0362,S
S,67576,1.0362,S
S,67776,1.0362,S
S,67956,1.0362,S
S,68155,1.0362,S
S,68340,1.0362,S
S,68534,1.0362,S
S,68721,1.0362,S
S,68913,1.0362,S
S,69113,1.0362,S
S,69296,1.0362,S
S,69582,1.0362,S
S,69777,1.0362,S
S,69977,1.0362,S
S,70157,1.0362,S
S,70356,1.0362,S
S,70538,1.0362,S
S,70735,1.0362,S
S,70921,1.0362,S
S,71114,1.0362,S
S,71315,1.0362,S
S,71494,1.0362,S
S,71782,1.0362,S
S,71978,1.0362,S
S,72166,1.0362,S
S,72357,1.0362,S
S,72557,1.0362,S
S,72739,1.0362,S
S,72936,1.0362,S
S,73120,1.0362,S
S,73315,1.0362,S
S,73515,1.0362,S
S,73695,1.0362,S
S,73982,1.0362,S
S,74179,1.0362,S
S,74364,1.0362,S
S,74558,1.0362,S
S,74758,1.0362,S
S,74937,1.0362,S
S,75137,1.0362,S
S,75320,1.0362,S
S,75516,1.0362,S
S,75704,1.0362,S
S,76000,1.0362,S
S,76181,1.0362,S
S,76380,1.0363,S
S,76564,1.0363,S
S,76759,1.0363,S
S,76946,1.0363,S
S,77139,1.0363,S
S,77339,1.0363,S
S,77521,1.0363,S
S,77718,1.0363,S
S,77902,1.0363,S
S,78190,1.0363,S
S,78381,1.0363,S
S,78582,1.0363,S
S,78763,1.0362,S
S,78961,1.0362,S
S,79146,1.0362,S
S,79340,1.0362,S
S,79528,1.0362,S
S,79719,1.0362,S
S,79919,1.0362,S
S,80103,1.0362,S
S,80388,1.0362,S
S,80582,1.0362,S
S,80782,1.0362,S
S,80963,1.0362,S
S,81161,1.0362,S
S,81345,1.0362,S
S,81540,1.0362,S
S,81740,1.0362,S
S,81920,1.0362,S
S,82119,1.0362,S
S,82301,1.0362,S
S,82589,1.0362,S
S,82783,1.0362,S
S,82970,1.0362,S
S,83162,1.0362,S
S,83362,1.0362,S
S,83545,1.0362,S
S,83741,1.0362,S
S,83927,1.0362,S
S,84120,1.0362,S
S,84320,1.0362,S
S,84502,1.0362,S
S,84787,1.0362,S
S,84983,1.0362,S
S,85171,1.0362,S
S,85362,1.0362,S
S,85562,1.0362,S
S,85745,1.0362,S
S,85941,1.0362,S
S,86127,1.0362,S
S,86321,1.0362,S
S,86508,1.0362,S
S,86700,1.0362,S
S,86988,1.0362,S
S,87184,1.0362,S
S,87369,1.0362,S
S,87563,1.0362,S
S,87763,1.0362,S
S,87944,1.0362,S
S,88142,1.0362,S
S,88325,1.0362,S
S,88523,1.0362,S
S,88709,1.0362,S
S,89007,1.0362,S
S,89186,1.0362,S
S,89386,1.0362,S
S,89570,1.0362,S
S,89765,1.0362,S
S,89965,1.0362,S
S,90144,1.0362,S
S,90344,1.0362,S
S,90526,1.0362,S
S,90723,1.0362,S
S,90910,1.0362,S
S,91207,1.0362,S
S,91387,1.0362,S
S,91586,1.0362,S
S,91770,1.0362,S
S,91965,1.0362,S
S,92151,1.0362,S
S,92344,1.0362,S
S,92544,1.0362,S
S,92724,1.0362,S
S,92923,1.0362,S
S,93108,1.0362,S
S,93302,1.0362,S
S,93587,1.0362,S
S,93786,1.0362,S
S,93969,1.0362,S
S,94165,1.0362,S
S,94352,1.0362,S
S,94544,1.0362,S
S,94744,1.0362,S
S,94925,1.0362,S
S,95123,1.0362,S
S,95308,1.0362,S
S,95594,1.0362,S
S,95787,1.0362,S
S,95987,1.0362,S
S,96169,1.0362,S
S,96366,1.0362,S
S,96550,1.0362,S
S,96745,1.0362,S
S,96945,1.0362,S
S,97125,1.0362,S
S,97324,1.0362,S
S,97507,1.0362,S
S,97794,1.0362,S
S,97987,1.0362,S
S,98187,1.0362,S
S,98367,1.0362,S
S,98566,1.0362,S
S,98751,1.0362,S
S,98945,1.0362,S
S,99132,1.0362,S
S,99325,1.0362,S
S,99525,1.0362,S
S,99707,1.0362,S
S,99993,1.0362,S
S,100188,1.0362,S
S,100388,1.0362,S
S,100568,1.0362,S
S,100767,1.0362,S
S,100949,1.0362,S
S,101146,1.0362,S
S,101333,1.0362,S
S,101525,1.0362,S
S,101725,1.0362,S
S,101906,1.0362,S
S,102193,1.0362,S
S,102388,1.0362,S
S,102575,1.0362,S
S,102767,1.0362,S
S,102967,1.0362,S
S,103150,1.0362,S
S,103346,1.0362,S
S,103531,1.0362,S
S,103725,1.0362,S
S,103925,1.0362,S
S,104106,1.0362,S
S,104392,1.0362,S
S,104588,1.0362,S
S,104775,1.0362,S
S,104967,1.0362,S
S,105167,1.0362,S
S,105348,1.0362,S
S,105546,1.0362,S
S,105732,1.0362,S
S,105925,1.0362,S
S,106125,1.0362,S
S,106305,1.0362,S
S,106592,1.0362,S
S,106788,1.0362,S
S,106974,1.0362,S
S,107167,1.0362,S
S,107367,1.0362,S
S,107554,1.0362,S
S,107746,1.0362,S
S,107930,1.0362,S
S,108125,1.0362,S
S,108325,1.0362,S
S,108505,1.0362,S
S,108791,1.0362,S
S,108988,1.0362,S
S,109174,1.0362,S
S,109367,1.0362,S
S,109567,1.0362,S
S,109747,1.0362,S
S,109946,1.0362,S
S,110131,1.0362,S
S,110325,1.0362,S
S,110512,1.0362,S
S,110809,1.0362,S
S,110991,1.0362,S
S,111188,1.0362,S
S,111375,1.0362,S
S,111567,1.0362,S
S,111767,1.0362,S
S,111948,1.0362,S
S,112146,1.0362,S
S,112329,1.0362,S
S,112525,1.0362,S
S,112713,1.0362,S
S,112904,1.0362,S
S,113190,1.0362,S
S,113388,1.0362,S
S,113573,1.0362,S
S,113767,1.0362,S
S,113967,1.0362,S
S,114146,1.0362,S
S,114346,1.0362,S
S,114530,1.0362,S
S,114725,1.0362,S
S,114925,1.0362,S
S,115209,1.0362,S
S,115390,1.0362,S
S,115588,1.0362,S
S,115774,1.0362,S
S,115967,1.0362,S
S,116167,1.0362,S
S,116347,1.0362,S
S,116546,1.0362,S
S,116728,1.0362,S
S,116925,1.0362,S
S,117111,1.0362,S
S,117304,1.0362,S
S,117591,1.0362,S
S,117788,1.0362,S
S,117972,1.0362,S
S,118167,1.0362,S
S,118367,1.0362,S
S,118546,1.0362,S
S,118746,1.0362,S
S,118929,1.0362,S
S,119125,1.0362,S
S,119312,1.0362,S
S,119609,1.0362,S
S,119789,1.0362,S
S,119988,1.0362,S
S,120173,1.0362,S
S,120367,1.0362,S
S,120554,1.0362,S
S,120746,1.0363,S
S,120946,1.0363,S
S,121129,1.0363,S
S,121326,1.0363,S
S,121511,1.0363,S
S,121810,1.0363,S
S,121990,1.0363,S
S,122189,1.0363,S
S,122371,1.0363,S
S,122568,1.0363,S
S,122754,1.0363,S
S,122947,1.0363,S
S,123147,1.0363,S
S,123328,1.0363,S
S,123526,1.0363,S
S,123711,1.0363,S
S,123996,1.0363,S
S,124189,1.0363,S
S,124389,1.0363,S
S,124571,1.0363,S
S,124768,1.0362,S
S,124953,1.0362,S
S,125147,1.0362,S
S,125347,1.0362,S
S,125528,1.0362,S
S,125726,1.0362,S
S,125909,1.0362,S
S,126105,1.0362,S
S,126389,1.0362,S
S,126589,1.0362,S
S,126770,1.0362,S
S,126968,1.0362,S
S,127154,1.0362,S
S,127347,1.0362,S
S,127535,1.0362,S
S,127726,1.0362,S
S,127926,1.0362,S
S,128110,1.0362,S
S,128395,1.0362,S
S,128589,1.0362,S
S,128789,1.0362,S
S,128970,1.0362,S
S,129168,1.0362,S
S,129352,1.0362,S
S,129547,1.0362,S
S,129747,1.0362,S
S,129927,1.0362,S
S,130126,1.0362,S
S,130308,1.0362,S
S,130596,1.0362,S
S,130789,1.0362,S
S,130977,1.0362,S
S,131169,1.0362,S
S,131369,1.0362,S
S,131552,1.0362,S
S,131748,1.0362,S
S,131934,1.0362,S
S,132127,1.0362,S
S,132327,1.0362,S
S,132509,1.0362,S
S,132794,1.0362,S
S,132990,1.0362,S
S,133178,1.0362,S
S,133370,1.0362,S
S,133569,1.0362,S
S,133751,1.0362,S
S,133948,1.0362,S
S,134134,1.0362,S
S,134328,1.0362,S
S,134528,1.0362,S
S,134707,1.0362,S
S,134995,1.0362,S
S,135191,1.0362,S
S,135378,1.0362,S
S,135570,1.0362,S
S,135770,1.0362,S
S,135951,1.0362,S
S,136149,1.0362,S
S,136333,1.0362,S
S,136528,1.0362,S
S,136728,1.0362,S
S,136908,1.0362,S
S,137195,1.0362,S
S,137391,1.0362,S
S,137577,1.0362,S
S,137770,1.0362,S
S,137970,1.0362,S
S,138150,1.0362,S
S,138349,1.0362,S
S,138533,1.0362,S
S,138728,1.0362,S
S,138928,1.0362,S
S,139212,1.0362,S
S,139394,1.0362,S
S,139591,1.0362,S
S,139777,1.0362,S
S,139970,1.0362,S
S,140170,1.0362,S
S,140350,1.0362,S
S,140549,1.0362,S
S,140734,1.0362,S
S,140928,1.0362,S
S,141115,1.0362,S
S,141412,1.0362,S
S,141594,1.0362,S
S,141791,1.0362,S
S,141976,1.0362,S
S,142170,1.0362,S
S,142370,1.0362,S
S,142549,1.0362,S
S,142749,1.0362,S
S,142932,1.0362,S
S,143128,1.0362,S
S,143316,1.0361,S
S,143612,1.0361,S
S,143793,1.0361,S
S,143991,1.0361,S
S,144176,1.0361,S
S,144370,1.0361,S
S,144558,1.0361,S
S,144750,1.0361,S
S,144950,1.0361,S
S,145133,1.0361,S
S,145329,1.0361,S
S,145514,1.0361,S
S,145708,1.0361,S
S,145993,1.0361,S
S,146192,1.0361,S
S,146375,1.0361,S
S,146571,1.0361,S
S,146758,1.0361,S
S,146950,1.0361,S
S,147150,1.0361,S
S,147331,1.0361,S
S,147529,1.0361,S
S,147714,1.0361,S
S,148000,1.0361,S
S,148192,1.0361,S
S,148392,1.0361,S
S,148575,1.0361,S
S,148771,1.0362,S
S,148956,1.0362,S
S,149150,1.0362,S
S,149351,1.0362,S
S,149532,1.0362,S
S,149730,1.0362,S
S,149913,1.0362,S
S,150201,1.0362,S
S,150393,1.0362,S
S,150593,1.0362,S
S,150773,1.0362,S
S,150977,1.0362,S
S,151157,1.0362,S
S,151351,1.0362,S
S,151538,1.0362,S
S,151730,1.0362,S
S,151930,1.0362,S
S,152113,1.0362,S
S,152399,1.0362,S
S,152593,1.0362,S
S,152793,1.0362,S
S,152974,1.0362,S
S,153172,1.0362,S
S,153355,1.0362,S
S,153551,1.0362,S
S,153751,1.0362,S
S,153931,1.0362,S
S,154130,1.0362,S
S,154312,1.0362,S
S,154599,1.0362,S
S,154793,1.0362,S
S,154993,1.0362,S
S,155172,1.0362,S
S,155372,1.0362,S
S,155556,1.0362,S
S,155751,1.0362,S
S,155937,1.0362,S
S,156130,1.0362,S
S,156330,1.0362,S
S,156512,1.0362,S
S,156798,1.0362,S
S,156993,1.0362,S
S,157193,1.0362,S
S,157373,1.0362,S
S,157572,1.0361,S
S,157754,1.0361,S
S,157951,1.0361,S
S,158138,1.0361,S
S,158330,1.0361,S
S,158530,1.0361,S
S,158711,1.0361,S
S,158999,1.0361,S
S,159193,1.0361,S
S,159393,1.0361,S
S,159572,1.0361,S
S,159772,1.0361,S
S,159955,1.0361,S
S,160151,1.0361,S
S,160336,1.0361,S
S,160530,1.0361,S
S,160730,1.0361,S
S,160911,1.0361,S
S,161199,1.0361,S
S,161393,1.0361,S
S,161580,1.0361,S
S,161772,1.0361,S
S,161972,1.0361,S
S,162153,1.0361,S
S,162351,1.0361,S
S,162537,1.0361,S
S,162730,1.0361,S
S,162930,1.0361,S
S,163110,1.0361,S
S,163397,1.0361,S
S,163593,1.0361,S
S,163781,1.0361,S
S,163972,1.0361,S
S,164172,1.0361,S
S,164354,1.0361,S
S,164551,1.0361,S
S,164737,1.0361,S
S,164930,1.0361,S
S,165130,1.0361,S
S,165310,1.0361,S
S,165598,1.0361,S
S,165793,1.0361,S
S,165979,1.0361,S
S,166172,1.0361,S
S,166372,1.0361,S
S,166554,1.0361,S
S,166751,1.0361,S
S,166936,1.0361,S
S,167130,1.0361,S
S,167330,1.0361,S
S,167509,1.0361,S
S,167796,1.0361,S
S,167993,1.0361,S
S,168180,1.0361,S
S,168372,1.0361,S
S,168572,1.0361,S
S,168753,1.0361,S
S,168951,1.0361,S
S,169136,1.0361,S
S,169330,1.0361,S
S,169517,1.0361,S
S,169709,1.0361,S
S,169997,1.0361,S
