started_utc,ended_utc,started_local,ended_local,elapsed_s,powder_id,powder,batch,operator,kind,status,blocks,speeds_rpm,trials,dispensed_g,feed_mg_per_rev_0,feed_mg_per_rev_45,feed_mg_per_rev_90,doses,environment,qc_valid,qc_verdict,preflight_verdict,data_dir,run_json,notes,video_id,video_url,video_exact
2026-08-04T20:43:16.183255+00:00,2026-08-04T20:50:20.999936+00:00,,,424.816681,brown-rice-flour,brown rice flour (food-safe batch),food-safe-2026-08,swcharles,battery,ok,ABCDEG,C/E 30 · D 15/45/90 RPM,64,0.0095,0.22,0.20,0.10,"3x, 0 ok, mean -999.4 mg",not recorded,False,no-conveyance-auger-suspect,,data/battery/20260804T204316Z_brown-rice-flour,data/battery/20260804T204316Z_brown-rice-flour/run_brown-rice-flour.json,docs/battery-runs/2026-08-04-brown-rice-flour.md,w1D5DRiHFWM,https://youtu.be/w1D5DRiHFWM?t=6115,True
2026-08-04T21:14:22.351081+00:00,2026-08-04T22:02:11.472390+00:00,,,2869.121309,white-rice-flour,white rice flour (food-safe batch),food-safe-2026-08,swcharles,battery,ok,ABCDEG,C/E 30 · D 15/45/90 RPM,64,3.2490,3.75,12.78,37.15,"3x, 0 ok, mean -137.9 mg",not recorded,True,ok,feed confirmed,data/battery/20260804T211422Z_white-rice-flour,data/battery/20260804T211422Z_white-rice-flour/run_white-rice-flour.json,docs/battery-runs/2026-08-04-white-rice-flour.md,w1D5DRiHFWM,https://youtu.be/w1D5DRiHFWM?t=7981,True
2026-08-04T22:49:37.985918+00:00,2026-08-04T22:56:35.919313+00:00,,,417.933395,brown-rice-flour,"brown rice flour (food-safe batch), re-run after tape removal",food-safe-2026-08,swcharles,battery,ok,ABCDEG,C/E 30 · D 15/45/90 RPM,64,0.0043,0.00,0.00,0.00,"3x, 0 ok, mean -1000.0 mg",not recorded,False,no-conveyance-auger-suspect,no-conveyance,data/battery/20260804T224937Z_brown-rice-flour,data/battery/20260804T224937Z_brown-rice-flour/run_brown-rice-flour.json,docs/battery-runs/2026-08-04-brown-rice-flour-rerun.md,w1D5DRiHFWM,https://youtu.be/w1D5DRiHFWM?t=13696,True
2026-08-05T14:57:25.298344+00:00,2026-08-05T15:46:08.448811+00:00,,,2923.150467,sodium-alginate,sodium alginate (food-safe batch),food-safe-2026-08,swcharles,battery,ok,ABCDEG,C/E 30 · D 15/45/90 RPM,64,2.4563,0.75,9.58,10.87,"3x, 0 ok, mean -291.5 mg",not recorded,True,ok,feed confirmed,data/battery/20260805T145725Z_sodium-alginate,data/battery/20260805T145725Z_sodium-alginate/run_sodium-alginate.json,docs/battery-runs/2026-08-05-sodium-alginate.md,5ENY3XL4yhc,https://youtu.be/5ENY3XL4yhc?t=14230,False
2026-08-05T18:53:05.644181+00:00,2026-08-05T19:00:13.279228+00:00,,,427.6,brown-rice-flour,"brown rice flour (food-safe batch), auger #2",food-safe-2026-08,swcharles,battery,ok,ABCDEG,C/E 30 · D 15/45/90 RPM,64,0.0256,0.30,0.25,0.20,"3x, 0 ok, mean -999.1 mg",not recorded,True,conveying-slowly,conveying-slowly,data/battery/20260805T185305Z_brown-rice-flour,data/battery/20260805T185305Z_brown-rice-flour/run_brown-rice-flour.json,docs/battery-runs/2026-08-05-brown-rice-flour-auger2.md,5ENY3XL4yhc,https://youtu.be/5ENY3XL4yhc?t=28370,False
2026-08-05T20:00:02.433141+00:00,2026-08-05T20:19:24.951069+00:00,,,1162.5,calcium-lactate,calcium lactate (food-safe batch),food-safe-2026-08,swcharles,battery,ok,ABCDEG,C/E 30 · D 15/45/90 RPM,64,9.0390,47.32,198.28,232.25,"3x, 0 ok, mean -26.5 mg",not recorded,True,ok,feed confirmed,data/battery/20260805T200002Z_calcium-lactate,data/battery/20260805T200002Z_calcium-lactate/run_calcium-lactate.json,docs/battery-runs/2026-08-05-calcium-lactate.md,_iDB8z83GdQ,https://youtu.be/_iDB8z83GdQ?t=3587,False
2026-08-05T21:12:16+00:00,,,,,carboxymethyl-cellulose,,,,preflight-only,aborted,,,0,,,,,--,not recorded,False,mechanical-no-feed: delivery end taped,mechanical-no-feed: delivery end taped,data/battery/20260805T211216Z_carboxymethyl-cellulose_preflight,data/battery/20260805T211216Z_carboxymethyl-cellulose_preflight/preflight.json,docs/battery-runs/2026-08-05-carboxymethyl-cellulose-aborted.md,_iDB8z83GdQ,https://youtu.be/_iDB8z83GdQ?t=7921,False
2026-08-05T21:52:52.010546+00:00,2026-08-05T22:33:04.131782+00:00,2026-08-05 15:52:52 MDT,2026-08-05 16:33:04 MDT,2412.1,carboxymethyl-cellulose,carboxymethyl cellulose (food-safe batch),food-safe-2026-08,swcharles,battery,ok,ABCDEG,C/E 30 · D 15/45/90 RPM,64,3.5647,2.58,26.35,9.35,"3x, 0 ok, mean -43.2 mg",not recorded,True,ok,feed confirmed after extended charging,data/battery/20260805T215252Z_carboxymethyl-cellulose,data/battery/20260805T215252Z_carboxymethyl-cellulose/run_carboxymethyl-cellulose.json,docs/battery-runs/2026-08-05-carboxymethyl-cellulose.md,_iDB8z83GdQ,https://youtu.be/_iDB8z83GdQ?t=10357,False
2026-08-06T14:02:54.080499+00:00,2026-08-06T14:19:06.486063+00:00,2026-08-06 08:02:54 MDT,2026-08-06 08:19:06 MDT,972.4,xanthan-gum,xanthan gum (food-safe batch),food-safe-2026-08,claude,battery,ok,ABCDEG,C/E 30 · D 15/45/90 RPM,64,7.8836,23.72,161.18,186.77,"3x, 0 ok, mean -32.9 mg",not recorded,True,ok,feed confirmed,data/battery/20260806T140254Z_xanthan-gum,data/battery/20260806T140254Z_xanthan-gum/run_xanthan-gum.json,docs/battery-runs/2026-08-06-xanthan-gum.md,UDCxlnSBsLg,https://youtu.be/UDCxlnSBsLg?t=10959,False
2026-08-06T14:51:20.847638+00:00,2026-08-06T15:07:58.396290+00:00,2026-08-06 08:51:20 MDT,2026-08-06 09:07:58 MDT,997.5,salt,"sodium chloride (table salt), food-safe batch",food-safe-2026-08,"swcharles (loaded), claude (remote)",battery,ok,ABCDEG,C/E 30 · D 15/45/90 RPM,64,4.0081,5.60,17.10,24.90,"3x, 2 ok, mean +0.2 mg",not recorded,True,ok,feed confirmed,data/battery/20260806T145120Z_salt,data/battery/20260806T145120Z_salt/run_salt.json,docs/battery-runs/2026-08-06-salt.md,UDCxlnSBsLg,https://youtu.be/UDCxlnSBsLg?t=13865,False
