t_s,status,mg
0.034,US,300.5
0.322,ST,300.5
0.609,ST,300.6
0.895,ST,300.6
1.183,ST,300.6
1.470,ST,300.6
1.756,ST,300.6
2.043,ST,300.6
2.331,ST,300.6
2.617,ST,300.5
2.904,ST,300.5
3.191,US,300.1
3.477,US,300.0
3.765,US,299.9
4.052,US,299.80002
4.337,ST,299.80002
4.625,ST,299.69998
4.913,ST,299.69998
5.198,ST,299.6
5.486,ST,299.5
5.773,ST,299.5
6.059,ST,299.5
6.346,ST,299.5
6.634,US,299.2
6.919,US,299.0
7.207,US,298.9
7.495,US,298.7
7.780,US,298.59998
8.068,US,298.40002
8.355,ST,298.40002
8.641,ST,298.40002
8.928,ST,298.40002
9.216,ST,298.40002
9.503,ST,298.40002
9.789,ST,298.5
10.077,ST,298.5
10.364,ST,298.59998
10.649,US,298.9
10.937,ST,299.0
11.224,US,299.2
11.510,US,299.3
11.798,US,299.4
12.085,US,299.5
12.371,US,299.6
12.658,US,299.69998
12.946,US,299.80002
13.231,ST,299.80002
13.519,ST,299.80002
13.806,ST,299.69998
14.092,ST,299.69998
14.380,ST,299.69998
14.667,ST,299.6
14.953,ST,299.6
15.240,ST,299.6
15.528,ST,299.6
15.814,ST,299.69998
16.101,ST,299.69998
16.389,ST,299.69998
16.675,ST,299.69998
16.962,ST,299.69998
17.250,ST,299.6
17.535,ST,299.6
17.823,ST,299.6
18.111,ST,299.6
18.396,ST,299.6
18.684,ST,299.6
18.971,ST,299.5
19.257,ST,299.5
19.544,ST,299.5
19.832,ST,299.5
20.119,ST,299.5
20.405,ST,299.4
20.692,ST,299.4
20.980,ST,299.4
21.265,ST,299.3
21.553,ST,299.3
21.840,ST,299.2
22.126,ST,299.2
22.413,ST,299.2
22.701,ST,299.2
22.987,ST,299.2
23.273,US,299.5
23.561,US,299.6
23.846,US,299.69998
24.134,US,299.80002
24.421,US,300.0
24.707,ST,300.0
24.994,ST,300.0
25.282,ST,299.9
25.568,ST,299.9
25.855,ST,299.9
26.143,ST,299.9
26.428,ST,299.9
26.716,ST,299.9
27.004,ST,299.9
27.289,ST,299.9
27.577,ST,299.9
27.864,US,300.3
28.149,US,300.4
28.437,ST,300.4
28.724,ST,300.5
29.010,ST,300.4
29.298,ST,300.4
29.585,ST,300.4
29.873,ST,300.4
30.158,ST,300.4
30.446,ST,300.4
30.734,ST,300.3
31.019,ST,300.3
31.307,ST,300.3
31.594,ST,300.3
31.880,ST,300.3
32.168,ST,300.3
32.455,ST,300.3
32.741,ST,300.3
33.028,ST,300.4
33.316,ST,300.4
33.602,ST,300.4
33.889,ST,300.4
34.177,ST,300.4
34.462,ST,300.4
34.750,ST,300.4
35.037,ST,300.4
35.323,ST,300.4
35.611,ST,300.4
35.898,ST,300.5
36.184,ST,300.5
36.470,US,300.90002
36.758,US,301.0
37.043,ST,301.09998
37.331,ST,301.2
37.618,ST,301.2
37.904,ST,301.2
38.191,ST,301.09998
38.479,ST,301.2
38.765,ST,301.2
39.052,ST,301.2
39.340,ST,301.2
39.626,ST,301.2
39.914,ST,301.3
40.200,US,301.6
40.488,ST,301.69998
40.773,ST,301.80002
41.061,ST,301.80002
41.348,ST,301.9
41.634,ST,302.0
41.921,US,302.19998
42.209,US,302.30002
42.495,US,302.4
42.782,US,302.5
43.069,US,302.6
43.355,US,302.7
43.643,US,302.8
