t_s,status,mg
0.032,ST,-1491.5
0.318,ST,-1491.5
0.606,ST,-1491.5
0.893,ST,-1491.6001
1.179,ST,-1491.6001
1.466,ST,-1491.6001
1.754,ST,-1491.6001
2.040,ST,-1491.7001
2.327,ST,-1491.7001
2.615,ST,-1491.7001
2.901,ST,-1491.7001
3.188,ST,-1491.7001
3.475,ST,-1491.7001
3.761,ST,-1491.7001
4.048,ST,-1491.7001
4.336,ST,-1491.7001
4.623,ST,-1491.7001
4.909,ST,-1491.7001
5.196,ST,-1491.6001
5.484,ST,-1491.6001
5.770,ST,-1491.6001
6.057,ST,-1491.5
6.345,ST,-1491.5
6.630,ST,-1491.5
6.918,ST,-1491.5
7.205,ST,-1491.5
7.491,ST,-1491.4
7.778,ST,-1491.5
8.065,US,-1491.9
8.350,US,-1492.0
8.638,ST,-1492.0
8.926,ST,-1492.0
9.211,ST,-1492.0
9.499,ST,-1492.0
9.786,ST,-1491.9
10.072,ST,-1491.9
10.359,ST,-1491.7999
10.647,ST,-1491.7999
10.933,ST,-1491.7999
11.220,ST,-1491.7999
11.508,ST,-1491.7001
11.794,ST,-1491.7001
12.081,ST,-1491.7001
12.369,ST,-1491.7001
12.656,ST,-1491.7001
12.942,ST,-1491.7001
13.229,ST,-1491.7001
13.517,ST,-1491.7001
13.803,ST,-1491.7001
14.090,ST,-1491.6001
14.378,ST,-1491.6001
14.664,ST,-1491.6001
14.951,ST,-1491.6001
15.238,ST,-1491.5
15.524,ST,-1491.5
15.810,US,-1491.0
16.098,ST,-1491.0
16.383,ST,-1491.0
16.671,ST,-1491.0
16.959,ST,-1491.0
17.244,ST,-1491.0
17.532,ST,-1491.0
17.819,ST,-1491.0
18.105,ST,-1490.9
18.393,ST,-1490.9
18.680,ST,-1490.9
18.966,ST,-1490.9
19.253,ST,-1490.9
19.541,ST,-1490.9
19.827,ST,-1490.9
20.114,ST,-1490.9
20.402,ST,-1490.8
20.687,ST,-1490.8
20.975,ST,-1490.8
21.263,ST,-1490.8
21.550,ST,-1490.8
21.836,ST,-1490.8
22.123,ST,-1490.8
22.411,ST,-1490.7
22.696,ST,-1490.7
22.984,ST,-1490.7
23.270,US,-1497.6
23.555,US,-1506.2999
23.843,US,-1506.8
24.131,US,-1507.6
24.416,US,-1507.7
24.704,US,-1507.9
24.991,US,-1508.2001
25.277,US,-1508.2999
25.565,ST,-1508.2001
25.852,ST,-1508.2001
26.138,ST,-1508.2999
26.425,ST,-1508.2999
26.713,US,-1508.1
26.998,US,-1508.0
27.286,US,-1507.7999
27.573,ST,-1507.7
27.859,ST,-1507.7
28.147,ST,-1507.6
28.434,US,-1507.5
28.720,ST,-1507.6
29.007,ST,-1507.6
29.295,ST,-1507.6
29.583,ST,-1507.5
29.868,ST,-1507.5
30.156,ST,-1507.4
30.443,US,-1507.0
30.728,US,-1506.8999
31.016,US,-1506.8
31.303,ST,-1506.8
31.589,ST,-1506.8
31.877,ST,-1506.8999
32.164,ST,-1506.8999
32.450,ST,-1507.0
32.737,ST,-1507.0
33.025,ST,-1507.0
33.311,ST,-1506.8999
33.598,ST,-1506.8999
33.885,US,-1506.2
34.171,US,-1506.0
34.458,US,-1505.9
34.746,US,-1505.8
35.032,US,-1505.6
35.319,US,-1505.3999
35.607,US,-1505.2001
35.893,US,-1505.0
36.180,US,-1504.6001
36.467,US,-1504.3
36.753,US,-1504.1
37.040,US,-1504.0
37.328,ST,-1504.1
37.615,US,-1504.2
37.901,US,-1504.3
38.188,US,-1504.4
38.476,US,-1504.6001
38.762,US,-1504.7
39.049,US,-1504.7999
39.337,ST,-1504.7
39.622,ST,-1504.7
39.910,ST,-1504.7
40.197,ST,-1504.6001
40.483,ST,-1504.6001
40.770,ST,-1504.5
41.058,ST,-1504.5
41.343,US,-1504.2
41.631,US,-1504.2
41.918,ST,-1504.1
42.204,ST,-1504.0
42.491,US,-1503.9
42.779,US,-1503.8
43.064,US,-1503.6
43.352,US,-1503.4
43.640,US,-1503.1001
43.926,US,-1502.9
44.213,US,-1502.8
44.500,US,-1502.6
44.786,ST,-1502.6
45.073,ST,-1502.7
45.361,US,-1502.8
45.648,US,-1502.9
45.934,US,-1503.2001
46.221,US,-1503.5
46.509,US,-1503.7001
46.795,US,-1503.9
47.082,ST,-1503.9
47.370,ST,-1504.0
47.655,ST,-1503.9
47.943,US,-1503.8
48.230,US,-1503.7001
48.516,ST,-1503.6
48.804,ST,-1503.6
49.091,ST,-1503.6
49.377,ST,-1503.6
49.664,ST,-1503.7001
49.951,US,-1504.1
50.237,US,-1504.4
50.525,US,-1504.5
50.812,ST,-1504.4
51.098,ST,-1504.4
51.385,US,-1504.2
51.673,US,-1504.1
51.958,US,-1503.8
52.246,US,-1503.5
52.533,US,-1503.4
52.819,US,-1503.2001
53.106,US,-1503.0
53.394,ST,-1503.0
53.681,ST,-1502.9
53.967,ST,-1502.9
54.255,ST,-1502.8
54.542,ST,-1502.8
54.828,ST,-1502.8
55.115,ST,-1502.8
55.403,ST,-1502.9
55.689,ST,-1502.9
55.976,US,-1503.5
56.263,US,-1503.7001
56.549,US,-1503.8
56.836,US,-1504.0
57.124,US,-1504.2
57.409,US,-1504.3
57.697,US,-1504.1
57.984,US,-1503.8
58.270,US,-1503.7001
58.558,US,-1503.4
58.845,US,-1503.2001
59.131,US,-1503.0
59.418,US,-1502.9
59.706,ST,-1502.9
59.991,ST,-1502.9
60.279,ST,-1502.9
60.566,ST,-1502.9
60.852,ST,-1503.0
61.140,ST,-1503.0
61.427,ST,-1503.0
61.715,ST,-1503.1001
62.001,ST,-1503.1001
62.288,US,-1503.4
62.575,ST,-1503.4
62.861,ST,-1503.4
63.148,ST,-1503.4
63.436,ST,-1503.4
63.722,ST,-1503.2999
64.009,ST,-1503.2999
64.297,ST,-1503.2999
64.583,ST,-1503.2001
64.870,US,-1503.0
65.157,US,-1502.8
65.443,US,-1502.6
65.730,US,-1502.4
66.018,US,-1502.3
66.303,US,-1502.1
66.591,ST,-1502.1
66.878,ST,-1502.1
67.164,ST,-1502.1
67.451,ST,-1502.2
67.739,ST,-1502.2
68.025,ST,-1502.2
68.312,ST,-1502.2
68.600,ST,-1502.1
68.885,US,-1501.7001
69.173,US,-1501.5
69.460,US,-1501.4
69.748,ST,-1501.2999
70.034,ST,-1501.2999
70.321,ST,-1501.2999
70.608,US,-1501.1
70.894,US,-1500.9
71.181,US,-1500.8
71.469,US,-1500.6
71.755,US,-1500.3999
72.042,US,-1500.3
72.329,ST,-1500.3
72.615,ST,-1500.3999
72.903,US,-1500.5
73.190,ST,-1500.5
73.476,ST,-1500.5
73.763,ST,-1500.5
74.051,ST,-1500.6
74.336,ST,-1500.5
74.624,ST,-1500.5
74.912,ST,-1500.5
75.197,US,-1500.0
75.484,ST,-1500.0
75.772,ST,-1500.0
76.057,ST,-1500.0
76.345,ST,-1500.1
76.633,ST,-1500.1
76.918,ST,-1500.2001
77.206,US,-1500.5
77.493,US,-1500.6
77.779,US,-1500.7
78.066,US,-1500.8
78.354,ST,-1500.8
78.641,ST,-1500.8
78.927,ST,-1500.7
79.214,ST,-1500.6
79.502,ST,-1500.5
79.788,US,-1500.2001
80.075,US,-1500.1
80.363,ST,-1500.1
80.648,ST,-1500.0
80.936,ST,-1500.1
81.223,ST,-1500.1
81.509,ST,-1500.0
81.797,ST,-1500.0
82.084,ST,-1500.0
82.370,ST,-1500.0
82.657,ST,-1499.9
82.944,US,-1499.6001
83.230,US,-1499.4
83.517,US,-1499.2
83.805,US,-1499.0
84.091,US,-1498.8
84.378,US,-1498.8
84.666,US,-1499.0
84.951,US,-1499.3
85.239,US,-1499.4
85.526,US,-1499.7999
85.812,US,-1500.0
86.099,US,-1500.2001
86.387,US,-1500.2001
86.674,ST,-1500.1
86.960,US,-1499.7999
87.248,US,-1499.7999
87.535,ST,-1499.7
87.821,ST,-1499.6001
88.108,US,-1499.5
88.396,US,-1499.4
88.681,ST,-1499.5
88.969,ST,-1499.5
89.256,ST,-1499.5
89.542,ST,-1499.4
89.830,ST,-1499.4
