t_ms,status,grams
140,US,62.2036
426,ST,62.2035
712,ST,62.2034
1000,US,62.2033
1287,US,62.2026
1573,US,62.202
1860,US,62.2014
2148,US,62.2011
2433,US,62.201
2721,ST,62.201
3008,US,62.2012
3294,US,62.2016
3581,US,62.2019
3869,US,62.2024
4154,US,62.2027
4442,US,62.2029
4729,US,62.2029
5015,US,62.2025
5302,US,62.1968
5590,US,62.1958
5875,US,62.1957
6163,US,62.1954
6450,US,62.1953
6738,ST,62.1954
7024,US,62.1955
7311,US,62.1953
7598,US,62.1914
7884,US,62.1903
8172,US,62.1899
8459,US,62.1896
8745,US,62.1894
9032,US,62.1893
9320,ST,62.1894
9606,US,62.1896
9893,ST,62.1896
10181,ST,62.1897
10466,US,62.1901
10754,US,62.1906
11041,US,62.1912
11327,US,62.1918
11614,US,62.1923
11902,US,62.1928
12188,US,62.1932
12475,US,62.1935
12763,US,62.1937
13048,US,62.1938
13336,ST,62.1937
13623,ST,62.1937
13909,US,62.1939
14196,US,62.1941
14484,ST,62.194
14769,US,62.1939
15057,US,62.1938
15345,US,62.1937
15632,US,62.1928
15918,US,62.1922
16205,US,62.1917
16493,US,62.1914
16778,US,62.1913
17066,ST,62.1913
17353,ST,62.1914
17639,US,62.1917
17926,US,62.1923
18214,US,62.1929
18499,US,62.1932
18787,US,62.1935
19074,US,62.1939
19360,US,62.1943
19648,ST,62.1942
19935,US,62.1938
20221,US,62.1932
20508,US,62.1928
20796,US,62.1923
21081,US,62.1917
21369,US,62.1911
21656,US,62.1908
21942,US,62.1905
22229,US,62.1901
22517,US,62.1897
22802,US,62.1894
23090,US,62.1891
23378,US,62.1888
23664,US,62.1886
23951,ST,62.1887
24238,US,62.189
24526,US,62.1896
24811,US,62.1901
25099,US,62.1906
25386,US,62.191
25672,US,62.1911
25959,ST,62.1912
26247,US,62.191
26532,US,62.1907
26820,US,62.1907
27108,US,62.1908
27393,US,62.1916
27681,US,62.1923
27968,US,62.193
28254,US,62.1936
28541,US,62.1938
28829,ST,62.1938
29114,US,62.1936
29402,US,62.1933
29689,US,62.1931
29975,ST,62.1932
30263,US,62.1933
30550,US,62.1934
30836,US,62.1941
31123,US,62.1944
31411,US,62.1945
31696,US,62.1942
31984,US,62.1941
32271,US,62.194
32557,ST,62.1939
32845,ST,62.194
33132,ST,62.194
33418,ST,62.1941
33705,US,62.1889
33992,US,62.187
34280,US,62.1853
34565,US,62.1844
34853,US,62.1838
35140,US,62.1834
35426,US,62.1829
35714,US,62.1825
36001,US,62.1824
36287,US,62.1819
36574,US,62.1814
36862,US,62.181
37148,US,62.1808
37435,US,62.1806
37723,US,62.1802
38008,US,62.1795
38296,US,62.179
38583,US,62.1785
38869,US,62.1778
39156,US,62.1773
39444,US,62.177
39729,ST,62.1771
40017,US,62.1773
40304,US,62.1776
40590,US,62.1782
40877,US,62.1789
41165,US,62.1795
41450,US,62.1797
41738,ST,62.1797
42026,US,62.1794
42311,US,62.179
42599,US,62.1784
42886,US,62.1775
43174,US,62.1767
43459,US,62.1763
43747,US,62.1762
44034,ST,62.1763
44320,US,62.1766
44607,US,62.1773
44895,US,62.1783
45181,US,62.1793
45468,US,62.1801
45756,US,62.1806
46041,US,62.1808
46329,US,62.181
46616,US,62.1811
46902,ST,62.181
47189,US,62.1809
47477,ST,62.181
47762,US,62.1813
48050,US,62.1818
48338,US,62.1823
48623,US,62.1826
48911,US,62.1828
49198,ST,62.1827
49484,US,62.1826
49771,US,62.1822
50059,US,62.1818
50344,US,62.1812
50632,US,62.1806
50919,US,62.1799
51205,US,62.1792
51492,US,62.1784
51780,US,62.1777
52066,US,62.1769
52353,US,62.1761
52641,US,62.1756
52928,US,62.1755
53214,ST,62.1756
53501,US,62.1758
53789,ST,62.1758
54074,ST,62.1757
54362,US,62.1754
54649,US,62.1748
54935,US,62.1742
55222,US,62.1736
55510,US,62.1732
55795,US,62.1729
56083,ST,62.173
56371,US,62.1734
56656,US,62.1739
56944,US,62.1744
57231,US,62.1747
57517,US,62.1748
57804,ST,62.1748
58092,ST,62.1749
58377,US,62.1751
58665,US,62.1752
58953,ST,62.1751
59238,US,62.175
59526,US,62.1749
59813,US,62.1748
60098,US,62.1746
60386,US,62.1779
60673,US,62.1792
60959,US,62.1798
61247,US,62.18
61534,ST,62.18
61822,ST,62.18
62107,ST,62.1801
62395,US,62.1803
62682,US,62.1807
62968,US,62.1809
63256,US,62.181
63543,US,62.1811
63829,ST,62.1811
64116,ST,62.181
64404,ST,62.181
64689,US,62.1811
64977,US,62.1816
65264,US,62.1824
65550,US,62.1833
65838,US,62.1844
66125,US,62.1856
66410,US,62.1866
66698,US,62.1876
66985,US,62.1933
67271,US,62.1959
67558,US,62.1986
67846,US,62.2006
68131,US,62.2024
68419,US,62.2046
68706,US,62.2067
68992,US,62.2074
69279,US,62.2069
69567,US,62.206
69852,US,62.2005
70140,US,62.199
70428,US,62.1988
70715,ST,62.1989
71001,US,62.1992
71288,US,62.1996
71576,US,62.1998
71862,US,62.2
72149,US,62.2001
72437,US,62.2003
72722,ST,62.2002
73015,US,62.1998
73297,US,62.1991
73583,US,62.1983
73870,US,62.1974
74158,US,62.1967
74444,US,62.1962
74731,US,62.196
75019,ST,62.1961
DONE 262
