t_ms,status,grams
113,ST,11.5598
789,ST,11.5598
1449,ST,11.5593
2213,ST,11.5592
2890,ST,11.5592
3553,ST,11.5592
4318,ST,11.5591
4989,ST,11.5591
5668,ST,11.5591
6431,US,11.5595
7092,ST,11.5596
7769,ST,11.5597
8531,US,11.5602
9196,US,11.5606
9868,ST,11.5608
10631,ST,11.5609
11310,ST,11.5611
11968,US,11.5614
12734,ST,11.5615
13410,ST,11.5613
14072,US,11.5610
14837,ST,11.5610
15510,ST,11.5611
16189,ST,11.5611
16847,ST,11.5610
17611,ST,11.5610
18289,ST,11.5609
18951,ST,11.5609
19716,ST,11.5609
20389,ST,11.5608
21054,ST,11.5608
21819,ST,11.5607
22489,US,11.5603
23169,ST,11.5603
23931,ST,11.5603
24592,ST,11.5604
25269,US,11.5609
26031,ST,11.5611
26696,ST,11.5610
27368,ST,11.5609
28131,ST,11.5609
28810,ST,11.5608
29470,ST,11.5608
30235,ST,11.5608
30910,ST,11.5608
31573,ST,11.5607
32338,ST,11.5607
33011,ST,11.5606
33689,ST,11.5606
34452,ST,11.5605
35110,ST,11.5599
35789,US,11.5597
36450,ST,11.5595
37215,ST,11.5596
37890,ST,11.5597
38553,ST,11.5597
39331,ST,11.5597
39989,ST,11.5596
40668,ST,11.5596
41431,ST,11.5596
42094,ST,11.5596
42768,ST,11.5597
43531,ST,11.5597
44197,ST,11.5597
44868,ST,11.5597
45633,ST,11.5597
46310,ST,11.5597
46970,ST,11.5596
47735,ST,11.5596
48410,ST,11.5595
49075,ST,11.5594
49840,ST,11.5594
50510,ST,11.5594
51189,ST,11.5593
51848,US,11.5598
52612,US,11.5600
53289,ST,11.5599
53950,ST,11.5599
54715,US,11.5595
55389,US,11.5593
56055,ST,11.5593
56831,ST,11.5594
57489,ST,11.5594
58168,ST,11.5595
58931,US,11.5599
59593,ST,11.5600
60268,ST,11.5600
61031,ST,11.5600
61696,ST,11.5600
62368,ST,11.5600
63132,ST,11.5600
63810,ST,11.5600
64470,ST,11.5600
65234,ST,11.5604
65910,ST,11.5603
66574,ST,11.5602
67339,ST,11.5600
68010,ST,11.5600
68689,ST,11.5600
69347,US,11.5595
70112,US,11.5591
70789,ST,11.5591
71450,ST,11.5591
72217,ST,11.5592
72889,ST,11.5593
73560,US,11.5597
74331,ST,11.5597
74989,ST,11.5597
75668,ST,11.5598
76431,US,11.5602
77093,ST,11.5604
77768,ST,11.5603
78531,ST,11.5601
79198,US,11.5599
79868,ST,11.5598
80631,ST,11.5597
81310,US,11.5593
81971,ST,11.5593
