t_ms,status,grams
92,ST,11.5682
376,ST,11.5682
662,ST,11.5682
948,ST,11.5682
1233,ST,11.5682
1521,ST,11.5682
1808,ST,11.5682
2094,ST,11.5681
2381,US,11.5676
2668,US,11.5675
2954,US,11.5674
3241,US,11.5673
3529,ST,11.5674
3814,ST,11.5674
4114,ST,11.5675
4400,ST,11.5675
4686,ST,11.5675
4973,ST,11.5675
5258,ST,11.5675
5544,ST,11.5675
5830,ST,11.5675
6116,ST,11.5675
6402,ST,11.5675
6688,US,11.5671
6974,US,11.5669
7261,US,11.5668
7546,US,11.5667
7832,ST,11.5666
8119,ST,11.5666
8405,ST,11.5666
8693,ST,11.5666
8980,ST,11.5666
9266,ST,11.5666
9553,ST,11.5665
9841,ST,11.5665
10127,ST,11.5664
10414,US,11.5662
10713,US,11.5662
10999,ST,11.5662
11285,ST,11.5661
11571,ST,11.5661
11857,ST,11.5661
12143,ST,11.5661
12429,ST,11.5661
12715,ST,11.5661
13001,ST,11.5662
13288,ST,11.5662
13573,ST,11.5662
13859,ST,11.5662
14145,ST,11.5663
14431,ST,11.5663
14718,ST,11.5663
15005,ST,11.5663
15291,ST,11.5663
15579,ST,11.5663
15866,ST,11.5663
16151,US,11.5660
16438,US,11.5658
16726,US,11.5657
17013,ST,11.5657
17299,ST,11.5657
17493,ST,11.5657
17779,ST,11.5658
18170,ST,11.5658
18351,ST,11.5658
18639,ST,11.5659
18924,ST,11.5659
19212,ST,11.5659
19500,ST,11.5659
19785,ST,11.5660
20072,US,11.5664
20360,ST,11.5664
20645,ST,11.5665
20933,ST,11.5665
21232,ST,11.5665
21518,ST,11.5665
21804,ST,11.5665
22090,ST,11.5665
22377,ST,11.5665
22663,ST,11.5665
22948,ST,11.5664
23234,ST,11.5664
23520,ST,11.5664
23806,ST,11.5664
24092,ST,11.5664
24378,ST,11.5664
24665,ST,11.5664
24951,ST,11.5664
25237,ST,11.5664
25524,ST,11.5664
25812,ST,11.5664
26098,ST,11.5664
26385,ST,11.5663
26673,ST,11.5663
26958,ST,11.5663
27246,ST,11.5663
27545,ST,11.5662
27831,ST,11.5662
28117,ST,11.5662
28403,ST,11.5662
28689,ST,11.5662
28975,ST,11.5662
29261,ST,11.5661
29548,ST,11.5661
29833,ST,11.5661
30123,ST,11.5661
30406,ST,11.5661
30692,ST,11.5660
30977,ST,11.5660
31263,ST,11.5660
31549,ST,11.5660
31837,ST,11.5660
32122,ST,11.5660
32409,ST,11.5660
32697,ST,11.5660
32985,ST,11.5660
33270,ST,11.5660
33558,ST,11.5660
33845,ST,11.5660
34131,ST,11.5660
34430,ST,11.5660
34716,ST,11.5660
35002,ST,11.5660
35288,ST,11.5660
35574,ST,11.5660
35860,ST,11.5660
36146,ST,11.5660
36432,ST,11.5660
36718,ST,11.5660
37004,US,11.5663
37290,ST,11.5663
37576,ST,11.5662
37862,ST,11.5662
38148,ST,11.5661
38434,ST,11.5661
38721,ST,11.5661
39008,ST,11.5661
39294,ST,11.5661
39581,ST,11.5661
39869,ST,11.5661
40155,ST,11.5661
40442,ST,11.5661
40730,ST,11.5661
41016,ST,11.5661
41315,ST,11.5661
41602,ST,11.5661
41887,ST,11.5661
42173,ST,11.5661
42459,ST,11.5661
42745,ST,11.5661
43031,ST,11.5661
43317,ST,11.5661
43603,ST,11.5661
43889,ST,11.5660
44175,ST,11.5660
44461,ST,11.5660
44747,ST,11.5660
45033,ST,11.5660
45321,ST,11.5659
45606,ST,11.5659
45894,ST,11.5659
46181,ST,11.5659
46466,US,11.5662
46753,ST,11.5662
47041,ST,11.5661
47327,ST,11.5661
47614,ST,11.5661
47902,ST,11.5660
48187,US,11.5656
48486,US,11.5655
48667,ST,11.5655
48954,ST,11.5655
49240,ST,11.5654
49527,ST,11.5654
49815,ST,11.5654
50100,ST,11.5654
50388,ST,11.5653
50675,ST,11.5653
50961,ST,11.5653
51249,ST,11.5652
51536,US,11.5649
51821,US,11.5649
52121,ST,11.5649
52406,ST,11.5650
52692,ST,11.5650
52978,ST,11.5651
53264,US,11.5654
53550,US,11.5655
53836,ST,11.5654
54122,ST,11.5653
54408,ST,11.5653
54694,ST,11.5653
54981,ST,11.5653
55266,ST,11.5652
55552,ST,11.5652
55839,ST,11.5653
56125,ST,11.5653
56412,ST,11.5653
56700,ST,11.5653
56986,ST,11.5653
57273,ST,11.5653
57561,ST,11.5653
57848,ST,11.5654
58134,ST,11.5654
58433,ST,11.5654
58719,ST,11.5654
59005,ST,11.5654
59291,ST,11.5654
59577,US,11.5651
59863,US,11.5650
60149,ST,11.5650
60435,ST,11.5650
60721,ST,11.5650
61007,ST,11.5651
61294,ST,11.5651
61580,ST,11.5652
61869,ST,11.5652
62152,ST,11.5652
62438,ST,11.5652
62724,ST,11.5652
63012,ST,11.5652
63297,ST,11.5652
63585,ST,11.5652
63873,ST,11.5652
64158,ST,11.5651
64446,ST,11.5651
64733,ST,11.5651
65019,ST,11.5651
65318,ST,11.5651
65604,ST,11.5651
65891,ST,11.5651
66177,ST,11.5651
66462,ST,11.5651
66748,ST,11.5651
67034,US,11.5646
67320,US,11.5644
67606,ST,11.5644
67892,ST,11.5645
68178,US,11.5646
68464,ST,11.5646
68750,ST,11.5647
69036,ST,11.5647
69323,ST,11.5647
69609,ST,11.5647
69897,ST,11.5647
70184,ST,11.5646
70469,US,11.5642
70757,US,11.5641
71044,ST,11.5640
71330,ST,11.5639
71618,US,11.5638
71917,ST,11.5638
72191,ST,11.5638
72490,ST,11.5637
72775,ST,11.5637
73061,ST,11.5637
73347,ST,11.5637
73633,ST,11.5637
73919,ST,11.5637
74205,ST,11.5637
74491,ST,11.5637
74777,ST,11.5637
