t_s,status,mg
0.085,US,30.0000
0.372,US,26.2000
0.660,US,25.8000
0.945,US,25.7000
1.233,US,25.6000
1.521,ST,25.5000
1.806,US,25.4000
2.094,US,25.2000
2.381,US,24.8000
2.667,US,24.3000
2.954,US,23.9000
3.242,US,23.2000
3.527,US,22.4000
3.815,US,21.6000
4.103,US,20.9000
4.390,US,20.4000
4.676,US,19.9000
4.963,US,19.5000
5.251,US,19.4000
5.536,US,19.2000
5.824,US,18.7000
6.111,US,18.2000
6.397,US,17.8000
6.684,US,19.6000
6.972,US,19.6000
7.257,US,19.4000
7.545,US,19.3000
7.832,ST,19.2000
8.118,US,18.8000
8.405,US,10.6000
8.693,US,10.0000
8.978,US,10.4000
9.266,US,10.7000
9.553,US,11.2000
9.839,US,11.6000
10.127,US,11.8000
10.414,US,11.9000
10.700,US,12.1000
10.987,US,12.6000
11.275,US,15.1000
11.560,US,11.6000
11.848,US,8.3000
12.135,US,5.3000
12.421,US,6.2000
12.708,US,6.8000
12.996,US,6.9000
13.282,US,7.0000
13.569,US,7.1000
13.857,ST,7.0000
14.145,ST,7.0000
14.430,ST,6.9000
14.718,ST,6.8000
15.005,ST,6.8000
15.290,US,13.4000
15.578,US,13.9000
15.865,US,13.8000
16.151,ST,13.7000
16.439,US,13.5000
16.726,ST,13.5000
17.012,US,13.9000
17.299,US,16.1000
17.587,US,15.7000
17.872,US,15.6000
18.160,US,15.5000
18.448,ST,15.5000
18.733,US,15.3000
19.021,US,15.1000
19.308,US,14.8000
19.594,US,14.6000
19.881,ST,14.6000
20.169,ST,14.6000
20.454,ST,14.6000
20.742,ST,14.7000
21.029,US,14.8000
21.315,ST,14.7000
21.603,ST,14.7000
21.890,ST,14.6000
22.176,ST,14.5000
22.464,ST,14.5000
22.751,US,14.2000
23.036,ST,14.2000
23.324,US,14.4000
23.611,ST,14.3000
23.899,ST,14.3000
24.186,ST,14.2000
24.472,US,14.1000
24.759,US,13.7000
25.045,ST,13.7000
25.333,ST,13.8000
25.620,US,14.0000
25.906,US,14.2000
26.193,US,14.5000
26.481,US,14.6000
26.766,ST,14.6000
27.054,US,14.4000
27.341,US,14.1000
27.626,US,18.4000
27.914,US,17.7000
28.202,US,16.3000
28.487,US,16.1000
28.775,US,16.0000
29.062,ST,16.0000
29.348,ST,16.0000
29.636,ST,16.0000
29.923,ST,16.0000
30.209,US,16.2000
30.496,US,16.9000
30.784,US,17.5000
31.069,US,11.2000
31.356,US,9.3000
31.644,US,9.2000
31.930,US,9.1000
32.217,US,9.0000
32.505,ST,9.1000
32.790,ST,9.0000
33.078,US,8.8000
33.366,US,8.6000
33.653,US,11.4000
33.938,US,12.2000
34.226,US,13.0000
34.513,US,13.5000
34.799,US,13.7000
35.087,US,13.9000
35.374,US,14.0000
35.660,ST,14.0000
35.948,ST,14.0000
36.235,US,14.2000
36.520,US,14.5000
36.808,US,14.7000
37.096,US,14.9000
37.381,US,15.0000
37.669,US,15.3000
37.956,US,15.7000
38.242,US,15.7000
38.529,ST,15.7000
38.817,ST,15.7000
39.102,ST,15.7000
39.390,US,15.9000
39.678,US,16.2000
39.963,US,16.4000
40.250,US,13.5000
40.538,US,12.8000
40.823,US,12.4000
41.111,US,12.2000
41.398,US,12.0000
41.684,US,11.9000
41.972,US,11.7000
42.259,US,11.5000
42.545,US,11.4000
42.832,US,11.3000
43.120,ST,11.2000
43.407,US,19.8000
43.693,US,22.2000
43.980,US,21.8000
44.268,US,21.0000
44.553,US,20.3000
44.841,US,19.8000
45.129,US,19.6000
45.414,ST,19.6000
45.702,ST,19.7000
45.989,US,19.5000
46.275,US,19.5000
46.562,US,19.7000
46.850,US,19.8000
47.136,US,19.9000
47.423,ST,19.9000
47.711,ST,19.9000
47.997,ST,19.9000
48.284,ST,19.8000
48.571,US,14.9000
48.856,US,11.6000
49.144,US,12.4000
49.432,US,16.4000
49.717,US,18.8000
50.004,US,18.8000
50.292,ST,18.9000
50.578,US,19.0000
50.865,ST,19.0000
51.153,ST,19.1000
51.439,US,19.3000
51.726,ST,19.3000
52.014,ST,19.4000
52.299,ST,19.4000
52.587,ST,19.4000
52.874,ST,19.5000
53.162,US,19.7000
53.447,US,19.8000
53.735,US,14.0000
54.022,US,10.0000
54.308,US,9.4000
54.595,US,10.6000
54.883,US,11.4000
55.168,US,11.7000
55.456,US,11.8000
55.744,ST,11.8000
56.029,ST,11.9000
56.317,US,12.1000
56.604,US,12.2000
56.890,ST,12.2000
57.177,ST,12.2000
57.465,ST,12.2000
57.750,US,12.0000
58.038,US,11.8000
58.325,US,11.2000
58.611,US,10.8000
58.899,US,10.5000
59.186,US,10.1000
59.472,US,9.6000
59.759,US,6.9000
60.047,US,6.9000
60.332,ST,7.0000
60.620,US,7.2000
60.907,ST,7.2000
61.193,ST,7.3000
61.481,ST,7.4000
61.768,US,7.8000
62.053,US,12.5000
62.341,US,12.7000
62.628,US,13.0000
62.916,US,13.2000
63.201,ST,13.2000
63.489,ST,13.2000
63.777,US,13.0000
64.062,US,12.9000
64.350,ST,12.9000
64.637,ST,12.8000
64.923,ST,12.8000
65.210,ST,12.8000
65.498,US,13.0000
65.784,US,13.6000
66.071,US,14.2000
66.359,US,14.8000
66.644,US,15.4000
66.932,US,15.9000
67.219,US,16.5000
67.505,US,16.9000
67.792,US,17.2000
68.080,US,17.5000
68.365,US,17.7000
68.653,ST,17.7000
68.941,ST,17.8000
69.226,ST,17.7000
69.514,US,17.5000
69.801,US,17.4000
70.087,US,17.2000
70.374,US,17.1000
70.662,ST,17.2000
70.947,US,17.5000
71.235,US,17.6000
71.522,US,14.1000
71.807,US,13.6000
72.095,US,13.8000
72.383,US,14.0000
72.670,US,14.2000
72.956,US,14.4000
73.244,US,14.6000
73.531,US,14.7000
73.818,US,14.9000
74.104,US,15.2000
74.392,US,15.5000
74.677,US,15.7000
74.965,US,16.0000
75.252,US,16.2000
75.538,US,16.3000
75.825,US,12.7000
76.113,US,13.0000
76.398,US,13.5000
76.686,US,13.8000
76.973,US,14.0000
77.259,US,14.2000
77.547,US,14.5000
77.834,US,14.7000
78.120,US,15.0000
78.407,US,15.4000
78.695,US,15.8000
78.980,US,16.1000
79.268,US,16.1000
79.555,US,16.0000
79.841,ST,16.0000
80.129,ST,15.9000
80.416,US,15.7000
80.702,US,15.4000
80.989,US,15.3000
81.277,ST,15.4000
81.562,US,15.5000
81.850,ST,15.5000
82.137,ST,15.6000
82.425,ST,15.7000
82.711,US,16.0000
82.998,US,16.1000
83.286,ST,16.2000
83.571,ST,16.3000
83.859,US,16.4000
84.146,ST,16.5000
84.432,US,16.6000
84.719,ST,16.6000
85.007,ST,16.5000
85.292,ST,16.5000
85.580,ST,16.4000
85.867,US,16.0000
86.153,US,15.8000
86.440,US,15.6000
86.728,ST,15.7000
87.013,ST,15.7000
87.301,ST,15.7000
87.589,ST,15.8000
87.874,ST,15.8000
88.162,ST,15.8000
88.449,ST,15.7000
88.735,US,15.0000
89.022,US,14.6000
89.310,US,14.2000
89.595,US,13.9000
89.883,US,13.8000
