t_s,status,mg
0.116,ST,-99.5000
0.404,ST,-99.6000
0.690,US,-99.7000
0.977,US,-99.8000
1.265,ST,-99.8000
1.550,ST,-99.9000
1.838,US,-100.0000
2.125,US,-100.2000
2.413,US,-100.4000
2.698,US,-100.6000
2.986,US,-100.8000
3.274,US,-101.0000
3.559,US,-101.1000
3.846,US,-101.2000
4.134,US,-101.3000
4.420,US,-101.4000
4.707,US,-101.5000
4.995,US,-101.7000
5.280,US,-101.9000
5.568,US,-102.1000
5.855,US,-102.3000
6.141,US,-102.5000
6.428,US,-102.7000
6.716,US,-102.9000
7.002,US,-103.0000
7.289,US,-103.2000
7.577,US,-103.4000
7.862,US,-103.5000
8.150,US,-103.6000
8.437,US,-103.7000
8.723,US,-103.8000
9.010,US,-103.9000
9.298,US,-104.0000
9.583,ST,-104.0000
9.871,US,-104.2000
10.158,US,-104.3000
10.444,US,-104.5000
10.731,ST,-104.5000
11.019,ST,-104.6000
11.305,ST,-104.7000
11.592,ST,-104.7000
11.880,ST,-104.8000
12.167,ST,-104.8000
12.453,ST,-104.9000
12.740,US,-105.0000
13.028,US,-105.2000
13.313,US,-105.3000
13.601,US,-105.4000
13.888,US,-105.5000
14.174,US,-105.7000
14.462,US,-105.8000
14.749,US,-105.9000
15.034,US,-106.0000
15.322,US,-106.1000
15.610,ST,-106.1000
15.895,ST,-106.2000
16.183,US,-106.4000
16.470,US,-106.5000
16.756,US,-106.6000
17.043,US,-106.8000
17.331,US,-106.9000
17.616,US,-107.1000
17.904,US,-107.2000
18.191,ST,-107.3000
18.477,ST,-107.4000
18.765,US,-107.6000
19.052,ST,-107.6000
19.338,ST,-107.7000
19.625,US,-107.8000
19.913,US,-107.9000
20.198,US,-108.1000
20.486,US,-108.2000
20.773,US,-108.3000
21.061,US,-108.0000
21.346,US,-95.6000
21.634,US,-84.9000
21.921,US,-83.3000
22.207,US,-83.2000
22.494,ST,-83.2000
22.782,US,-83.4000
23.068,US,-83.6000
23.355,ST,-83.6000
23.643,ST,-83.7000
23.928,ST,-83.8000
24.216,US,-84.0000
24.503,US,-84.2000
24.789,US,-84.3000
25.076,US,-84.5000
25.364,US,-84.7000
25.649,US,-84.9000
25.937,US,-85.1000
26.224,US,-85.3000
26.510,US,-85.5000
26.798,US,-85.6000
27.085,US,-85.8000
27.371,US,-85.9000
27.658,US,-86.1000
27.946,US,-86.3000
28.231,US,-86.4000
28.519,US,-86.5000
28.807,ST,-86.6000
29.092,US,-86.7000
29.380,ST,-86.7000
29.667,ST,-86.8000
29.953,ST,-86.8000
30.240,ST,-86.9000
30.528,US,-87.0000
30.815,US,-87.1000
31.101,ST,-87.2000
31.388,US,-87.4000
31.676,US,-87.5000
31.961,ST,-87.5000
32.249,ST,-87.5000
32.536,ST,-87.6000
32.822,US,-87.3000
33.109,US,-75.8000
33.397,US,-74.0000
33.682,US,-74.3000
33.970,US,-74.4000
34.257,ST,-74.4000
34.543,ST,-74.4000
34.831,ST,-74.4000
35.118,ST,-74.5000
35.404,US,-74.6000
35.691,ST,-74.6000
35.979,ST,-74.6000
36.264,US,-74.8000
36.552,US,-75.0000
36.839,US,-75.1000
37.125,ST,-75.2000
37.413,ST,-75.3000
37.700,US,-75.4000
37.986,US,-75.5000
38.273,ST,-75.6000
38.561,ST,-75.7000
38.846,ST,-75.8000
39.134,US,-75.9000
39.421,US,-76.0000
39.709,US,-76.1000
39.995,ST,-76.1000
40.282,ST,-76.2000
40.569,ST,-76.3000
40.855,ST,-76.3000
41.143,ST,-76.4000
41.430,US,-76.6000
41.716,US,-76.7000
42.003,US,-76.8000
42.291,US,-76.9000
42.576,ST,-77.0000
42.864,ST,-77.1000
43.151,ST,-77.2000
43.437,US,-77.3000
43.724,ST,-77.4000
44.012,US,-77.5000
44.298,US,-77.6000
44.585,US,-77.8000
44.873,US,-78.0000
45.158,US,-78.1000
45.446,ST,-78.2000
45.733,ST,-78.3000
46.019,US,-78.4000
46.306,US,-78.6000
46.594,ST,-78.6000
46.879,ST,-78.7000
47.167,ST,-78.8000
47.454,US,-78.9000
47.740,US,-79.0000
48.028,US,-79.1000
48.315,US,-79.2000
48.601,US,-79.3000
48.888,US,-79.4000
49.176,US,-79.5000
49.463,US,-79.6000
49.749,ST,-79.7000
50.036,ST,-79.7000
50.324,ST,-79.7000
50.610,ST,-79.8000
50.897,US,-80.0000
51.185,US,-80.1000
51.470,US,-80.2000
51.757,US,-80.3000
52.045,US,-80.4000
52.331,US,-80.5000
52.618,ST,-80.6000
52.906,ST,-80.6000
53.191,ST,-80.7000
53.479,ST,-80.7000
53.766,ST,-80.7000
54.052,ST,-80.8000
54.340,ST,-80.8000
54.627,ST,-80.7000
54.913,ST,-80.7000
55.200,ST,-80.8000
55.488,ST,-80.8000
55.773,ST,-80.8000
56.061,ST,-80.8000
56.349,ST,-80.8000
56.634,ST,-80.8000
56.922,ST,-80.8000
57.209,ST,-80.8000
57.495,ST,-80.8000
57.783,ST,-80.8000
58.070,ST,-80.8000
58.358,ST,-80.8000
58.643,ST,-80.8000
58.931,ST,-80.9000
59.219,ST,-80.9000
59.504,ST,-80.9000
59.792,ST,-80.9000
60.079,ST,-80.9000
60.365,ST,-80.9000
60.652,ST,-80.9000
60.940,ST,-80.9000
61.225,ST,-80.9000
61.513,ST,-81.0000
61.800,ST,-81.0000
62.086,ST,-81.0000
62.373,ST,-81.0000
62.661,ST,-81.1000
62.947,ST,-81.1000
63.234,ST,-81.1000
63.522,ST,-81.2000
63.807,ST,-81.2000
64.095,ST,-81.2000
64.382,ST,-81.3000
64.668,ST,-81.3000
64.955,ST,-81.4000
65.243,ST,-81.4000
65.528,ST,-81.4000
65.816,ST,-81.4000
66.103,ST,-81.5000
66.389,ST,-81.5000
66.677,ST,-81.5000
66.964,ST,-81.5000
67.250,ST,-81.5000
67.537,ST,-81.5000
67.824,US,-81.0000
68.111,US,-80.9000
68.397,ST,-80.9000
68.684,ST,-80.9000
68.972,ST,-80.9000
69.258,ST,-80.9000
69.545,ST,-80.9000
69.833,ST,-80.9000
70.118,ST,-80.9000
70.406,ST,-80.9000
70.694,ST,-80.9000
70.979,ST,-80.8000
71.267,ST,-80.8000
71.554,ST,-80.8000
71.840,ST,-80.8000
72.128,ST,-80.7000
72.415,ST,-80.7000
72.701,ST,-80.7000
72.988,ST,-80.7000
73.276,ST,-80.6000
73.563,ST,-80.6000
73.849,ST,-80.6000
74.137,ST,-80.5000
74.422,ST,-80.5000
74.710,ST,-80.5000
74.997,ST,-80.4000
75.283,ST,-80.4000
75.570,ST,-80.4000
75.858,ST,-80.4000
76.144,ST,-80.4000
76.431,ST,-80.4000
76.717,US,-80.9000
77.005,US,-81.0000
77.291,US,-81.2000
77.578,US,-81.3000
77.866,US,-81.4000
78.151,ST,-81.5000
78.439,ST,-81.6000
78.726,ST,-81.6000
79.012,ST,-81.7000
79.299,ST,-81.7000
79.587,ST,-81.8000
79.872,ST,-81.9000
80.160,US,-82.1000
80.447,US,-82.2000
80.733,ST,-82.2000
81.021,ST,-82.3000
81.308,US,-82.4000
81.594,US,-82.5000
81.881,ST,-82.5000
82.169,ST,-82.5000
82.454,ST,-82.5000
82.742,ST,-82.5000
83.030,ST,-82.5000
83.315,ST,-82.5000
83.603,ST,-82.5000
83.890,ST,-82.5000
84.176,ST,-82.5000
84.464,ST,-82.6000
84.751,ST,-82.6000
85.036,US,-83.2000
85.324,US,-83.4000
85.611,US,-83.5000
85.897,US,-83.7000
86.184,US,-83.9000
86.472,US,-84.0000
86.759,US,-84.2000
87.045,US,-84.3000
87.333,ST,-84.3000
87.620,ST,-84.4000
87.906,ST,-84.4000
88.193,ST,-84.4000
88.481,ST,-84.3000
88.766,ST,-84.3000
89.054,ST,-84.3000
89.342,ST,-84.2000
89.627,ST,-84.2000
89.915,ST,-84.2000
