t_s,status,mg
0.096,US,-91.5000
0.384,US,-91.6000
0.671,ST,-91.6000
0.957,ST,-91.6000
1.244,ST,-91.6000
1.532,ST,-91.6000
1.817,ST,-91.6000
2.105,ST,-91.5000
2.393,ST,-91.5000
2.678,ST,-91.5000
2.966,ST,-91.4000
3.253,ST,-91.4000
3.539,ST,-91.4000
3.827,ST,-91.4000
4.114,ST,-91.4000
4.400,ST,-91.4000
4.688,ST,-91.4000
4.975,ST,-91.4000
5.261,ST,-91.3000
5.548,ST,-91.3000
5.836,ST,-91.3000
6.123,ST,-91.3000
6.409,ST,-91.3000
6.697,ST,-91.3000
6.984,ST,-91.3000
7.270,ST,-91.3000
7.557,ST,-91.3000
7.845,ST,-91.4000
8.130,ST,-91.4000
8.418,ST,-91.4000
8.705,ST,-91.4000
8.991,ST,-91.4000
9.279,ST,-91.4000
9.566,ST,-91.5000
9.852,ST,-91.5000
10.139,ST,-91.5000
10.426,ST,-91.6000
10.712,ST,-91.6000
11.000,ST,-91.6000
11.287,ST,-91.6000
11.573,ST,-91.6000
11.860,ST,-91.6000
12.148,ST,-91.7000
12.433,ST,-91.7000
12.721,ST,-91.7000
13.008,ST,-91.7000
13.294,ST,-91.8000
13.581,ST,-91.8000
13.869,ST,-91.8000
14.155,ST,-91.9000
14.442,ST,-91.9000
14.730,ST,-91.9000
15.015,ST,-92.0000
15.303,ST,-92.0000
15.590,ST,-92.0000
15.878,ST,-92.1000
16.163,ST,-92.1000
16.451,ST,-92.1000
16.738,ST,-92.2000
17.024,ST,-92.2000
17.311,ST,-92.2000
17.599,ST,-92.2000
17.885,ST,-92.3000
18.172,ST,-92.3000
18.460,ST,-92.3000
18.745,ST,-92.3000
19.033,ST,-92.3000
19.320,ST,-92.4000
19.606,ST,-92.4000
19.893,ST,-92.4000
20.181,ST,-92.5000
20.466,ST,-92.5000
20.754,ST,-92.5000
21.041,ST,-92.5000
21.327,ST,-92.6000
21.615,ST,-92.6000
21.902,ST,-92.6000
22.188,ST,-92.7000
22.475,ST,-92.7000
22.763,ST,-92.7000
23.048,ST,-92.8000
23.336,ST,-92.8000
23.623,ST,-92.8000
23.909,ST,-92.9000
24.196,ST,-92.9000
24.484,ST,-92.9000
24.772,ST,-92.9000
25.057,ST,-92.9000
25.345,ST,-93.0000
25.632,ST,-93.0000
25.918,ST,-93.0000
26.205,ST,-93.1000
26.493,ST,-93.1000
26.778,US,-93.5000
27.065,US,-93.6000
27.352,ST,-93.6000
27.638,ST,-93.6000
27.925,ST,-93.7000
28.213,ST,-93.7000
28.499,ST,-93.7000
28.786,ST,-93.7000
29.074,ST,-93.7000
29.359,ST,-93.7000
29.647,ST,-93.7000
29.935,ST,-93.8000
30.220,ST,-93.8000
30.507,US,-94.2000
30.795,US,-94.3000
31.081,US,-94.4000
31.368,ST,-94.3000
31.656,ST,-94.3000
31.941,ST,-94.3000
32.229,ST,-94.3000
32.516,ST,-94.3000
32.802,ST,-94.3000
33.090,ST,-94.3000
33.377,ST,-94.3000
33.663,ST,-94.3000
33.950,ST,-94.4000
34.238,ST,-94.4000
34.525,US,-94.7000
34.810,ST,-94.7000
35.098,ST,-94.7000
35.386,ST,-94.7000
35.671,ST,-94.7000
35.959,ST,-94.7000
36.246,ST,-94.7000
36.532,ST,-94.8000
36.819,US,-95.2000
37.107,US,-95.3000
37.392,US,-95.5000
37.680,US,-95.6000
37.967,ST,-95.6000
38.253,ST,-95.5000
38.540,ST,-95.5000
38.828,ST,-95.5000
39.114,ST,-95.5000
39.401,ST,-95.5000
39.689,ST,-95.6000
39.974,ST,-95.6000
40.262,ST,-95.6000
40.549,US,-96.0000
40.835,US,-96.0000
41.122,ST,-96.0000
41.410,ST,-96.1000
41.696,US,-96.2000
41.983,ST,-96.2000
42.271,ST,-96.2000
42.556,ST,-96.2000
42.844,ST,-96.3000
43.131,ST,-96.3000
43.419,ST,-96.3000
43.705,ST,-96.4000
43.992,US,-96.8000
44.279,US,-97.0000
44.565,US,-97.3000
44.852,US,-97.5000
45.140,US,-97.7000
45.425,US,-97.8000
45.713,US,-98.0000
46.000,US,-98.2000
46.286,ST,-98.2000
46.574,ST,-98.3000
46.861,US,-98.4000
47.147,US,-98.5000
47.434,US,-98.6000
47.722,US,-98.7000
48.007,US,-98.8000
48.295,US,-98.9000
48.582,US,-99.0000
48.869,US,-99.2000
49.155,US,-99.4000
49.443,US,-99.6000
49.728,US,-99.7000
50.016,US,-99.9000
50.304,US,-100.1000
50.589,US,-100.2000
50.877,US,-100.3000
51.164,US,-100.4000
51.450,US,-100.5000
51.737,US,-100.6000
52.025,US,-100.7000
52.311,US,-100.8000
52.598,US,-101.0000
52.885,US,-101.1000
53.173,ST,-101.1000
53.458,US,-101.3000
53.746,US,-101.4000
54.034,US,-101.5000
54.319,ST,-101.6000
54.607,ST,-101.6000
54.894,US,-101.8000
55.180,ST,-101.8000
55.467,ST,-101.9000
55.755,ST,-101.9000
56.040,ST,-102.0000
56.328,ST,-102.1000
56.615,ST,-102.1000
56.901,ST,-102.1000
57.188,US,-102.3000
57.476,US,-102.4000
57.762,US,-102.5000
58.049,US,-102.6000
58.337,US,-102.7000
58.622,US,-102.8000
58.910,US,-102.9000
59.197,US,-103.0000
59.483,ST,-103.1000
59.770,US,-103.3000
60.058,US,-103.5000
60.343,US,-103.6000
60.631,US,-103.8000
60.918,US,-104.0000
61.204,US,-104.1000
61.492,US,-104.3000
61.779,ST,-104.3000
62.067,ST,-104.4000
62.352,ST,-104.4000
62.640,ST,-104.3000
62.927,ST,-104.3000
63.213,ST,-104.3000
63.500,ST,-104.3000
63.788,ST,-104.3000
64.074,ST,-104.3000
64.361,ST,-104.3000
64.649,ST,-104.3000
64.935,ST,-104.2000
65.222,ST,-104.2000
65.510,ST,-104.2000
