t_ms,status,grams
81,ST,-000.0008
366,ST,-000.0008
654,ST,-000.0008
941,ST,-000.0007
1226,US,-000.0004
1514,ST,-000.0004
1801,ST,-000.0004
2087,ST,-000.0004
2375,ST,-000.0004
2662,ST,-000.0004
2948,ST,-000.0003
3235,ST,-000.0003
3523,ST,-000.0003
3808,ST,-000.0003
4096,ST,-000.0003
4384,ST,-000.0003
4669,ST,-000.0003
4957,ST,-000.0003
5244,ST,-000.0003
5532,ST,-000.0003
5818,ST,-000.0003
6105,ST,-000.0003
6393,ST,-000.0003
6678,ST,-000.0003
6966,ST,-000.0002
7254,ST,-000.0002
7539,ST,-000.0002
7827,ST,-000.0002
8114,ST,-000.0002
8400,ST,-000.0002
8687,ST,-000.0002
8975,ST,-000.0002
9260,ST,-000.0002
9548,ST,-000.0001
9836,ST,-000.0001
10121,ST,-000.0001
10409,ST,+000.0000
10696,US,+000.0001
10982,ST,+000.0001
11268,US,+000.0005
11556,US,+000.0006
11841,ST,+000.0005
12129,ST,+000.0005
12417,ST,+000.0005
12702,ST,+000.0005
12990,ST,+000.0004
13277,ST,+000.0004
13563,ST,+000.0004
13851,ST,+000.0004
14138,ST,+000.0003
14424,ST,+000.0003
14711,ST,+000.0003
14999,ST,+000.0002
15284,US,-000.0002
15571,US,-000.0003
15859,ST,-000.0003
16146,US,-000.0005
16432,US,-000.0006
16719,US,-000.0008
17007,US,-000.0009
17293,ST,-000.0009
17580,ST,-000.0009
17868,ST,-000.0008
18153,ST,-000.0008
18441,ST,-000.0007
18728,ST,-000.0007
19014,ST,-000.0006
19302,ST,-000.0006
19589,ST,-000.0006
19875,ST,-000.0006
20162,ST,-000.0006
20450,ST,-000.0006
20736,ST,-000.0006
21023,ST,-000.0005
21311,ST,-000.0005
21596,ST,-000.0005
21884,ST,-000.0005
22172,ST,-000.0005
22457,ST,-000.0005
22745,ST,-000.0005
23032,ST,-000.0005
23318,ST,-000.0005
23605,ST,-000.0005
23893,ST,-000.0005
24178,ST,-000.0005
24466,ST,-000.0005
24754,ST,-000.0005
25039,ST,-000.0005
25327,ST,-000.0005
25614,ST,-000.0005
25902,ST,-000.0005
26187,ST,-000.0005
26475,ST,-000.0006
26762,ST,-000.0006
27048,ST,-000.0006
27335,ST,-000.0007
27623,ST,-000.0007
27909,ST,-000.0007
28196,ST,-000.0007
28484,ST,-000.0007
28769,ST,-000.0007
29057,ST,-000.0007
29344,ST,-000.0008
29630,ST,-000.0008
29917,ST,-000.0008
30205,ST,-000.0008
30490,ST,-000.0008
30778,ST,-000.0008
31066,ST,-000.0008
31351,ST,-000.0008
31639,ST,-000.0008
31926,ST,-000.0007
32212,ST,-000.0007
32499,ST,-000.0007
32787,ST,-000.0007
33072,ST,-000.0007
33360,ST,-000.0007
33647,ST,-000.0007
33933,ST,-000.0006
34220,ST,-000.0006
34508,ST,-000.0006
34793,ST,-000.0006
35081,ST,-000.0006
35369,ST,-000.0006
35654,ST,-000.0006
35942,ST,-000.0006
36228,US,-000.0001
36516,US,+000.0001
36801,US,+000.0003
37089,ST,+000.0003
37376,ST,+000.0004
37662,US,+000.0006
37950,US,+000.0007
38237,ST,+000.0007
38523,ST,+000.0007
38810,ST,+000.0007
39098,ST,+000.0007
39383,ST,+000.0006
39671,ST,+000.0006
39958,ST,+000.0007
40244,ST,+000.0007
40532,ST,+000.0007
40819,ST,+000.0007
41105,ST,+000.0007
41392,ST,+000.0007
41680,ST,+000.0007
41966,ST,+000.0007
42253,ST,+000.0007
42541,ST,+000.0007
42827,ST,+000.0007
43114,ST,+000.0007
43401,US,+000.0011
43686,US,+000.0012
43974,ST,+000.0012
44261,ST,+000.0012
44547,ST,+000.0011
44835,ST,+000.0011
45122,ST,+000.0010
45408,ST,+000.0010
45695,ST,+000.0010
45983,ST,+000.0010
46268,ST,+000.0010
46556,ST,+000.0010
46844,ST,+000.0010
47132,ST,+000.0010
47417,ST,+000.0010
47705,ST,+000.0009
47992,ST,+000.0009
48278,ST,+000.0009
48565,ST,+000.0009
48853,ST,+000.0008
49139,ST,+000.0008
49426,ST,+000.0008
49713,ST,+000.0007
49999,ST,+000.0007
50287,ST,+000.0007
50574,ST,+000.0006
50860,ST,+000.0006
51146,US,+000.0000
51434,US,+000.0000
51719,ST,+000.0000
52007,ST,+000.0000
52294,ST,+000.0001
52580,ST,+000.0001
52868,ST,+000.0002
53155,US,+000.0005
53441,US,+000.0006
53728,US,+000.0008
54016,US,+000.0009
54301,US,+000.0010
54589,US,+000.0011
54876,US,+000.0013
55162,US,+000.0014
55449,ST,+000.0014
55737,ST,+000.0014
56022,ST,+000.0014
56310,ST,+000.0014
56598,ST,+000.0014
56885,ST,+000.0013
57171,ST,+000.0013
57458,ST,+000.0012
57746,US,+000.0009
58031,US,+000.0008
58319,US,+000.0007
58606,US,+000.0006
58892,US,+000.0005
59179,US,+000.0004
59467,US,+000.0003
59753,US,+000.0002
60040,ST,+000.0002
60328,ST,+000.0002
60613,US,+000.0000
60901,ST,+000.0000
61188,ST,+000.0000
61474,ST,+000.0000
61762,ST,+000.0000
62049,ST,+000.0000
62335,ST,+000.0000
62622,ST,+000.0000
62910,ST,-000.0001
63195,ST,-000.0001
63483,ST,+000.0000
63771,ST,+000.0000
64056,ST,+000.0000
64344,ST,+000.0000
64631,US,+000.0003
64916,US,+000.0004
65204,ST,+000.0005
65491,ST,+000.0005
65777,ST,+000.0005
66064,ST,+000.0005
66352,ST,+000.0006
66637,US,+000.0008
66925,ST,+000.0009
67212,US,+000.0011
67500,US,+000.0013
67786,US,+000.0014
68073,ST,+000.0013
68361,US,+000.0012
68646,ST,+000.0012
68934,ST,+000.0012
69221,ST,+000.0011
69507,US,+000.0009
69794,US,+000.0009
70082,ST,+000.0009
70368,ST,+000.0009
70655,ST,+000.0009
70943,ST,+000.0010
71228,ST,+000.0010
71516,US,+000.0014
71803,US,+000.0015
72089,US,+000.0016
72376,US,+000.0017
72664,ST,+000.0017
72949,ST,+000.0016
73237,US,+000.0015
73525,ST,+000.0014
73810,US,+000.0011
74098,US,+000.0010
74385,US,+000.0009
74671,ST,+000.0010
74958,US,+000.0011
75246,ST,+000.0011
75531,ST,+000.0011
75819,ST,+000.0011
76107,ST,+000.0011
76392,ST,+000.0011
76680,ST,+000.0010
76967,ST,+000.0010
77254,US,+000.0006
77540,US,+000.0006
77827,ST,+000.0005
78115,ST,+000.0005
78401,ST,+000.0004
78688,ST,+000.0005
78976,ST,+000.0005
79261,ST,+000.0005
79549,ST,+000.0006
79837,ST,+000.0006
80122,US,+000.0010
80409,ST,+000.0010
80697,ST,+000.0010
80983,ST,+000.0010
81270,ST,+000.0010
81558,ST,+000.0010
81843,ST,+000.0010
82131,ST,+000.0011
82418,ST,+000.0011
82704,US,+000.0014
82991,US,+000.0015
83279,ST,+000.0014
83564,ST,+000.0014
83852,ST,+000.0014
84140,ST,+000.0015
84425,ST,+000.0015
84713,ST,+000.0015
85000,ST,+000.0015
85286,ST,+000.0015
85574,ST,+000.0015
85861,ST,+000.0015
86147,ST,+000.0015
86434,ST,+000.0015
86722,ST,+000.0015
87008,ST,+000.0015
87295,ST,+000.0016
87583,ST,+000.0016
87870,ST,+000.0016
88156,ST,+000.0016
88443,ST,+000.0016
88731,ST,+000.0016
89017,ST,+000.0016
89303,US,+000.0014
89591,US,+000.0013
89876,ST,+000.0014
90164,ST,+000.0014
90451,ST,+000.0014
90737,ST,+000.0015
91025,ST,+000.0015
91312,ST,+000.0015
91598,ST,+000.0015
91885,ST,+000.0015
92173,ST,+000.0015
92458,ST,+000.0015
92746,ST,+000.0015
93034,ST,+000.0014
93319,ST,+000.0014
93607,ST,+000.0014
93895,ST,+000.0015
94179,US,+000.0020
94467,US,+000.0021
94754,ST,+000.0022
95040,ST,+000.0023
95327,ST,+000.0023
95615,ST,+000.0022
95901,ST,+000.0022
96188,ST,+000.0022
96476,ST,+000.0022
96761,ST,+000.0022
97049,ST,+000.0022
97337,ST,+000.0022
