t_s,status,mg
0.099,US,-57.5000
0.384,US,-57.6000
0.672,US,-57.8000
0.960,US,-58.0000
1.247,US,-58.2000
1.532,US,-58.3000
1.820,ST,-58.3000
2.108,ST,-58.3000
2.393,ST,-58.3000
2.681,ST,-58.3000
2.968,ST,-58.2000
3.254,ST,-58.2000
3.541,ST,-58.2000
3.829,ST,-58.1000
4.115,ST,-58.1000
4.402,ST,-58.1000
4.690,ST,-58.1000
4.975,ST,-58.1000
5.263,ST,-58.1000
5.551,ST,-58.1000
5.836,ST,-58.1000
6.124,ST,-58.1000
6.411,ST,-58.0000
6.696,US,-57.7000
6.984,ST,-57.7000
7.271,ST,-57.8000
7.557,ST,-57.8000
7.845,ST,-57.9000
8.132,ST,-57.9000
8.417,US,-58.1000
8.705,US,-58.2000
8.993,ST,-58.2000
9.278,ST,-58.2000
9.566,ST,-58.2000
9.853,ST,-58.2000
10.139,ST,-58.2000
10.427,ST,-58.2000
10.714,ST,-58.2000
11.002,ST,-58.2000
11.287,ST,-58.2000
11.575,ST,-58.3000
11.863,ST,-58.3000
12.148,ST,-58.3000
12.436,ST,-58.3000
12.723,ST,-58.3000
13.008,US,-57.9000
13.296,US,-57.6000
13.583,US,-57.4000
13.869,US,-57.3000
14.156,US,-57.1000
14.444,US,-56.7000
14.729,US,-56.4000
15.017,US,-55.9000
15.304,US,-55.5000
15.590,US,-55.1000
15.878,US,-54.8000
16.165,US,-54.6000
16.451,ST,-54.6000
16.738,ST,-54.6000
17.026,ST,-54.7000
17.311,US,-54.8000
17.599,ST,-54.8000
17.887,ST,-54.8000
18.172,US,-55.1000
18.459,US,-55.2000
18.747,US,-55.3000
19.032,US,-55.4000
19.320,ST,-55.4000
19.607,US,-55.6000
19.893,US,-55.7000
20.180,ST,-55.7000
20.468,ST,-55.8000
20.756,ST,-55.8000
21.041,ST,-55.8000
21.329,ST,-55.8000
21.617,ST,-55.8000
21.902,ST,-55.7000
22.190,ST,-55.7000
22.477,ST,-55.7000
22.763,ST,-55.7000
23.051,ST,-55.8000
23.338,ST,-55.8000
23.623,US,-56.3000
23.911,ST,-56.3000
24.198,ST,-56.3000
24.484,ST,-56.2000
24.771,ST,-56.2000
25.059,ST,-56.1000
25.344,ST,-56.0000
25.632,ST,-56.0000
25.920,ST,-56.0000
26.205,ST,-56.0000
26.493,ST,-56.1000
26.780,US,-56.5000
27.066,US,-56.6000
27.353,US,-56.7000
27.641,ST,-56.7000
27.926,ST,-56.7000
28.214,ST,-56.8000
28.501,US,-56.9000
28.787,ST,-56.9000
29.075,ST,-56.9000
29.362,ST,-57.0000
29.649,US,-57.2000
29.935,US,-57.3000
30.222,ST,-57.4000
30.510,ST,-57.4000
30.796,US,-57.6000
31.083,US,-57.8000
31.371,US,-57.9000
31.656,US,-58.0000
31.944,US,-58.1000
32.231,US,-58.2000
32.517,US,-58.4000
32.804,US,-58.5000
33.092,ST,-58.5000
33.377,ST,-58.6000
33.665,US,-58.7000
33.952,US,-58.8000
34.238,US,-58.9000
34.526,US,-59.0000
34.813,ST,-59.0000
35.099,ST,-59.0000
35.386,ST,-59.1000
35.674,US,-59.3000
35.959,ST,-59.3000
36.247,ST,-59.4000
36.534,US,-59.5000
36.820,US,-59.7000
37.107,US,-59.8000
37.395,US,-59.9000
37.681,US,-60.0000
37.968,US,-60.2000
38.255,US,-60.3000
38.541,US,-60.5000
38.829,US,-60.7000
39.116,US,-60.8000
39.404,US,-61.0000
39.689,US,-61.2000
39.977,US,-61.4000
40.264,US,-61.6000
40.550,US,-61.7000
40.837,US,-61.8000
41.125,US,-61.9000
41.410,ST,-61.9000
41.698,ST,-61.8000
41.986,ST,-61.9000
42.271,ST,-61.9000
42.559,ST,-61.9000
42.846,ST,-61.9000
43.132,ST,-62.0000
43.419,US,-62.5000
43.707,US,-62.7000
43.992,US,-62.9000
44.280,US,-63.1000
44.567,US,-63.5000
44.853,US,-64.0000
45.140,US,-69.6000
45.428,US,-69.3000
45.713,US,-69.5000
46.001,US,-69.6000
46.288,ST,-69.6000
46.574,US,-69.5000
46.862,ST,-69.5000
47.149,ST,-69.4000
47.435,ST,-69.4000
47.722,ST,-69.4000
48.010,ST,-69.3000
48.298,ST,-69.3000
48.583,ST,-69.3000
48.871,ST,-69.3000
49.159,ST,-69.3000
49.444,ST,-69.3000
49.732,ST,-69.3000
50.019,ST,-69.3000
50.304,US,-69.8000
50.592,US,-69.9000
50.879,ST,-69.8000
51.165,US,-69.6000
51.452,US,-69.5000
51.740,US,-69.4000
52.025,US,-68.9000
52.313,US,-68.7000
52.601,US,-68.6000
52.886,ST,-68.7000
53.174,US,-68.8000
53.461,US,-69.0000
53.747,ST,-69.0000
54.034,ST,-69.1000
54.322,US,-69.3000
54.607,US,-69.4000
54.895,US,-69.5000
55.182,ST,-69.5000
55.468,ST,-69.5000
55.755,ST,-69.6000
56.043,ST,-69.6000
56.329,ST,-69.6000
56.616,ST,-69.6000
56.904,ST,-69.6000
57.189,ST,-69.6000
57.477,ST,-69.6000
57.764,US,-70.0000
58.052,US,-70.3000
58.337,US,-70.5000
58.625,US,-70.6000
58.912,US,-70.7000
59.198,US,-70.9000
59.486,US,-71.0000
59.773,ST,-70.9000
60.059,ST,-71.0000
60.346,US,-71.1000
60.634,ST,-71.1000
60.919,ST,-71.1000
61.207,ST,-71.1000
61.494,ST,-71.1000
61.780,ST,-71.0000
62.068,ST,-71.0000
62.355,ST,-71.0000
62.641,ST,-71.0000
62.928,ST,-71.0000
63.216,ST,-71.0000
63.502,ST,-71.1000
63.789,US,-71.5000
64.076,US,-71.5000
64.362,ST,-71.5000
64.649,ST,-71.6000
64.937,US,-71.7000
65.222,US,-71.9000
65.510,ST,-71.9000
65.797,ST,-72.0000
66.083,US,-72.2000
66.370,US,-72.4000
66.658,US,-72.5000
66.945,US,-72.6000
67.231,ST,-72.6000
67.519,ST,-72.7000
67.806,ST,-72.7000
68.092,ST,-72.8000
68.379,ST,-72.9000
68.667,ST,-72.9000
68.952,ST,-72.9000
69.240,ST,-72.9000
69.528,ST,-72.9000
69.813,ST,-72.9000
70.101,ST,-72.9000
70.388,ST,-72.9000
70.674,ST,-72.9000
70.962,ST,-72.9000
71.248,US,-73.3000
71.534,US,-73.5000
71.822,US,-73.6000
72.109,ST,-73.7000
72.395,US,-73.9000
72.682,US,-74.1000
72.970,US,-74.4000
73.255,US,-74.7000
73.543,US,-74.8000
73.831,US,-75.0000
74.116,US,-75.1000
74.403,ST,-75.1000
74.691,ST,-75.2000
74.977,ST,-75.1000
75.264,ST,-75.0000
75.552,ST,-75.1000
75.837,ST,-75.1000
76.125,ST,-75.2000
76.413,ST,-75.3000
76.700,ST,-75.3000
76.986,ST,-75.3000
77.273,ST,-75.3000
77.561,ST,-75.3000
77.847,ST,-75.3000
78.134,ST,-75.3000
78.422,ST,-75.3000
78.707,ST,-75.3000
78.995,ST,-75.4000
79.282,US,-75.9000
79.567,US,-76.1000
79.855,US,-76.2000
80.142,ST,-76.3000
80.428,ST,-76.4000
80.716,US,-76.5000
81.003,US,-76.7000
81.288,US,-76.9000
81.576,US,-77.0000
81.863,US,-77.1000
82.149,US,-77.3000
82.437,US,-77.4000
82.724,US,-77.5000
83.010,US,-77.6000
83.297,ST,-77.6000
83.585,ST,-77.7000
83.870,ST,-77.7000
84.158,ST,-77.7000
84.445,ST,-77.7000
84.731,ST,-77.7000
85.019,ST,-77.7000
85.306,ST,-77.7000
85.594,ST,-77.8000
85.879,ST,-77.8000
86.167,ST,-77.8000
86.455,ST,-77.8000
86.740,ST,-77.8000
87.028,ST,-77.7000
87.315,ST,-77.7000
87.601,ST,-77.7000
87.889,ST,-77.7000
88.176,ST,-77.7000
88.462,ST,-77.7000
88.749,ST,-77.7000
89.036,US,-78.1000
89.322,US,-78.2000
89.609,US,-78.3000
89.897,ST,-78.3000
90.182,ST,-78.3000
90.470,ST,-78.4000
90.757,ST,-78.4000
91.043,ST,-78.4000
91.330,ST,-78.4000
91.618,ST,-78.4000
91.904,ST,-78.4000
92.191,ST,-78.4000
92.479,ST,-78.4000
92.764,ST,-78.5000
93.052,ST,-78.5000
93.340,ST,-78.5000
