t_s,status,mg
0.124,US,54.4000
0.412,US,55.4000
0.698,US,55.6000
0.985,ST,55.5000
1.273,US,51.1000
1.558,US,50.6000
1.846,US,45.0000
2.133,US,46.0000
2.419,US,46.2000
2.706,US,54.2000
2.994,US,55.8000
3.281,US,55.5000
3.567,US,52.5000
3.854,US,51.4000
4.142,US,48.5000
4.428,US,51.5000
4.715,US,51.3000
5.003,US,45.9000
5.288,US,43.1000
5.576,US,48.3000
5.863,US,55.7000
6.149,US,54.4000
6.436,US,53.6000
6.724,US,53.7000
7.010,US,54.0000
7.297,US,53.8000
7.585,US,53.7000
7.870,US,53.3000
8.158,US,52.8000
8.445,US,52.3000
8.731,US,51.9000
9.018,US,53.3000
9.306,US,52.7000
9.591,US,48.6000
9.879,US,50.9000
10.166,US,49.1000
10.452,US,40.6000
10.739,US,40.1000
11.027,US,41.1000
11.313,US,41.0000
11.600,US,40.5000
11.888,US,40.7000
12.175,US,51.8000
12.461,US,48.8000
12.748,US,42.7000
13.036,US,44.3000
13.321,US,53.4000
13.609,US,54.6000
13.896,US,47.2000
14.182,US,45.6000
14.469,US,51.2000
14.757,US,53.4000
15.042,US,46.2000
15.330,US,48.0000
15.617,US,60.3000
15.903,US,63.6000
16.191,US,55.4000
16.478,US,54.3000
16.764,US,51.9000
17.051,US,48.5000
17.339,US,46.9000
17.624,US,46.2000
17.912,US,45.4000
18.200,US,46.1000
18.485,US,51.2000
18.772,US,48.6000
19.060,US,49.7000
19.346,US,49.5000
19.633,US,49.9000
19.921,US,54.0000
20.206,US,53.2000
20.494,US,54.3000
20.781,US,63.0000
21.067,US,60.1000
21.354,US,56.3000
21.642,US,61.2000
21.930,US,61.9000
22.215,US,65.3000
22.502,US,56.5000
22.790,US,48.9000
23.075,US,44.0000
23.363,US,46.7000
23.651,US,45.8000
23.936,US,40.4000
24.225,US,40.7000
24.511,US,45.3000
24.797,US,48.7000
25.084,US,48.3000
25.372,US,55.0000
25.657,US,58.4000
25.945,US,50.4000
26.232,US,45.1000
26.518,US,51.6000
26.806,US,54.6000
27.093,US,52.5000
27.379,US,52.2000
27.666,US,52.1000
27.954,US,52.7000
28.240,US,52.5000
28.527,US,47.1000
28.815,US,46.9000
29.100,US,39.7000
29.387,US,39.8000
29.675,US,37.8000
29.960,US,33.2000
30.248,US,38.1000
30.536,US,43.2000
30.821,US,46.0000
31.109,US,46.8000
31.396,US,47.8000
31.684,US,51.0000
31.969,US,51.4000
32.257,US,51.3000
32.545,ST,51.4000
32.830,US,50.7000
33.117,US,45.0000
33.405,US,48.3000
33.690,US,54.4000
33.978,US,46.1000
34.266,US,44.4000
34.551,US,47.1000
34.839,US,54.0000
35.126,US,48.4000
35.412,US,38.6000
35.699,US,38.4000
35.987,US,36.8000
36.272,US,36.6000
36.560,US,36.5000
36.847,US,42.8000
37.133,US,45.7000
37.420,US,39.1000
37.708,US,38.9000
37.994,US,40.8000
38.281,US,40.8000
38.569,US,41.0000
38.855,US,41.0000
39.142,ST,41.0000
39.430,ST,41.1000
39.715,US,41.3000
40.003,US,41.7000
40.290,US,52.0000
40.577,US,64.1000
40.863,US,61.5000
41.150,US,56.7000
41.438,US,59.6000
41.724,US,67.5000
42.011,US,66.2000
42.299,US,61.0000
42.584,US,54.5000
42.872,US,53.3000
43.159,US,52.8000
43.445,US,51.8000
43.733,US,51.5000
44.020,US,53.6000
44.306,US,54.9000
44.593,US,55.8000
44.881,US,55.7000
45.166,US,55.4000
45.454,US,55.1000
45.742,US,54.9000
