t_s,status,mg
0.103,ST,50.5000
0.389,US,53.8000
0.676,US,54.3000
0.962,US,53.6000
1.249,US,53.2000
1.537,US,53.4000
1.823,US,53.2000
2.110,US,52.9000
2.398,US,52.6000
2.683,US,52.1000
2.971,US,51.5000
3.258,US,50.8000
3.544,US,50.2000
3.832,US,49.5000
4.119,US,48.9000
4.405,US,48.7000
4.692,US,48.6000
4.980,ST,48.7000
5.265,ST,48.7000
5.553,US,48.5000
5.840,US,43.4000
6.126,US,44.4000
6.413,US,44.2000
6.701,US,43.3000
6.988,US,42.9000
7.274,US,42.5000
7.561,ST,42.6000
7.849,US,42.7000
8.135,US,42.4000
8.422,US,42.0000
8.710,US,42.2000
8.995,US,42.6000
9.283,US,43.1000
9.571,US,43.4000
9.856,US,44.0000
10.143,US,50.0000
10.431,US,50.7000
10.716,US,51.1000
11.004,US,51.4000
11.291,US,51.0000
11.577,US,50.6000
11.865,US,50.5000
12.152,US,50.1000
12.438,US,49.8000
12.725,US,49.6000
13.013,US,49.4000
13.298,ST,49.4000
13.586,ST,49.3000
13.874,US,49.2000
14.159,ST,49.3000
14.447,ST,49.3000
14.734,ST,49.2000
15.020,US,48.8000
15.307,US,44.2000
15.594,US,44.6000
15.880,US,45.4000
16.167,US,48.9000
16.455,US,49.8000
16.743,US,50.1000
17.028,US,49.7000
17.316,ST,49.8000
17.603,US,50.0000
17.889,US,50.0000
18.177,US,49.8000
18.464,ST,49.8000
18.750,ST,49.7000
19.037,US,49.2000
19.324,US,42.7000
19.610,US,42.1000
19.898,US,42.3000
20.185,US,42.5000
20.471,US,42.7000
20.758,US,42.9000
21.046,US,42.9000
21.332,US,42.7000
21.619,US,42.6000
21.907,ST,42.7000
22.192,ST,42.6000
22.480,ST,42.6000
22.768,ST,42.6000
23.053,ST,42.6000
23.341,US,43.5000
23.628,US,43.9000
23.913,US,44.3000
24.201,US,44.7000
24.488,US,44.6000
24.774,ST,44.6000
25.062,US,44.8000
25.349,US,47.9000
25.635,US,46.6000
25.922,US,45.8000
26.210,US,45.0000
26.497,US,44.5000
26.783,US,44.1000
27.070,US,43.8000
27.357,US,46.5000
27.643,US,45.5000
27.931,US,45.6000
28.218,US,46.3000
28.504,US,47.0000
28.791,US,47.3000
29.079,US,47.5000
29.365,ST,47.4000
29.652,US,44.4000
29.939,US,44.6000
30.225,US,44.9000
30.513,US,44.9000
30.800,ST,44.9000
31.086,US,45.3000
31.373,US,45.7000
31.661,US,46.1000
31.946,US,52.4000
32.234,US,52.2000
32.521,US,52.5000
32.807,US,52.6000
33.094,ST,52.5000
33.382,US,52.7000
33.667,US,58.6000
33.955,US,55.3000
34.242,US,51.2000
34.528,US,52.1000
34.816,US,51.9000
35.103,US,51.8000
35.391,ST,51.7000
35.676,US,51.6000
35.964,ST,51.6000
36.252,ST,51.5000
36.537,US,51.3000
36.824,US,55.7000
37.112,US,57.3000
37.397,US,56.6000
37.685,US,56.5000
37.973,ST,56.5000
38.258,US,56.2000
38.546,US,55.7000
38.833,US,55.3000
39.119,US,55.0000
39.407,US,54.6000
39.694,US,54.3000
39.980,US,54.1000
40.267,ST,54.1000
40.554,US,65.9000
40.840,US,73.7000
41.128,US,72.0000
41.415,US,70.2000
41.700,US,70.0000
41.988,US,69.8000
42.276,US,69.7000
42.561,ST,69.6000
42.849,ST,69.6000
43.137,US,69.9000
43.422,US,70.0000
43.709,US,66.3000
43.997,US,65.7000
44.282,US,66.3000
44.570,US,67.0000
44.858,US,67.2000
45.145,US,67.3000
45.431,US,67.6000
45.718,US,67.8000
46.006,US,68.2000
46.291,US,68.6000
46.579,US,68.8000
46.867,US,69.1000
47.152,US,69.2000
47.439,US,64.8000
47.727,US,58.5000
48.012,US,59.4000
48.300,US,59.6000
48.587,US,59.0000
48.874,US,58.5000
49.161,US,57.8000
49.448,US,57.7000
49.734,ST,57.7000
50.022,US,57.5000
50.309,US,57.0000
50.595,US,56.7000
50.882,US,56.7000
51.170,ST,56.6000
51.455,US,56.0000
51.743,US,55.5000
52.030,US,55.2000
52.316,US,54.9000
52.604,US,54.9000
52.891,ST,54.9000
53.176,US,55.1000
53.464,US,55.4000
53.752,US,55.6000
54.037,US,56.1000
54.325,US,56.3000
54.612,ST,56.3000
54.900,ST,56.3000
55.185,ST,56.4000
55.473,ST,56.3000
55.760,US,56.1000
56.046,US,56.1000
56.333,ST,56.0000
56.621,ST,55.9000
56.906,ST,55.8000
57.194,US,55.6000
57.482,US,55.5000
57.767,US,55.3000
58.055,US,55.0000
58.342,US,54.7000
