t_s,status,mg
0.075,US,5.2000
0.362,US,5.5000
0.647,US,5.7000
0.935,US,5.8000
1.223,ST,5.7000
1.508,US,5.6000
1.796,ST,5.6000
2.083,ST,5.5000
2.369,ST,5.5000
2.656,ST,5.5000
2.944,ST,5.5000
3.230,ST,5.6000
3.517,US,6.2000
3.805,US,6.5000
4.090,US,6.7000
4.378,US,6.8000
4.665,ST,6.8000
4.951,ST,6.7000
5.238,US,6.5000
5.526,US,6.3000
5.811,US,6.2000
6.099,US,6.1000
6.386,ST,6.1000
6.672,ST,6.1000
6.959,ST,6.0000
7.247,ST,6.1000
7.533,ST,6.1000
7.820,ST,6.2000
8.108,ST,6.2000
8.393,ST,6.2000
8.681,US,6.6000
8.968,US,6.8000
9.254,US,7.0000
9.541,ST,7.0000
9.829,US,7.2000
10.116,US,7.4000
10.402,US,7.6000
10.690,US,7.8000
10.977,US,7.8000
11.263,ST,7.8000
11.550,ST,7.8000
11.838,US,7.6000
12.123,ST,7.6000
12.411,ST,7.5000
12.698,US,7.2000
12.984,US,7.1000
13.271,US,7.0000
13.559,ST,7.1000
13.844,ST,7.0000
14.132,US,6.9000
14.419,US,6.8000
14.705,ST,6.7000
14.993,ST,6.6000
15.280,ST,6.7000
15.566,ST,6.7000
15.853,ST,6.8000
16.141,ST,6.8000
16.426,US,7.4000
16.714,US,7.5000
17.001,US,7.7000
17.287,ST,7.7000
17.574,ST,7.8000
17.862,ST,7.7000
18.148,ST,7.7000
18.435,ST,7.7000
18.723,ST,7.7000
19.008,ST,7.8000
19.296,ST,7.8000
19.583,ST,7.8000
19.871,US,8.2000
20.156,US,8.3000
20.444,ST,8.2000
20.731,US,8.1000
21.017,ST,8.1000
21.305,ST,8.2000
21.592,ST,8.2000
21.878,ST,8.1000
22.165,ST,8.1000
22.453,ST,8.1000
22.739,ST,8.1000
23.026,ST,8.2000
23.314,ST,8.2000
23.599,US,8.8000
23.886,US,9.0000
24.179,ST,8.9000
24.461,ST,8.9000
24.747,ST,8.9000
25.034,ST,8.9000
25.320,ST,8.9000
25.608,ST,8.9000
25.895,ST,9.0000
26.181,US,9.4000
26.468,US,9.7000
26.756,US,9.8000
27.041,US,9.9000
27.329,US,10.0000
27.616,ST,10.0000
27.902,ST,10.0000
28.190,ST,10.0000
28.477,ST,9.9000
28.763,ST,9.9000
29.050,ST,10.0000
29.338,ST,10.0000
29.625,ST,10.0000
29.911,US,10.7000
30.198,US,11.1000
30.486,US,11.5000
30.771,US,11.8000
31.059,US,12.2000
31.346,US,12.4000
31.632,ST,12.4000
31.919,US,12.2000
32.207,ST,12.2000
32.493,ST,12.1000
32.780,ST,12.0000
33.068,US,11.9000
33.353,ST,11.9000
33.641,ST,11.9000
33.928,ST,11.9000
34.214,ST,11.9000
34.501,ST,11.9000
34.789,ST,11.9000
35.075,ST,11.9000
35.362,ST,12.0000
35.650,ST,12.0000
35.935,ST,12.0000
36.223,ST,12.0000
36.511,ST,12.0000
36.796,US,11.6000
37.083,US,11.5000
37.371,ST,11.5000
37.656,ST,11.6000
37.944,US,11.8000
38.231,US,11.9000
38.517,US,12.3000
38.804,US,12.6000
39.092,US,12.7000
39.377,US,12.8000
39.665,US,13.0000
39.952,US,13.1000
40.240,US,13.2000
40.526,ST,13.2000
40.813,ST,13.2000
41.101,ST,13.1000
41.386,ST,13.1000
41.674,ST,13.0000
41.961,ST,13.0000
42.247,US,12.7000
42.535,US,12.6000
42.822,ST,12.6000
43.108,ST,12.6000
43.395,ST,12.6000
43.683,ST,12.6000
43.968,ST,12.7000
44.256,US,12.8000
44.544,ST,12.8000
44.829,US,13.1000
45.116,ST,13.1000
45.404,ST,13.1000
45.689,ST,13.0000
45.977,ST,13.0000
46.265,ST,13.0000
46.550,ST,13.0000
46.838,ST,13.0000
47.125,ST,13.1000
47.411,ST,13.1000
47.699,ST,13.1000
47.986,ST,13.1000
48.272,ST,13.1000
48.559,ST,13.1000
48.846,US,12.6000
49.133,US,12.5000
49.419,US,12.4000
49.707,US,12.2000
