t_s,status,mg
0.132,US,14.7000
0.418,US,14.7000
0.706,ST,14.7000
0.993,ST,14.6000
1.278,ST,14.6000
1.566,ST,14.6000
1.853,ST,14.6000
2.139,ST,14.6000
2.427,ST,14.7000
2.714,ST,14.7000
3.000,ST,14.7000
3.287,ST,14.7000
3.575,US,15.1000
3.860,US,19.8000
4.147,US,20.0000
4.435,US,19.7000
4.721,ST,19.7000
5.008,ST,19.6000
5.296,ST,19.5000
5.581,US,19.4000
5.869,US,19.3000
6.156,US,19.2000
6.442,ST,19.2000
6.730,ST,19.1000
7.017,ST,19.1000
7.303,ST,19.1000
7.590,ST,19.2000
7.878,ST,19.3000
8.166,ST,19.3000
8.451,ST,19.4000
8.738,US,19.6000
9.026,ST,19.7000
9.312,ST,19.8000
9.599,ST,19.8000
9.887,ST,19.9000
10.172,US,20.0000
10.460,ST,20.0000
10.747,ST,20.0000
11.033,ST,20.0000
11.321,ST,20.0000
11.608,ST,20.0000
11.894,ST,20.0000
12.181,ST,20.0000
12.469,ST,20.0000
12.755,ST,19.9000
13.042,US,19.6000
13.329,ST,19.5000
13.615,ST,19.5000
13.902,ST,19.6000
14.190,ST,19.6000
14.475,ST,19.6000
14.763,ST,19.7000
15.051,ST,19.7000
15.336,US,20.0000
15.623,ST,19.9000
15.911,ST,19.9000
16.196,US,20.1000
16.484,US,20.1000
16.772,ST,20.0000
17.057,US,19.9000
17.345,US,19.5000
17.632,US,19.3000
17.920,US,19.0000
18.205,US,18.8000
18.493,US,18.7000
18.780,ST,18.8000
19.066,ST,18.9000
19.353,US,19.1000
19.641,US,19.3000
19.927,US,19.7000
20.214,US,19.8000
20.502,ST,19.8000
20.787,US,20.0000
21.075,US,20.1000
21.362,US,20.2000
21.648,ST,20.2000
21.935,ST,20.3000
22.223,ST,20.3000
22.508,ST,20.4000
22.796,ST,20.5000
23.083,ST,20.4000
23.369,ST,20.4000
23.657,ST,20.4000
23.944,ST,20.3000
24.230,ST,20.3000
24.517,ST,20.3000
24.805,ST,20.3000
25.091,ST,20.3000
25.378,ST,20.3000
25.666,ST,20.3000
25.951,ST,20.2000
26.238,US,19.8000
26.526,US,19.7000
26.812,ST,19.7000
27.099,ST,19.8000
27.387,ST,19.8000
27.674,ST,19.9000
27.960,ST,19.9000
28.247,ST,20.0000
28.535,US,20.2000
28.820,US,20.2000
29.108,ST,20.2000
29.395,ST,20.1000
29.681,ST,20.1000
29.969,ST,20.0000
30.256,US,19.5000
30.541,US,19.3000
30.829,US,19.1000
31.117,US,18.7000
31.402,US,18.2000
31.690,US,17.8000
31.977,US,17.4000
32.263,US,17.1000
32.550,US,16.7000
32.838,US,16.4000
33.123,US,16.4000
33.411,ST,16.3000
33.698,ST,16.3000
33.984,ST,16.2000
34.271,ST,16.2000
34.559,ST,16.3000
34.845,ST,16.3000
35.132,ST,16.3000
35.420,ST,16.3000
35.705,ST,16.4000
35.993,US,16.7000
36.280,ST,16.8000
36.566,US,16.9000
36.853,US,17.1000
37.141,US,17.3000
37.428,US,17.5000
37.714,US,17.7000
38.001,US,17.9000
38.289,US,18.0000
38.574,US,18.1000
38.862,US,18.2000
39.150,US,18.4000
39.435,US,18.5000
39.723,US,18.6000
40.010,US,18.8000
40.296,US,19.0000
40.583,US,19.1000
40.871,ST,19.1000
41.157,ST,19.2000
41.444,ST,19.1000
41.732,ST,19.1000
42.017,ST,19.1000
42.305,ST,19.1000
42.592,ST,19.1000
42.878,ST,19.1000
43.166,ST,19.1000
43.453,ST,19.2000
43.738,US,19.6000
44.026,US,19.6000
44.313,ST,19.6000
44.599,ST,19.5000
44.886,ST,19.5000
45.174,ST,19.4000
45.460,ST,19.4000
45.747,ST,19.4000
46.035,ST,19.4000
46.320,ST,19.4000
46.608,ST,19.4000
46.896,ST,19.5000
47.181,US,19.9000
47.468,US,20.0000
47.756,ST,20.0000
48.043,ST,20.0000
48.329,ST,20.0000
48.616,ST,19.9000
48.904,ST,19.9000
49.189,US,19.5000
49.477,US,19.4000
49.765,ST,19.3000
50.050,US,19.1000
50.338,ST,19.1000
50.625,ST,19.2000
50.911,ST,19.2000
51.198,ST,19.2000
51.486,ST,19.2000
51.772,ST,19.3000
52.059,US,19.5000
52.347,US,19.5000
52.632,ST,19.5000
52.920,ST,19.4000
53.207,ST,19.4000
53.493,ST,19.5000
53.781,ST,19.5000
54.068,ST,19.4000
54.354,ST,19.4000
54.641,ST,19.5000
54.929,ST,19.5000
55.214,ST,19.5000
55.501,US,19.9000
55.789,US,20.0000
56.074,US,20.1000
56.362,ST,20.0000
56.650,ST,20.0000
56.935,ST,20.0000
57.223,ST,19.9000
57.510,ST,19.9000
57.798,US,19.5000
58.083,US,19.5000
58.371,ST,19.6000
