t_ms,status,grams
99,ST,-000.0065
387,ST,-000.0065
675,ST,-000.0066
960,ST,-000.0066
1247,US,-000.0070
1535,US,-000.0071
1821,ST,-000.0072
2108,US,-000.0073
2396,ST,-000.0072
2681,US,-000.0071
2969,ST,-000.0071
3256,ST,-000.0071
3542,ST,-000.0071
3830,ST,-000.0071
4117,ST,-000.0071
4403,ST,-000.0071
4690,ST,-000.0071
4978,ST,-000.0071
5263,ST,-000.0071
5551,ST,-000.0071
5839,ST,-000.0071
6124,ST,-000.0071
6412,ST,-000.0071
6700,ST,-000.0071
6985,ST,-000.0071
7273,ST,-000.0071
7560,ST,-000.0071
7846,ST,-000.0071
8133,ST,-000.0071
8420,US,-000.0074
8705,ST,-000.0074
8993,US,-000.0073
9281,ST,-000.0073
9566,ST,-000.0072
9854,ST,-000.0071
10141,US,-000.0069
10429,ST,-000.0069
10714,ST,-000.0069
11002,ST,-000.0069
11289,ST,-000.0070
11575,ST,-000.0070
11863,ST,-000.0070
12150,ST,-000.0070
12436,ST,-000.0070
12723,ST,-000.0069
13011,ST,-000.0069
13296,US,-000.0065
13584,US,-000.0065
13871,ST,-000.0065
14157,US,-000.0061
14444,US,-000.0055
14732,US,-000.0049
15017,US,-000.0043
15305,US,-000.0038
15592,US,-000.0032
15878,US,-000.0027
16166,US,-000.0026
16453,ST,-000.0027
16739,US,-000.0029
17026,ST,-000.0029
17314,ST,-000.0030
17599,ST,-000.0031
17887,ST,-000.0031
18175,ST,-000.0030
18460,ST,-000.0030
18748,ST,-000.0029
19035,US,-000.0025
19320,US,-000.0024
19608,ST,-000.0025
19896,US,-000.0027
20181,ST,-000.0027
20469,ST,-000.0028
20756,US,-000.0031
21044,US,-000.0033
21329,US,-000.0034
21617,US,-000.0035
21904,US,-000.0037
22190,US,-000.0038
22478,US,-000.0039
22765,ST,-000.0039
23051,ST,-000.0039
23338,ST,-000.0039
23626,ST,-000.0040
23911,ST,-000.0040
24199,ST,-000.0040
24487,ST,-000.0040
24773,ST,-000.0040
25059,US,-000.0044
25347,US,-000.0044
25632,ST,-000.0044
25920,ST,-000.0044
26208,ST,-000.0044
26493,ST,-000.0044
26781,ST,-000.0044
