t_s,status,mg
0.135,US,-1310.0000
0.420,US,-1310.0000
0.707,US,-1309.3999
0.995,US,-1310.3000
1.280,US,-1312.8999
1.568,US,-1312.0000
1.856,US,-1313.1000
2.141,US,-1313.3000
2.429,US,-1313.6000
2.716,US,-1319.3999
3.002,US,-1318.7000
3.289,US,-1311.6000
3.577,US,-1304.9000
3.862,US,-1306.6000
4.150,US,-1305.7000
4.438,US,-1304.8000
4.723,US,-1304.2001
5.010,US,-1307.8000
5.298,US,-1311.2001
5.584,US,-1308.7000
5.871,US,-1308.6000
6.159,US,-1307.8999
6.444,US,-1306.5000
6.732,US,-1309.3999
7.019,US,-1305.9000
7.305,US,-1304.9000
7.592,US,-1305.7000
7.880,US,-1306.0000
8.166,US,-1306.7000
8.453,US,-1306.7000
8.741,US,-1306.5000
9.028,US,-1312.8000
9.314,US,-1309.0000
9.601,US,-1307.7001
9.889,US,-1312.7001
10.174,US,-1313.1000
10.462,US,-1313.2000
10.750,US,-1312.6000
11.035,US,-1304.5000
11.322,US,-1304.1001
11.610,US,-1305.4000
11.896,US,-1304.8000
12.183,US,-1305.1000
12.471,US,-1304.9000
12.756,US,-1302.8000
13.044,US,-1306.3999
13.331,US,-1307.5000
13.617,US,-1306.5000
13.904,US,-1306.6000
14.192,US,-1306.7000
14.478,US,-1306.3000
14.765,US,-1305.9000
15.052,US,-1308.7000
15.338,US,-1310.2000
15.625,US,-1309.2999
15.913,US,-1310.5000
16.199,US,-1311.7000
16.486,US,-1308.3000
16.774,US,-1305.2000
17.059,US,-1305.3000
17.347,US,-1311.3000
17.634,US,-1312.4000
17.920,US,-1308.9000
18.207,US,-1307.2000
18.495,US,-1312.6000
18.782,US,-1313.1000
19.068,US,-1313.3000
19.356,US,-1313.9000
19.643,US,-1314.6000
19.929,US,-1315.0000
20.216,US,-1315.1000
20.504,US,-1319.6000
20.789,US,-1319.9000
21.077,US,-1314.6000
21.364,US,-1311.7000
21.650,US,-1313.0000
21.937,US,-1313.3000
22.225,US,-1313.4000
22.511,ST,-1313.3000
22.798,ST,-1313.3000
23.086,ST,-1313.3000
23.371,US,-1313.0000
23.659,US,-1312.7001
23.946,US,-1303.1000
24.232,US,-1293.0000
24.519,US,-1301.1000
24.807,US,-1306.7000
25.092,US,-1309.1000
25.380,US,-1313.7999
25.668,US,-1313.5000
25.953,US,-1312.2000
26.240,US,-1312.0000
26.528,ST,-1312.0000
26.814,US,-1306.0000
27.101,US,-1304.2001
27.389,US,-1307.8000
27.674,US,-1305.0000
27.962,US,-1307.8000
28.249,US,-1316.1000
28.537,US,-1311.3000
28.822,US,-1310.9000
29.110,US,-1310.3000
29.398,US,-1310.1000
29.683,US,-1315.5000
29.970,US,-1315.1000
30.258,US,-1313.2000
30.544,US,-1314.1000
30.831,US,-1313.5000
31.119,US,-1310.1000
31.404,US,-1308.9000
31.692,US,-1309.2001
31.979,US,-1302.6000
32.265,US,-1300.7000
32.552,US,-1309.3999
32.840,US,-1314.2999
33.125,US,-1310.2000
33.413,US,-1307.7001
33.700,US,-1308.7999
33.986,US,-1308.7999
34.274,ST,-1308.7999
34.561,ST,-1308.7999
34.847,US,-1308.4000
35.134,US,-1308.3000
35.422,US,-1310.6001
35.707,US,-1310.7999
35.995,US,-1310.1000
36.282,US,-1309.9000
36.568,US,-1306.0000
36.855,US,-1307.4000
37.143,US,-1307.5000
37.431,US,-1307.8000
37.716,US,-1311.9000
38.004,US,-1310.0000
38.291,US,-1308.0000
38.577,US,-1309.9000
38.864,US,-1316.0000
39.152,US,-1315.0000
39.437,US,-1312.2999
39.725,US,-1313.7999
40.013,US,-1313.6000
40.298,US,-1312.8999
40.586,US,-1312.5000
40.873,US,-1312.2999
41.159,US,-1312.1001
41.446,US,-1315.2000
41.734,US,-1313.5000
42.019,US,-1311.9000
42.307,US,-1312.8999
42.594,US,-1312.1001
42.880,US,-1310.4000
43.167,US,-1313.7000
43.455,US,-1312.8999
43.740,US,-1312.0000
44.028,US,-1312.0000
44.316,US,-1311.5000
44.601,US,-1311.1000
44.889,US,-1311.1000
45.176,US,-1311.3000
45.462,US,-1314.8000
45.749,US,-1308.7999
46.037,US,-1309.5000
46.322,US,-1312.0000
46.610,US,-1311.3000
46.897,US,-1310.5000
47.185,US,-1310.9000
47.471,US,-1310.9000
47.758,US,-1311.1000
48.046,US,-1311.6000
48.331,US,-1311.8000
48.619,US,-1312.1001
48.907,US,-1312.8000
49.192,US,-1309.2999
49.479,US,-1304.5000
49.767,US,-1308.7999
50.052,US,-1314.3999
50.340,US,-1319.9000
50.627,US,-1319.5000
50.913,US,-1318.1000
51.201,US,-1314.7000
51.488,US,-1313.1000
51.774,US,-1314.8000
52.061,US,-1315.4000
52.348,US,-1312.7001
52.634,US,-1313.2000
52.922,US,-1303.7000
53.209,US,-1296.9000
53.495,US,-1300.6001
53.782,US,-1307.1001
54.070,US,-1304.0000
54.355,US,-1301.3000
54.643,US,-1303.6000
54.930,US,-1307.7001
55.216,US,-1311.5000
55.504,US,-1312.4000
55.791,US,-1312.5000
56.079,US,-1312.7001
56.364,US,-1305.5000
56.652,US,-1306.2001
56.939,US,-1317.2000
57.225,US,-1317.2999
57.512,US,-1317.4000
57.800,US,-1312.5000
58.085,US,-1310.0000
58.373,US,-1312.6000
58.660,US,-1312.6000
58.946,ST,-1312.7001
59.233,US,-1317.1001
59.521,US,-1318.4000
59.807,US,-1318.5000
60.094,US,-1317.7001
