t_s,status,mg
0.113,ST,0.2000
0.399,ST,0.2000
0.685,US,-0.1000
0.973,US,-0.2000
1.258,ST,-0.2000
1.546,ST,-0.3000
1.833,ST,-0.3000
2.119,ST,-0.3000
2.406,US,-0.1000
2.694,US,0.3000
2.979,ST,0.2000
3.267,ST,0.1000
3.555,ST,0.1000
3.840,ST,0.2000
4.128,ST,0.1000
4.415,US,-0.1000
4.701,US,-0.1000
4.988,ST,-0.1000
5.275,US,5.0000
5.561,US,5.8000
5.848,ST,5.8000
6.136,ST,5.8000
6.422,US,5.6000
6.709,US,5.5000
6.997,ST,5.4000
7.282,US,5.2000
7.570,US,4.9000
7.857,US,4.4000
8.145,US,3.7000
8.430,US,-1.9000
8.718,US,-0.3000
9.005,US,-1.0000
9.291,US,-1.4000
9.578,US,-1.6000
9.866,ST,-1.6000
10.152,US,-1.4000
10.439,US,-1.0000
10.727,US,-0.8000
11.013,US,-0.6000
11.300,ST,-0.6000
11.587,US,-0.4000
11.873,ST,-0.4000
12.161,ST,-0.5000
12.448,US,-1.0000
12.734,US,-1.4000
13.021,US,-1.2000
13.309,US,-0.8000
13.594,US,-0.4000
13.882,US,0.3000
14.169,US,10.2000
14.454,US,12.0000
14.742,US,10.1000
15.029,US,8.3000
15.315,US,8.5000
15.603,US,8.3000
15.890,US,8.2000
16.176,US,8.1000
16.463,US,7.9000
16.751,ST,7.9000
17.039,ST,7.8000
17.325,US,7.7000
17.612,US,7.6000
17.899,US,7.4000
18.185,US,7.2000
18.472,US,7.1000
18.760,ST,7.1000
19.046,US,6.7000
19.333,US,2.2000
19.620,US,2.3000
19.906,US,2.8000
20.193,US,2.9000
20.481,ST,2.9000
20.767,ST,3.0000
21.054,US,3.1000
21.342,ST,3.1000
21.627,US,3.4000
21.915,US,3.7000
22.202,US,4.0000
22.488,US,4.4000
22.775,US,4.7000
23.063,US,5.2000
23.349,US,5.5000
23.636,ST,5.4000
23.924,US,5.3000
24.209,ST,5.2000
24.497,US,5.1000
24.784,US,4.9000
25.070,US,4.4000
25.357,US,4.2000
25.644,US,6.1000
25.930,US,6.2000
26.218,US,5.3000
26.505,US,4.8000
26.793,US,4.7000
27.078,US,4.6000
27.366,ST,4.6000
27.654,US,4.3000
27.939,US,3.8000
28.227,US,3.8000
28.514,ST,3.7000
28.799,US,0.7000
29.087,US,1.1000
29.375,ST,1.1000
29.660,ST,1.1000
29.948,ST,1.1000
30.235,ST,1.1000
30.521,US,1.4000
30.809,US,1.8000
31.096,US,2.3000
31.382,US,2.8000
31.669,US,3.4000
31.957,US,4.1000
32.242,US,4.5000
32.530,US,4.6000
32.817,ST,4.5000
33.103,US,4.4000
33.390,US,4.3000
33.678,US,4.2000
33.964,ST,4.2000
34.251,ST,4.3000
34.539,US,4.4000
34.824,US,5.0000
35.112,US,5.2000
35.399,US,5.4000
35.685,US,5.6000
35.972,US,5.7000
36.260,ST,5.8000
36.547,ST,5.7000
36.833,ST,5.7000
37.120,ST,5.8000
37.408,ST,5.7000
37.694,US,5.2000
37.981,US,4.9000
38.269,ST,4.9000
38.554,US,1.0000
38.841,US,2.2000
39.129,US,2.7000
39.415,US,2.4000
39.702,US,2.2000
39.989,US,6.0000
40.275,US,8.4000
40.563,US,7.6000
40.850,US,7.4000
41.136,US,6.8000
41.423,US,1.8000
41.711,US,1.9000
41.996,US,2.3000
42.284,US,2.6000
42.572,US,2.9000
42.857,US,3.1000
43.145,US,3.6000
43.432,US,3.9000
43.718,US,4.3000
44.005,US,4.9000
44.293,US,5.2000
44.578,ST,5.2000
44.866,US,5.0000
