t_s,status,mg
0.063,US,-0.399999968
0.351,US,-5.6
0.636,US,-8.8
0.924,US,-5.1000004
1.212,US,-3.5
1.497,US,-3.3
1.785,US,-3.1000002
2.072,ST,-3.1999998
2.358,ST,-3.1000002
2.646,US,-2.7
2.933,US,1.7
3.218,US,3.0
3.506,US,3.0
3.793,US,2.6
4.081,US,2.4
4.367,US,2.6
4.654,US,2.8999998
4.942,ST,2.8
5.227,US,0.6
5.515,US,0.5
5.802,US,0.6
6.088,US,0.7
6.375,US,0.799999936
6.663,US,1.0
6.949,ST,1.0
7.236,US,1.2
7.524,US,1.4
7.809,US,1.5999999
8.097,US,1.8
8.384,US,1.8
8.670,US,2.0
8.957,US,2.1
9.245,US,1.9
9.530,US,1.7
9.818,US,1.5999999
10.106,ST,1.5999999
10.391,ST,1.5
10.679,ST,1.5
10.966,US,2.0
11.252,US,2.5
11.539,US,2.7
11.827,US,2.8
12.112,US,2.6
12.400,US,2.6
12.687,US,5.2
12.974,US,4.3
13.260,US,3.8
13.548,US,3.4
13.835,US,3.8
14.121,US,7.5
14.408,US,7.2
14.696,US,7.0
14.981,US,6.9
15.269,ST,6.9
15.557,ST,6.9
15.842,US,7.3
16.130,US,7.5
16.417,US,7.6
16.703,US,7.7999996
16.990,US,3.3
17.278,US,-2.2
17.563,US,-2.2
17.851,US,-2.2
18.138,US,-2.5
18.424,US,-2.5
18.712,ST,-2.4
18.999,US,-2.2
19.285,US,-1.9
19.572,US,-1.5
19.860,US,-0.799999936
20.146,US,0.099999992
20.433,US,1.0
20.720,US,1.9
21.006,US,2.6
21.294,US,3.5
21.581,US,4.2
21.867,US,4.7
22.154,US,4.9
22.442,US,5.1000004
22.729,ST,5.1000004
23.015,US,4.9
23.302,US,4.6
23.590,US,4.4
23.876,ST,4.4
24.163,ST,4.4
24.451,ST,4.4
24.736,US,4.8
25.023,US,5.5
25.311,US,8.0
25.596,US,7.7999996
25.884,US,8.2
26.171,US,8.1
26.457,US,7.6
26.745,US,7.2
27.032,US,6.9
27.318,US,6.3999996
27.605,US,6.0
27.893,US,5.2999996
28.179,US,4.7
28.466,US,4.5
28.753,US,10.4
29.039,US,10.0
29.326,US,9.4
29.614,US,9.0
29.899,US,8.9
30.187,ST,9.0
30.475,ST,9.0
30.760,ST,9.1
31.048,ST,9.1
31.335,ST,9.1
31.623,US,9.3
31.908,US,9.4
32.196,ST,9.4
32.484,ST,9.3
32.769,ST,9.3
33.057,ST,9.3
33.344,ST,9.3
33.630,ST,9.3
33.918,ST,9.2
34.205,US,8.9
34.490,US,8.7
34.778,US,8.9
35.066,US,9.0
35.351,ST,9.0
35.639,ST,9.0
35.926,ST,9.0
36.212,US,9.2
36.499,US,9.2
36.787,US,9.0
37.072,US,9.0
37.360,ST,9.0
37.648,ST,9.0
37.933,ST,9.0
38.220,US,8.8
38.508,US,8.7
38.793,US,8.5
39.081,US,8.2
39.368,US,7.8999996
39.654,US,7.6
39.942,US,7.4
40.229,ST,7.5
40.515,ST,7.6
40.802,ST,7.5
41.090,US,7.4
41.377,ST,7.5
41.663,US,7.6
41.950,US,7.7
42.238,ST,7.7
42.523,US,7.0
42.811,US,6.9
43.098,US,6.7
43.384,US,6.3
43.672,US,5.7999996
43.959,US,5.4
44.245,US,5.4
44.532,US,5.2999996
44.820,US,5.2999996
45.105,US,5.5
45.393,US,5.7000004
45.681,ST,5.7000004
45.966,ST,5.7000004
46.254,ST,5.7000004
46.541,US,6.0
46.827,ST,5.9
47.114,ST,5.9
47.402,ST,5.9
47.687,ST,6.0
47.975,US,6.6
48.262,US,10.599999
48.547,US,10.0
48.835,US,9.6
49.123,US,9.5
49.408,US,9.8
49.696,US,9.8
49.984,US,9.4
50.269,US,8.9
50.556,US,3.1999998
50.844,US,3.4
51.131,US,3.7
51.417,ST,3.7
51.704,ST,3.8
51.992,US,4.1
52.278,US,4.4
52.565,US,4.6
52.852,US,2.5
53.138,US,4.0
53.426,US,11.8
53.713,US,12.6
53.999,ST,12.6
54.286,US,11.400001
54.574,US,0.399999968
54.859,US,0.399999968
55.147,US,1.7
55.434,US,1.5999999
55.720,US,1.3
56.008,US,0.9
56.295,US,0.6
56.581,US,0.5
56.868,ST,0.6
57.156,US,0.7
57.441,US,1.0
57.729,US,1.2
58.017,US,1.5
58.302,US,-2.1
58.589,US,-2.4
58.877,US,-2.3
59.163,US,-2.0
59.450,US,-1.5999999
59.738,US,-1.2
60.025,US,-1.2
60.310,US,3.5
