t_s,status,mg
0.135,US,-4151.3
0.419,US,-4151.5
0.707,US,-4151.6
0.994,ST,-4151.5
1.280,ST,-4151.5
1.567,US,-4151.3
1.855,US,-4151.1996
2.141,ST,-4151.3
2.428,ST,-4151.1996
2.716,ST,-4151.1996
3.001,ST,-4151.1996
3.289,ST,-4151.3
3.576,ST,-4151.3
3.862,ST,-4151.3
4.149,US,-4151.8004
4.437,US,-4152.0
4.724,ST,-4152.0
5.010,ST,-4152.0
5.297,US,-4152.2
5.585,US,-4152.5
5.870,ST,-4152.4
6.158,US,-4152.1
6.445,ST,-4152.1
6.731,ST,-4152.1
7.018,US,-4155.6
7.306,US,-4154.1
7.591,US,-4150.8004
7.879,US,-4150.3
8.166,US,-4150.8004
8.452,US,-4151.3
8.739,US,-4151.8004
9.027,US,-4152.0
9.313,ST,-4151.9
9.600,US,-4151.8004
9.888,US,-4152.0
10.173,US,-4152.2
10.461,ST,-4152.1
10.748,US,-4151.7
11.034,US,-4151.7
11.322,ST,-4151.7
11.609,ST,-4151.7
11.895,ST,-4151.7
12.182,US,-4151.5
12.470,ST,-4151.5
12.755,ST,-4151.6
13.043,ST,-4151.6
13.330,US,-4151.4
13.618,US,-4151.3
13.903,ST,-4151.4
14.191,US,-4151.5
14.479,ST,-4151.5
14.764,ST,-4151.5
15.052,ST,-4151.5
15.339,ST,-4151.5
15.624,US,-4153.9004
15.912,US,-4152.9004
16.200,US,-4152.8004
16.485,ST,-4152.8004
16.773,ST,-4152.8004
17.060,ST,-4152.8004
17.346,ST,-4152.8004
17.633,US,-4152.5996
17.921,US,-4152.5
18.206,US,-4152.3
18.494,US,-4152.3
18.781,US,-4152.5
19.067,US,-4152.5996
19.355,ST,-4152.5996
19.642,ST,-4152.5996
19.928,ST,-4152.6996
20.215,ST,-4152.6996
20.503,ST,-4152.5996
20.788,US,-4155.5
21.076,US,-4154.6
21.363,US,-4154.2
21.649,US,-4153.5
21.936,US,-4153.1
22.224,US,-4152.9004
22.512,US,-4152.6996
22.797,US,-4152.5996
23.085,US,-4152.3
23.372,US,-4152.1
23.658,US,-4152.0
23.950,ST,-4152.1
24.233,US,-4152.4
24.518,US,-4152.5
24.806,ST,-4152.5
25.093,ST,-4152.4
25.379,US,-4152.5996
25.666,US,-4152.9004
25.954,US,-4152.9004
26.239,ST,-4152.8004
26.527,US,-4153.0
26.814,US,-4160.0
27.100,US,-4156.0996
27.387,US,-4153.9004
27.675,US,-4153.2
27.960,US,-4152.9004
28.248,US,-4152.8004
28.536,US,-4152.5996
28.821,ST,-4152.5996
29.109,ST,-4152.6996
29.396,US,-4152.8004
29.682,US,-4152.5996
29.970,ST,-4152.5996
30.257,ST,-4152.6996
30.543,ST,-4152.6996
30.830,ST,-4152.6996
31.118,ST,-4152.6996
31.405,ST,-4152.6996
31.691,ST,-4152.6996
31.979,ST,-4152.6996
32.266,ST,-4152.5996
32.552,ST,-4152.5996
32.839,US,-4152.3
33.127,US,-4152.1
33.412,ST,-4152.1
33.700,US,-4151.9
33.987,US,-4151.6
34.273,US,-4151.4
34.560,US,-4151.1996
34.848,ST,-4151.1996
