t_s,status,mg
0.062,ST,-4301.3
0.350,ST,-4301.4004
0.636,ST,-4301.4004
0.922,US,-4301.8
1.210,US,-4301.8
1.496,ST,-4301.8
1.783,ST,-4301.8
2.071,US,-4302.1
2.356,US,-4302.3
2.644,US,-4302.4
2.931,ST,-4302.4
3.217,ST,-4302.5
3.504,US,-4302.6
3.792,ST,-4302.6
4.080,ST,-4302.6
4.365,ST,-4302.7
4.653,ST,-4302.7
4.940,US,-4302.9
5.226,US,-4303.1
5.513,ST,-4303.1
5.801,ST,-4303.1
6.086,ST,-4303.1
6.374,ST,-4303.1
6.661,ST,-4303.1
6.947,ST,-4303.1
7.234,ST,-4303.1
7.522,ST,-4303.1
7.808,ST,-4303.1
8.095,ST,-4303.1
8.383,ST,-4303.1
8.668,US,-4303.5
8.956,US,-4303.5996
9.243,ST,-4303.5996
9.529,ST,-4303.5996
9.816,ST,-4303.5
10.104,ST,-4303.5
10.389,ST,-4303.4
10.677,ST,-4303.4
10.965,ST,-4303.3
11.250,ST,-4303.3
11.538,ST,-4303.3
11.826,ST,-4303.3
12.111,ST,-4303.3
12.399,ST,-4303.4
12.686,ST,-4303.4
12.972,ST,-4303.4
13.259,ST,-4303.4
13.547,ST,-4303.4
13.835,ST,-4303.4
14.120,ST,-4303.4
14.407,US,-4304.0
14.694,US,-4304.3
14.980,US,-4304.5996
15.268,US,-4304.8
15.555,US,-4305.0
15.841,ST,-4305.0
16.128,US,-4304.5996
16.415,US,-4300.9
16.701,US,-4300.8
16.988,US,-4300.6
17.276,ST,-4300.6
17.562,ST,-4300.7
17.849,ST,-4300.7
18.137,ST,-4300.8
18.422,ST,-4300.8
18.710,ST,-4300.7
18.998,ST,-4300.7
19.283,ST,-4300.7
19.571,ST,-4300.7
19.858,ST,-4300.7
20.144,ST,-4300.7
20.432,ST,-4300.7
20.719,US,-4301.5
21.004,US,-4302.0
21.292,US,-4302.4
21.579,US,-4302.8004
21.865,US,-4303.1
22.152,US,-4303.4
22.440,US,-4303.5996
22.727,US,-4303.7
23.013,ST,-4303.7
23.300,ST,-4303.8004
23.588,US,-4303.9
23.874,US,-4304.0
24.161,US,-4304.3
24.449,US,-4304.6996
24.734,US,-4305.0
25.022,US,-4305.5
25.309,US,-4305.9
25.595,US,-4306.4
25.882,US,-4306.9
26.170,US,-4307.0
26.456,ST,-4306.9
26.743,US,-4306.7
27.030,US,-4306.4
27.316,US,-4306.1
27.604,US,-4305.6
27.891,US,-4305.2
28.177,US,-4305.0
28.464,ST,-4305.0
28.752,ST,-4305.0
29.037,ST,-4305.0
29.325,ST,-4305.0
29.612,ST,-4305.1
29.898,ST,-4305.1
30.186,ST,-4305.1
30.473,ST,-4305.1
30.759,ST,-4305.1
31.046,ST,-4305.1
31.334,ST,-4305.1
31.621,ST,-4305.1
31.907,ST,-4305.1
32.195,ST,-4305.1
32.482,ST,-4305.1
32.768,ST,-4305.1
33.055,US,-4305.6
33.342,US,-4305.6996
33.628,US,-4305.8
33.915,US,-4305.9
34.203,US,-4306.0
34.488,US,-4306.1
34.776,ST,-4306.1
35.064,ST,-4306.2
35.349,ST,-4306.2
35.637,ST,-4306.3004
35.924,US,-4306.5
36.210,ST,-4306.5
36.497,ST,-4306.6
36.785,ST,-4306.7
37.070,ST,-4306.7
37.358,ST,-4306.8
37.645,US,-4306.9
37.931,ST,-4306.9
38.218,US,-4307.0996
38.506,US,-4307.2
38.791,US,-4307.5
39.079,US,-4307.7
39.367,US,-4307.8
39.652,US,-4308.0
39.940,US,-4308.1996
40.227,ST,-4308.1996
40.515,ST,-4308.1996
40.800,ST,-4308.1
41.088,ST,-4308.1996
41.375,ST,-4308.1996
41.661,ST,-4308.1996
41.949,ST,-4308.1996
42.236,ST,-4308.1996
42.522,ST,-4308.3
42.809,US,-4308.7
43.097,US,-4308.9
43.382,US,-4309.3
43.670,US,-4309.6
43.957,US,-4309.7
44.243,US,-4309.8004
44.530,US,-4309.9
44.818,US,-4310.0
45.103,ST,-4309.9
45.391,US,-4309.8004
45.679,ST,-4309.8004
45.964,ST,-4309.8004
46.252,ST,-4309.8004
46.539,ST,-4309.8004
46.825,ST,-4309.9
47.113,ST,-4309.8004
47.400,ST,-4309.8004
47.685,US,-4309.0
47.973,US,-4308.5
48.260,US,-4308.1
48.546,US,-4307.7
48.833,US,-4307.2
49.121,US,-4306.9
49.407,US,-4306.9
49.694,ST,-4306.9
49.982,ST,-4307.0
50.269,US,-4307.3004
50.555,US,-4307.8
50.842,US,-4308.4004
51.130,US,-4309.0
51.415,US,-4309.5
51.703,US,-4309.9
51.990,US,-4310.3
52.276,US,-4310.5
52.563,ST,-4310.5
52.851,ST,-4310.5996
53.137,US,-4310.6996
53.424,US,-4310.8004
53.712,US,-4311.0
53.997,US,-4311.2
54.285,US,-4311.4
54.572,US,-4311.6996
54.858,US,-4311.9
55.145,US,-4311.9
55.433,ST,-4312.0
55.718,ST,-4312.0
56.006,US,-4312.2
56.293,ST,-4312.2
56.579,ST,-4312.2
56.867,ST,-4312.3004
57.154,US,-4312.4
57.440,US,-4312.6
57.727,ST,-4312.6
58.015,ST,-4312.6996
58.300,US,-4312.8
58.588,US,-4312.9
58.875,US,-4313.1
59.163,US,-4313.3004
59.449,US,-4313.4
59.736,US,-4313.6
60.023,US,-4313.7
60.309,US,-4313.8
60.597,US,-4313.9
60.884,ST,-4313.9
61.170,ST,-4313.9
61.457,ST,-4313.9
61.745,ST,-4313.8
62.030,ST,-4313.8
62.318,ST,-4313.8
62.606,ST,-4313.8
62.891,ST,-4313.7
63.179,ST,-4313.7
63.466,ST,-4313.7
63.752,ST,-4313.7
64.040,ST,-4313.7
64.327,ST,-4313.7
64.613,ST,-4313.7
64.900,US,-4314.0
65.187,US,-4314.1996
65.473,US,-4314.3004
65.760,ST,-4314.3004
66.048,ST,-4314.4004
66.333,US,-4314.6
66.621,US,-4314.7
66.908,US,-4314.8
67.194,ST,-4314.8
67.481,ST,-4314.9
67.769,US,-4315.1
68.057,US,-4315.1996
68.342,US,-4315.4
68.630,US,-4315.6
68.917,US,-4315.8004
69.203,US,-4316.0
69.490,US,-4316.1
69.778,ST,-4316.1
70.063,ST,-4316.1
70.351,ST,-4316.1
70.638,ST,-4316.0
70.924,ST,-4316.0
71.212,ST,-4316.0
71.499,ST,-4315.9
71.785,ST,-4316.0
72.072,ST,-4316.0
72.360,US,-4316.5996
72.645,US,-4316.9
72.933,US,-4317.1
73.220,US,-4317.2
73.506,US,-4317.3
73.793,ST,-4317.4
74.081,ST,-4317.4
74.367,ST,-4317.5
74.654,ST,-4317.4
74.941,ST,-4317.5
75.227,ST,-4317.5
75.515,ST,-4317.5996
75.802,US,-4317.9004
76.088,US,-4317.9004
76.375,ST,-4318.0
76.663,US,-4318.2
76.948,ST,-4318.2
77.236,ST,-4318.3
77.523,US,-4318.6
77.811,US,-4318.6996
78.096,US,-4318.8
78.384,US,-4318.9
78.672,US,-4319.1
78.957,US,-4319.3004
79.245,US,-4319.4
79.532,ST,-4319.5
79.818,US,-4319.6996
80.105,US,-4319.9
80.393,US,-4320.0
80.678,US,-4320.2
80.966,ST,-4320.2
81.253,ST,-4320.3004
81.539,US,-4320.4004
81.826,US,-4320.6
82.114,US,-4320.7
82.399,US,-4320.8
82.687,US,-4321.0
82.975,US,-4321.1996
