t_s,status,mg
0.095,ST,0.0000
0.381,ST,0.0000
0.668,ST,0.0000
0.956,ST,0.0000
1.242,ST,0.0000
1.529,US,-0.3000
1.816,US,-0.2000
2.102,US,-0.1000
2.389,ST,0.0000
2.677,ST,0.0000
2.962,ST,0.0000
3.250,ST,0.0000
3.538,ST,0.0000
3.823,ST,0.0000
4.111,ST,0.0000
4.398,ST,0.0000
4.684,ST,0.0000
4.972,ST,0.0000
5.259,ST,0.0000
5.545,ST,0.0000
5.832,ST,0.0000
6.120,ST,0.0000
6.406,ST,0.0000
6.693,ST,0.0000
6.981,ST,0.0000
7.268,ST,0.0000
7.554,ST,-0.1000
7.842,ST,0.0000
8.129,ST,0.0000
8.415,ST,0.0000
8.702,ST,-0.1000
8.990,ST,0.0000
9.274,US,-0.5000
9.562,US,-0.6000
9.849,ST,-0.7000
10.135,US,-0.8000
10.422,ST,-0.9000
10.710,ST,-0.8000
10.995,ST,-0.9000
11.283,ST,-0.9000
11.571,ST,-0.9000
11.856,ST,-0.9000
12.144,ST,-0.9000
12.431,ST,-0.9000
12.717,ST,-0.9000
13.005,ST,-0.9000
13.292,ST,-0.8000
13.578,ST,-0.8000
13.865,ST,-0.8000
14.152,US,-0.3000
14.438,ST,-0.3000
14.726,ST,-0.4000
15.013,ST,-0.4000
15.299,ST,-0.5000
15.586,ST,-0.5000
15.874,US,-0.8000
16.161,US,-1.0000
16.447,US,-1.2000
16.734,US,-1.3000
17.022,ST,-1.4000
17.307,US,-1.6000
17.595,US,-1.8000
17.882,US,-2.0000
18.168,US,-2.2000
18.455,US,-2.3000
18.743,ST,-2.4000
19.029,US,-2.6000
19.316,ST,-2.6000
19.604,ST,-2.5000
19.889,US,-2.4000
20.177,ST,-2.4000
20.464,ST,-2.3000
20.750,ST,-2.3000
21.038,ST,-2.3000
21.325,ST,-2.3000
21.611,ST,-2.3000
21.898,ST,-2.3000
22.186,ST,-2.4000
22.471,ST,-2.4000
22.759,ST,-2.4000
23.047,ST,-2.4000
23.332,ST,-2.4000
23.619,US,-2.0000
23.907,ST,-2.0000
24.192,ST,-2.1000
24.480,US,-2.3000
24.767,US,-2.4000
25.055,US,-2.8000
25.340,US,-2.9000
25.628,US,-3.0000
25.916,ST,-3.0000
26.201,US,-3.2000
26.489,ST,-3.2000
26.776,ST,-3.2000
27.062,ST,-3.2000
27.349,ST,-3.3000
27.637,ST,-3.3000
27.922,ST,-3.3000
28.210,ST,-3.3000
28.498,ST,-3.3000
28.783,ST,-3.3000
29.071,ST,-3.2000
29.359,ST,-3.2000
29.644,ST,-3.2000
29.931,ST,-3.2000
30.219,ST,-3.3000
30.505,ST,-3.3000
30.792,ST,-3.3000
31.080,ST,-3.3000
31.366,ST,-3.3000
31.653,ST,-3.3000
31.941,ST,-3.3000
32.226,ST,-3.3000
32.514,ST,-3.3000
32.801,ST,-3.3000
33.087,ST,-3.3000
33.374,ST,-3.3000
33.662,ST,-3.3000
33.947,US,-3.8000
34.234,US,-4.0000
34.522,US,-4.1000
34.809,US,-4.3000
35.095,US,-4.6000
35.382,US,-4.8000
35.670,US,-5.0000
35.955,US,-5.1000
36.243,ST,-5.1000
36.530,ST,-5.0000
36.816,US,-4.9000
37.104,ST,-4.8000
37.391,ST,-4.8000
37.677,US,-4.6000
37.964,US,-4.5000
38.252,US,-4.4000
38.537,US,-4.3000
38.825,ST,-4.2000
39.112,ST,-4.2000
39.398,ST,-4.1000
39.685,ST,-4.0000
39.973,US,-3.9000
40.259,US,-4.1000
40.546,US,-4.2000
40.834,ST,-4.2000
41.119,ST,-4.2000
41.407,US,-4.5000
41.694,US,-4.6000
41.980,ST,-4.6000
42.267,ST,-4.6000
42.555,ST,-4.5000
42.840,ST,-4.5000
43.128,ST,-4.5000
43.415,ST,-4.5000
43.703,ST,-4.5000
43.989,ST,-4.5000
44.276,ST,-4.5000
44.564,ST,-4.5000
44.849,ST,-4.5000
45.137,ST,-4.6000
45.425,ST,-4.6000
45.711,ST,-4.6000
45.998,ST,-4.6000
46.286,ST,-4.6000
46.571,ST,-4.7000
46.859,ST,-4.7000
47.145,US,-5.2000
47.431,US,-5.4000
47.718,ST,-5.4000
48.006,ST,-5.5000
48.291,ST,-5.6000
48.579,ST,-5.6000
48.866,ST,-5.5000
49.152,ST,-5.5000
49.440,ST,-5.4000
49.727,ST,-5.4000
50.013,ST,-5.3000
50.300,US,-5.1000
50.588,US,-5.1000
50.873,ST,-5.0000
51.161,ST,-4.9000
51.449,ST,-4.9000
51.734,ST,-4.9000
52.022,ST,-4.8000
52.309,ST,-4.8000
52.597,ST,-4.8000
52.882,ST,-4.9000
53.170,ST,-4.9000
53.458,ST,-4.9000
53.743,ST,-4.9000
54.031,ST,-4.9000
54.318,ST,-5.0000
54.604,ST,-5.0000
54.891,ST,-5.0000
55.179,ST,-5.0000
55.464,US,-5.5000
55.752,US,-5.6000
56.039,ST,-5.6000
56.325,ST,-5.6000
56.612,ST,-5.6000
56.900,ST,-5.7000
57.185,ST,-5.6000
