run_id,powder_id,started_utc,era,rpm,n_polls,iterations,median_poll_ms,nominal_spin_s,actual_spin_s,commanded_rev,actual_rev,overturn_pct
20260804T204316Z_brown-rice-flour,brown-rice-flour,2026-08-04T20:43:16.183255+00:00,before,15.0,48,48,287.0,12.0,13.78,3.0,3.444,14.8
20260804T204316Z_brown-rice-flour,brown-rice-flour,2026-08-04T20:43:16.183255+00:00,before,45.0,16,16,287.0,4.0,4.59,3.0,3.444,14.8
20260804T204316Z_brown-rice-flour,brown-rice-flour,2026-08-04T20:43:16.183255+00:00,before,90.0,8,8,287.0,2.0,2.3,3.0,3.444,14.8
20260804T211422Z_white-rice-flour,white-rice-flour,2026-08-04T21:14:22.351081+00:00,before,15.0,48,48,287.0,12.0,13.78,3.0,3.444,14.8
20260804T211422Z_white-rice-flour,white-rice-flour,2026-08-04T21:14:22.351081+00:00,before,45.0,16,16,287.0,4.0,4.59,3.0,3.444,14.8
20260804T211422Z_white-rice-flour,white-rice-flour,2026-08-04T21:14:22.351081+00:00,before,90.0,8,8,287.0,2.0,2.3,3.0,3.444,14.8
20260804T224937Z_brown-rice-flour,brown-rice-flour,2026-08-04T22:49:37.985918+00:00,before,15.0,48,48,287.0,12.0,13.78,3.0,3.444,14.8
20260804T224937Z_brown-rice-flour,brown-rice-flour,2026-08-04T22:49:37.985918+00:00,before,45.0,16,16,287.0,4.0,4.59,3.0,3.444,14.8
20260804T224937Z_brown-rice-flour,brown-rice-flour,2026-08-04T22:49:37.985918+00:00,before,90.0,8,8,287.0,2.0,2.3,3.0,3.444,14.8
20260805T145725Z_sodium-alginate,sodium-alginate,2026-08-05T14:57:25.298344+00:00,before,15.0,48,48,287.0,12.0,13.78,3.0,3.444,14.8
20260805T145725Z_sodium-alginate,sodium-alginate,2026-08-05T14:57:25.298344+00:00,before,45.0,16,16,287.0,4.0,4.59,3.0,3.444,14.8
20260805T145725Z_sodium-alginate,sodium-alginate,2026-08-05T14:57:25.298344+00:00,before,90.0,8,8,287.0,2.0,2.3,3.0,3.444,14.8
20260805T185305Z_brown-rice-flour,brown-rice-flour,2026-08-05T18:53:05.644181+00:00,before,15.0,48,48,287.0,12.0,13.78,3.0,3.444,14.8
20260805T185305Z_brown-rice-flour,brown-rice-flour,2026-08-05T18:53:05.644181+00:00,before,45.0,16,16,287.0,4.0,4.59,3.0,3.444,14.8
20260805T185305Z_brown-rice-flour,brown-rice-flour,2026-08-05T18:53:05.644181+00:00,before,90.0,8,8,287.0,2.0,2.3,3.0,3.444,14.8
20260805T200002Z_calcium-lactate,calcium-lactate,2026-08-05T20:00:02.433141+00:00,before,15.0,48,48,287.0,12.0,13.78,3.0,3.444,14.8
20260805T200002Z_calcium-lactate,calcium-lactate,2026-08-05T20:00:02.433141+00:00,before,45.0,16,16,287.0,4.0,4.59,3.0,3.444,14.8
20260805T200002Z_calcium-lactate,calcium-lactate,2026-08-05T20:00:02.433141+00:00,before,90.0,8,8,287.0,2.0,2.3,3.0,3.444,14.8
20260805T215252Z_carboxymethyl-cellulose,carboxymethyl-cellulose,2026-08-05T21:52:52.010546+00:00,before,15.0,48,48,287.0,12.0,13.78,3.0,3.444,14.8
20260805T215252Z_carboxymethyl-cellulose,carboxymethyl-cellulose,2026-08-05T21:52:52.010546+00:00,before,45.0,16,16,287.0,4.0,4.59,3.0,3.444,14.8
20260805T215252Z_carboxymethyl-cellulose,carboxymethyl-cellulose,2026-08-05T21:52:52.010546+00:00,before,90.0,8,8,287.0,2.0,2.3,3.0,3.444,14.8
20260806T140254Z_xanthan-gum,xanthan-gum,2026-08-06T14:02:54.080499+00:00,before,15.0,48,48,287.0,12.0,13.78,3.0,3.444,14.8
20260806T140254Z_xanthan-gum,xanthan-gum,2026-08-06T14:02:54.080499+00:00,before,45.0,16,16,287.0,4.0,4.59,3.0,3.444,14.8
20260806T140254Z_xanthan-gum,xanthan-gum,2026-08-06T14:02:54.080499+00:00,before,90.0,8,8,287.0,2.0,2.3,3.0,3.444,14.8
20260806T145120Z_salt,salt,2026-08-06T14:51:20.847638+00:00,before,15.0,48,48,287.0,12.0,13.78,3.0,3.444,14.8
20260806T145120Z_salt,salt,2026-08-06T14:51:20.847638+00:00,before,45.0,16,16,287.0,4.0,4.59,3.0,3.444,14.8
20260806T145120Z_salt,salt,2026-08-06T14:51:20.847638+00:00,before,90.0,8,8,287.0,2.0,2.3,3.0,3.444,14.8
20260811T183043Z_alsi10mg,alsi10mg,2026-08-11T18:30:43.564056+00:00,before,15.0,48,48,287.0,12.0,13.78,3.0,3.444,14.8
20260811T183043Z_alsi10mg,alsi10mg,2026-08-11T18:30:43.564056+00:00,before,45.0,16,16,288.0,4.0,4.61,3.0,3.456,15.2
