t_s,status,mg
0.041,US,1513.1000
0.329,US,1512.1000
0.616,US,1511.4000
0.902,US,1511.1001
1.189,US,1511.2999
1.477,US,1514.1000
1.762,US,1514.2000
2.050,US,1514.7001
2.338,US,1514.1000
2.623,US,1513.9000
2.911,US,1514.2000
3.198,US,1514.4000
3.484,ST,1514.4000
3.772,ST,1514.4000
4.059,US,1518.1000
4.344,US,1515.9000
4.632,US,1514.5000
4.919,US,1515.5000
5.205,US,1515.5000
5.492,US,1515.3000
5.780,US,1514.9000
6.068,US,1514.9000
6.353,ST,1515.0000
6.641,ST,1514.9000
6.928,US,1514.6001
7.214,US,1514.4000
7.501,US,1514.7001
7.789,US,1515.0000
8.074,US,1512.1000
8.362,US,1516.5000
8.649,US,1514.6001
8.935,US,1510.4000
9.222,US,1511.7001
9.510,US,1510.8000
9.795,US,1505.9000
10.083,US,1509.4000
10.370,US,1510.4000
10.656,US,1508.7001
10.944,US,1508.3999
11.231,US,1508.9000
11.517,US,1511.7001
11.804,US,1506.8000
12.092,US,1505.5000
12.377,US,1505.9000
12.665,US,1506.6000
12.952,US,1507.3000
13.238,US,1508.2001
13.526,US,1513.1000
13.813,US,1511.2999
14.098,US,1509.6001
14.386,US,1510.4000
14.674,US,1510.4000
14.959,ST,1510.3000
15.247,US,1510.5000
15.535,ST,1510.5000
15.820,US,1510.2001
16.108,US,1510.0000
16.395,US,1512.3000
16.682,US,1510.4000
16.968,US,1507.7999
17.255,US,1508.3999
17.543,US,1508.2001
17.829,US,1508.1000
18.116,ST,1508.0000
18.404,ST,1508.1000
18.689,US,1508.5000
18.977,US,1508.9000
19.264,US,1514.1000
19.550,US,1512.4000
19.838,US,1506.5000
20.125,US,1509.5000
20.410,US,1510.1000
20.698,US,1510.3000
20.986,US,1511.2000
21.271,US,1513.1000
21.559,US,1512.3000
21.846,US,1511.8999
22.132,US,1507.7999
22.419,US,1509.7000
22.707,US,1512.2000
22.992,US,1513.2999
23.280,US,1513.7000
23.567,US,1512.9000
23.853,US,1512.6000
24.141,US,1512.6000
24.428,US,1513.0000
24.714,US,1513.0000
25.001,US,1510.0000
25.289,US,1512.9000
25.574,US,1514.4000
25.862,US,1517.3000
26.149,US,1512.7999
26.435,US,1508.9000
26.722,US,1511.8000
27.010,US,1510.9000
27.296,US,1510.9000
27.583,US,1517.2000
27.870,US,1514.7001
28.158,US,1510.1000
28.443,US,1505.7000
28.731,US,1507.7000
29.019,US,1511.8000
29.304,US,1511.1001
29.592,US,1505.8000
29.879,US,1507.0000
30.165,US,1506.2000
30.452,US,1502.0000
30.740,US,1508.9000
31.025,US,1509.5000
31.313,US,1510.7000
31.601,US,1509.7999
31.886,US,1510.2001
32.174,US,1510.9000
32.461,US,1503.2001
32.747,US,1505.5000
33.034,US,1506.8999
33.322,US,1506.1001
33.607,US,1512.5000
33.895,US,1513.2001
34.182,US,1512.5000
34.468,US,1514.1000
34.755,US,1507.9000
35.043,US,1506.8000
35.329,US,1508.8000
35.616,US,1503.4000
35.904,US,1503.6000
36.189,US,1504.0000
36.477,US,1503.2999
36.764,US,1507.4000
37.050,US,1507.5000
37.337,US,1508.5000
37.625,US,1521.2000
37.910,US,1564.9000
38.198,US,1574.1000
38.485,US,1575.7999
38.773,US,1543.7000
39.058,US,1466.1000
39.346,US,1484.6000
39.633,US,1504.7999
39.919,US,1506.8999
40.207,US,1511.2000
40.494,US,1509.9000
40.780,US,1507.4000
41.067,US,1511.5000
41.355,US,1512.4000
41.640,US,1508.0000
41.928,US,1509.6001
42.216,US,1508.2999
42.501,US,1508.5000
42.789,US,1508.2999
43.076,US,1508.5000
43.362,US,1508.9000
43.650,US,1509.0000
43.937,US,1509.6001
44.223,US,1510.0000
44.510,US,1510.3000
44.798,US,1510.6000
45.083,US,1510.9000
45.371,US,1511.2000
45.658,US,1511.2000
45.944,US,1511.0000
46.231,US,1511.4000
46.519,US,1515.5000
46.804,US,1514.1000
47.092,US,1513.9000
47.379,US,1514.6001
47.665,US,1514.6001
47.952,US,1514.7001
48.240,US,1520.3000
48.525,US,1518.5000
48.813,US,1511.2000
49.100,US,1513.8000
49.386,US,1517.2000
49.673,US,1514.5000
49.961,US,1514.2000
50.249,US,1512.9000
50.534,US,1506.5000
50.822,US,1511.4000
51.109,US,1510.9000
51.395,US,1510.6000
51.682,US,1511.7001
51.970,US,1511.8999
52.255,US,1505.2001
52.543,US,1501.7001
52.831,US,1511.1001
53.116,US,1515.1000
53.404,US,1510.7000
53.691,US,1504.7999
53.977,US,1508.7001
54.264,US,1511.0000
54.552,US,1512.6000
54.837,US,1513.2999
55.125,US,1513.3999
55.412,ST,1513.3999
55.698,US,1513.1000
55.986,US,1512.6000
56.273,US,1512.4000
56.559,US,1512.1000
56.846,US,1511.2999
57.134,US,1510.3000
57.420,US,1509.7000
57.707,US,1510.4000
57.994,US,1509.1000
58.280,US,1509.3000
58.567,US,1513.7000
58.855,US,1515.9000
59.140,US,1509.7999
59.428,US,1510.0000
59.715,US,1510.1000
60.001,ST,1510.1000
60.289,US,1509.5000
60.576,US,1509.1000
60.864,US,1509.1000
61.149,US,1512.4000
61.437,US,1509.5000
61.724,US,1510.2001
62.010,US,1510.6000
62.297,US,1511.2999
62.585,US,1511.2999
62.870,US,1497.8000
63.158,US,1490.7000
63.446,US,1496.1000
63.731,US,1497.6000
64.019,US,1496.0000
64.306,US,1497.1000
64.592,US,1499.3000
64.879,US,1491.2999
65.167,US,1489.0000
65.452,US,1490.8000
65.740,US,1490.8000
66.027,US,1491.4000
66.313,US,1497.3000
66.600,US,1503.8000
66.888,US,1499.7999
67.174,US,1497.9000
67.461,US,1495.5000
67.749,US,1491.7001
68.034,US,1492.7000
68.322,US,1492.5000
68.609,US,1492.8000
68.895,US,1493.4000
69.182,US,1488.1001
69.470,US,1489.9000
69.755,US,1499.4000
70.043,US,1499.7999
70.330,US,1497.9000
70.616,US,1498.7001
70.904,US,1498.1001
71.191,US,1495.3999
71.477,US,1498.7001
71.764,US,1497.3000
72.052,US,1498.0000
72.339,US,1497.7000
72.625,US,1494.3000
72.912,US,1491.5000
73.200,US,1492.5000
73.485,US,1497.6000
73.773,US,1495.9000
74.060,US,1493.8000
74.346,US,1494.0000
74.634,US,1494.7000
74.921,US,1495.6000
75.207,US,1499.1000
75.494,US,1498.7001
75.782,US,1498.2001
76.067,US,1497.4000
76.355,US,1497.2000
76.642,US,1501.4000
76.928,US,1502.7000
77.215,US,1500.8000
77.503,US,1498.1001
77.788,US,1497.7000
78.076,US,1493.8999
78.364,US,1495.7000
78.649,US,1496.2999
78.937,US,1496.2999
79.224,US,1496.7001
79.510,US,1497.1000
79.797,US,1494.4000
80.085,US,1494.5000
80.370,US,1498.5000
80.658,US,1499.6001
80.946,US,1497.7000
81.231,US,1493.8000
81.518,US,1492.5000
81.806,US,1493.5000
82.092,US,1496.4000
82.379,US,1496.7001
82.667,US,1496.5000
82.954,US,1496.2999
83.240,US,1496.5000
83.527,US,1496.7999
83.815,US,1497.1000
84.101,ST,1497.0000
84.388,US,1496.8999
84.676,US,1497.3000
84.961,US,1500.2001
85.249,US,1499.3000
85.536,US,1499.6001
85.822,US,1499.1000
86.109,US,1496.4000
86.397,US,1496.7001
86.682,US,1496.8999
86.970,US,1497.3000
87.257,US,1500.7000
87.543,US,1490.6000
87.830,US,1476.1000
88.118,US,1540.9000
88.403,US,1563.6000
88.691,US,1564.5000
88.979,US,1565.7001
89.264,US,1568.5000
89.552,US,1554.9000
89.839,US,1526.9000
90.125,US,1519.9000
90.412,US,1520.4000
90.700,US,1522.3000
90.985,US,1525.7000
91.273,US,1529.5000
91.560,US,1527.5000
91.846,US,1527.1000
92.133,US,1519.6000
92.421,US,1529.2000
92.706,US,1534.4000
92.994,US,1530.0000
93.282,US,1532.7999
93.567,US,1533.0000
93.855,US,1529.2000
94.142,US,1528.3000
94.430,US,1527.5000
94.715,US,1524.7001
95.003,US,1524.2999
95.290,ST,1524.2999
95.576,US,1524.6000
95.864,US,1524.2999
96.151,US,1520.6000
96.437,US,1521.2999
96.724,US,1527.3000
97.012,US,1532.1000
97.297,US,1528.1000
97.585,US,1520.6000
97.872,US,1519.6000
98.158,US,1519.6000
98.445,US,1520.7000
98.733,US,1529.2000
99.018,US,1522.7999
99.306,US,1520.7000
99.593,US,1523.1000
99.879,US,1524.4000
100.167,US,1522.7999
100.456,US,1522.2000
100.740,US,1521.2999
101.028,US,1521.2000
101.315,US,1526.8000
101.600,US,1528.1000
101.888,US,1526.1001
102.175,US,1526.2001
102.461,US,1526.2999
102.749,US,1526.0000
103.036,US,1525.4000
103.322,US,1525.1000
103.609,US,1524.8999
103.897,ST,1524.8999
104.182,US,1524.7001
104.470,US,1524.6000
104.758,ST,1524.5000
105.045,ST,1524.4000
105.330,US,1517.4000
105.618,US,1523.5000
105.905,US,1527.3000
106.191,US,1524.7001
106.479,US,1524.7001
106.766,US,1527.7999
107.052,US,1525.9000
107.339,US,1525.1000
107.627,US,1525.5000
107.912,US,1525.6000
108.200,US,1526.1001
108.487,US,1527.5000
108.773,US,1525.1000
109.060,US,1526.1001
109.348,US,1526.1001
109.634,US,1525.6000
109.921,US,1521.5000
110.209,US,1522.4000
110.494,US,1523.5000
110.782,US,1523.7000
111.069,US,1523.9000
111.355,US,1524.4000
111.642,US,1528.0000
111.930,US,1526.8000
112.215,US,1526.9000
112.503,US,1526.4000
112.790,US,1524.1000
113.076,US,1524.5000
113.364,US,1524.6000
113.651,US,1525.1000
113.937,US,1524.8999
114.224,US,1513.6000
114.512,US,1505.3999
114.797,US,1511.2000
115.085,US,1510.1000
115.372,US,1505.3999
115.658,US,1505.6000
115.945,US,1505.9000
116.233,US,1507.1000
116.521,US,1506.8999
116.806,US,1507.6000
117.094,US,1508.0000
117.381,US,1504.9000
117.667,US,1500.8000
117.954,US,1504.0000
118.242,US,1506.2000
118.527,US,1506.4000
118.815,US,1505.7000
119.102,US,1501.0000
119.388,US,1503.2999
119.675,US,1505.9000
119.963,US,1509.2000
