t_s,status,mg
0.107,ST,1530.4000
0.394,ST,1530.3000
0.682,ST,1530.4000
0.967,US,1530.5000
1.255,US,1530.6000
1.542,US,1531.2001
1.828,US,1531.6000
2.115,US,1531.7001
2.403,ST,1531.7001
2.689,ST,1531.6000
2.976,US,1531.2001
3.264,US,1531.0000
3.549,US,1530.9000
3.837,US,1530.7999
4.124,ST,1530.7000
4.410,US,1530.3000
4.697,US,1530.2000
4.984,US,1532.1000
5.270,US,1532.0000
5.558,US,1531.7001
5.845,US,1528.3999
6.131,US,1529.1000
6.418,US,1529.7001
6.706,US,1530.3000
6.991,US,1531.1000
7.279,US,1531.6000
7.567,US,1531.7001
7.852,US,1532.1000
8.140,US,1532.7000
8.427,US,1533.1000
8.713,US,1533.1000
9.000,ST,1533.0000
9.288,ST,1533.0000
9.573,US,1530.3000
9.861,US,1528.8000
10.148,US,1528.5000
10.436,US,1529.2000
10.721,US,1529.5000
11.009,US,1529.8999
11.297,US,1530.4000
11.582,US,1530.7999
11.870,US,1531.2001
12.157,US,1531.6000
12.443,US,1532.0000
12.730,US,1532.2000
13.018,US,1532.0000
13.303,US,1531.8000
13.591,US,1531.5000
13.879,US,1531.2999
14.164,US,1530.9000
14.452,US,1530.4000
14.739,US,1530.1000
15.025,ST,1530.1000
15.312,US,1529.8999
15.600,US,1530.1000
15.885,US,1535.2000
16.172,US,1534.2000
16.460,US,1530.9000
16.746,US,1529.4000
17.033,US,1530.2000
17.321,US,1530.6000
17.606,US,1530.9000
17.894,US,1530.9000
18.182,ST,1530.9000
18.467,ST,1530.7999
18.755,US,1530.6000
19.042,US,1530.4000
19.328,US,1530.3000
19.615,ST,1530.3000
19.904,ST,1530.3000
20.188,ST,1530.3000
20.476,US,1530.5000
20.764,US,1531.1000
21.049,US,1531.9000
21.337,US,1532.3000
21.624,US,1532.5000
21.912,US,1532.7000
22.197,US,1532.9000
22.485,US,1533.1000
22.772,US,1532.9000
23.058,US,1532.3000
23.345,US,1521.6000
23.632,US,1528.3000
23.918,US,1530.6000
24.206,US,1530.5000
24.493,ST,1530.6000
24.779,US,1530.4000
25.066,US,1529.8000
25.354,US,1524.5000
25.639,US,1524.1000
25.927,US,1526.4000
26.214,US,1529.4000
26.500,US,1530.1000
26.788,US,1529.4000
27.075,US,1529.2000
27.361,US,1529.5000
27.648,US,1529.5000
27.936,US,1529.2000
28.222,US,1529.0000
28.509,US,1528.9000
28.797,US,1529.1000
29.082,US,1529.2000
29.370,ST,1529.2999
29.657,US,1530.0000
29.943,US,1530.7999
30.230,US,1531.2999
30.517,US,1529.8000
30.803,US,1529.1000
31.091,US,1528.7000
31.378,US,1528.1000
31.664,US,1527.7999
31.952,ST,1527.7999
32.239,ST,1527.7999
32.527,US,1528.0000
32.812,US,1533.4000
33.099,US,1532.7000
33.387,US,1531.8000
33.673,US,1531.2001
33.960,US,1530.7000
34.248,US,1530.5000
34.533,ST,1530.6000
34.821,US,1530.7000
35.109,US,1530.5000
35.394,ST,1530.5000
35.682,ST,1530.5000
35.969,US,1528.0000
36.254,US,1529.6000
36.542,US,1530.2000
36.829,US,1530.7000
37.115,US,1530.6000
37.403,US,1529.2000
37.690,US,1529.8999
37.976,US,1530.0000
38.263,US,1529.7001
38.551,US,1529.5000
38.836,US,1529.7001
39.124,US,1534.6000
39.411,US,1532.7000
39.697,US,1532.0000
39.985,US,1531.2999
40.272,US,1531.2001
40.558,ST,1531.1000
40.845,ST,1531.2001
41.133,US,1531.5000
41.418,US,1531.2999
41.706,US,1530.2000
41.993,US,1530.7000
42.279,US,1530.4000
42.566,US,1530.3000
42.854,US,1530.0000
43.140,US,1529.7001
43.427,US,1529.6000
43.715,ST,1529.5000
44.002,US,1529.4000
44.288,US,1529.6000
44.575,US,1530.1000
44.863,US,1530.6000
45.148,US,1531.1000
45.436,US,1531.4000
45.724,US,1531.6000
46.009,US,1531.7001
46.297,US,1531.4000
46.584,US,1530.7999
46.869,US,1526.8000
47.157,US,1527.6001
47.444,US,1527.7999
47.730,US,1528.1000
48.017,US,1533.2001
48.305,US,1533.7000
48.590,US,1534.5000
48.878,US,1534.5000
49.166,US,1534.8000
49.451,US,1535.0000
49.739,US,1532.3000
50.026,US,1532.4000
50.312,US,1533.0000
50.599,US,1533.9000
50.887,US,1534.4000
51.173,US,1534.1001
51.460,US,1532.6001
51.748,US,1532.6001
52.033,US,1533.0000
52.321,US,1533.1000
52.608,ST,1533.1000
52.894,US,1532.9000
53.182,US,1532.6001
53.469,US,1532.5000
53.755,US,1532.1000
54.042,US,1531.5000
54.330,US,1531.1000
54.615,US,1530.7999
54.903,ST,1530.9000
55.190,ST,1530.9000
55.478,US,1530.6000
55.763,US,1526.7001
56.051,US,1527.1000
56.338,US,1528.3999
56.624,US,1528.8000
56.911,US,1529.5000
57.199,US,1530.1000
57.484,US,1528.3000
57.772,US,1527.7000
58.059,US,1527.9000
58.345,US,1528.2001
58.633,US,1528.8000
58.920,US,1528.8000
59.205,US,1526.7001
59.493,US,1528.2001
59.781,US,1528.9000
60.066,US,1529.4000
60.354,US,1529.8000
60.641,US,1530.0000
60.927,US,1526.1001
61.214,US,1526.4000
61.502,US,1526.6000
61.787,US,1527.3000
62.075,US,1527.5000
62.363,US,1527.6001
62.648,US,1528.0000
62.936,US,1528.2001
63.223,US,1528.3999
63.509,ST,1528.3000
63.797,US,1528.2001
64.084,ST,1528.2001
64.370,ST,1528.2001
64.657,ST,1528.2001
64.945,ST,1528.3000
65.231,ST,1528.3000
65.518,US,1529.2000
65.805,US,1529.5000
66.093,US,1529.6000
66.378,US,1529.7001
66.666,ST,1529.6000
66.953,ST,1529.7001
67.239,US,1529.5000
67.527,US,1529.5000
67.814,US,1533.8000
68.099,US,1531.0000
68.387,US,1529.8000
68.674,US,1528.3999
68.960,US,1528.7000
69.247,US,1533.2001
69.535,US,1530.6000
69.820,US,1530.4000
70.108,US,1530.6000
70.396,US,1526.1001
70.681,US,1528.2001
70.969,US,1528.3000
71.256,ST,1528.3000
71.542,US,1528.8000
71.829,US,1529.4000
72.117,US,1529.7001
72.403,ST,1529.6000
72.690,US,1529.5000
72.978,US,1525.8000
73.263,US,1526.2001
73.551,US,1526.2999
73.838,US,1526.6000
74.124,US,1526.9000
74.412,US,1527.3000
74.699,US,1527.4000
74.985,US,1527.6001
75.272,US,1527.7000
75.560,US,1527.5000
75.845,US,1527.1000
76.133,US,1526.9000
76.420,US,1527.6001
76.706,US,1522.9000
76.993,US,1524.2999
77.281,US,1524.6000
77.568,US,1525.3000
77.854,US,1525.3000
78.141,US,1524.7999
78.429,US,1524.8999
78.715,US,1525.2000
79.002,US,1525.7000
79.290,US,1526.0000
79.575,US,1526.5000
79.863,US,1527.1000
80.151,US,1527.6001
80.436,US,1528.0000
80.724,US,1528.3000
81.011,US,1528.6000
81.296,US,1528.6000
81.584,US,1527.0000
81.871,US,1531.9000
82.157,US,1530.0000
82.444,US,1529.2999
82.732,US,1529.2000
83.018,US,1528.7000
83.305,US,1528.2001
83.593,US,1528.0000
83.878,ST,1528.0000
84.166,US,1527.7000
84.454,US,1527.6001
84.739,US,1527.7999
85.027,US,1528.0000
85.314,US,1528.1000
85.600,ST,1528.1000
85.887,ST,1528.1000
86.175,ST,1528.0000
86.460,US,1530.7000
86.747,US,1529.0000
87.035,US,1528.3999
87.321,US,1527.7000
87.608,US,1527.0000
87.896,US,1526.8000
88.181,US,1528.6000
88.469,US,1528.2001
88.756,US,1527.3000
89.044,US,1526.9000
89.329,US,1527.2000
89.617,US,1527.3000
89.905,US,1527.4000
