window,t_ms,status,mg
A_holding,48,US,1529.4
A_holding,332,US,1530.2
A_holding,619,US,1534.6
A_holding,907,US,1535.2
A_holding,1193,US,1534.4
A_holding,1480,US,1532.3
A_holding,1768,US,1532.3
A_holding,2053,US,1531.5
A_holding,2341,US,1531.2999
A_holding,2628,US,1531.6
A_holding,2914,US,1531.8
A_holding,3202,ST,1531.7001
A_holding,3489,ST,1531.6
A_holding,3775,US,1531.8
A_holding,4062,US,1531.9
A_holding,4350,ST,1531.9
A_holding,4635,US,1534.2999
A_holding,4923,US,1534.2
A_holding,5210,US,1533.8
A_holding,5496,US,1533.6
A_holding,5783,US,1533.2001
A_holding,6071,US,1533.4
A_holding,6357,ST,1533.3
A_holding,6644,ST,1533.4
A_holding,6932,ST,1533.4
A_holding,7219,ST,1533.4
A_holding,7505,ST,1533.4
A_holding,7792,US,1534.0
A_holding,8080,US,1534.1001
A_holding,8365,US,1532.0
A_holding,8653,US,1533.7
A_holding,8940,US,1534.1001
A_holding,9226,US,1534.2
A_holding,9513,ST,1534.2999
A_holding,9801,US,1533.9
A_holding,10086,US,1531.2001
A_holding,10374,US,1531.2999
A_holding,10661,US,1531.8
A_holding,10947,US,1535.4
A_holding,11234,US,1536.9
A_holding,11522,US,1536.2999
A_holding,11808,US,1535.7999
A_holding,12095,US,1532.4
A_holding,12383,US,1531.4
A_holding,12668,US,1530.9
A_holding,12956,US,1531.5
A_holding,13243,US,1532.9
A_holding,13529,US,1532.6001
A_holding,13816,US,1532.5
A_holding,14104,ST,1532.5
A_holding,14389,US,1532.9
A_holding,14677,US,1537.3
A_holding,14964,US,1535.1
A_holding,15250,US,1529.8999
A_holding,15537,US,1527.7999
A_holding,15825,US,1531.6
A_holding,16111,US,1531.2999
A_holding,16398,US,1529.7001
A_holding,16686,US,1532.0
A_holding,16971,US,1531.4
A_holding,17259,US,1531.0
A_holding,17547,US,1530.7
A_holding,17832,US,1530.4
A_holding,18120,US,1530.2
A_holding,18407,ST,1530.2
A_holding,18695,US,1530.0
A_holding,18980,ST,1530.1
A_holding,19268,US,1530.4
A_holding,19556,US,1530.9
A_holding,19841,US,1531.5
A_holding,20129,US,1531.8
A_holding,20416,US,1531.9
A_holding,20702,ST,1532.0
A_holding,20989,US,1532.1
A_holding,21277,US,1531.8
A_holding,21562,US,1531.5
A_holding,21850,US,1531.2001
A_holding,22137,US,1531.5
A_holding,22423,US,1531.8
A_holding,22711,US,1531.9
A_holding,22998,US,1532.5
A_holding,23284,US,1533.2001
A_holding,23571,US,1533.6
A_holding,23858,US,1530.7999
A_holding,24144,US,1530.3
A_holding,24431,US,1530.4
A_holding,24719,US,1534.1001
A_holding,25004,US,1532.0
A_holding,25292,US,1532.1
A_holding,25580,US,1531.9
A_holding,25865,US,1531.8
A_holding,26153,US,1532.0
A_holding,26440,US,1532.2
A_holding,26726,ST,1532.2
A_holding,27014,ST,1532.2
A_holding,27301,ST,1532.2
