t_s,status,mg
0.043,US,48.7
0.329,US,49.8
0.616,US,54.1
0.903,US,56.1
1.189,US,53.800004
1.476,US,50.5
1.764,US,52.2
2.050,US,52.3
2.337,US,51.5
2.625,US,46.2
2.910,US,48.5
3.198,US,51.600004
3.485,US,53.2
3.771,US,53.800004
4.059,US,53.100004
4.346,US,53.2
4.632,US,53.0
4.919,US,52.6
5.207,US,52.1
5.494,US,42.0
5.780,US,40.3
6.067,US,46.7
6.355,US,50.7
6.640,US,53.800004
6.928,US,53.3
7.215,US,52.5
7.501,US,52.3
7.789,US,52.1
8.076,US,51.600004
8.362,US,48.5
8.649,US,52.7
8.937,US,47.1
9.222,US,41.2
9.510,US,50.9
9.797,US,49.899996
10.083,US,48.6
10.370,US,47.899996
10.658,US,48.5
10.943,US,52.5
11.231,US,52.3
11.519,US,52.7
11.804,US,53.100004
12.092,US,52.8
12.379,US,52.7
12.665,US,52.9
12.952,US,45.5
13.240,US,45.1
13.525,US,49.8
13.813,US,49.5
14.100,US,48.4
14.386,US,49.0
14.674,US,49.0
14.961,ST,49.100004
15.247,US,49.199996
15.534,US,44.100004
15.822,US,48.1
16.107,US,49.4
16.395,US,46.8
16.682,US,41.3
16.970,US,46.9
17.255,US,51.199996
17.543,US,50.3
17.830,US,49.7
18.116,US,49.199996
18.404,US,49.199996
18.691,ST,49.199996
18.977,ST,49.199996
19.264,US,49.600004
19.552,US,52.3
19.837,US,51.100004
20.125,US,47.4
20.412,US,48.7
20.698,US,48.9
20.985,US,49.100004
21.273,US,49.199996
21.559,US,49.0
21.846,ST,49.100004
22.134,US,49.4
22.420,US,49.4
22.706,US,47.2
22.994,US,49.600004
23.280,US,49.0
23.567,US,48.5
23.855,US,49.0
24.140,US,49.4
24.428,US,49.4
24.716,ST,49.4
25.001,ST,49.3
25.289,US,49.100004
25.576,ST,49.100004
25.862,US,49.0
26.149,ST,49.100004
26.437,ST,49.100004
26.723,ST,49.199996
27.010,US,44.399996
27.297,US,48.9
27.585,US,51.5
27.870,US,52.1
28.158,US,50.7
28.445,US,48.1
28.731,US,50.4
29.018,US,52.2
29.306,US,42.399996
29.592,US,46.100004
29.879,US,50.5
30.167,US,51.100004
30.452,US,51.7
30.740,US,50.7
31.027,US,47.2
31.313,US,47.3
31.600,US,47.8
31.888,US,48.0
32.174,ST,47.899996
32.461,US,48.300004
32.749,US,48.300004
33.034,US,47.1
33.321,US,48.8
33.609,US,44.399996
33.895,US,47.600004
34.182,US,47.5
34.470,US,47.3
34.755,US,47.899996
35.043,US,51.399996
35.330,US,51.7
35.616,US,52.3
35.903,US,47.7
36.191,US,44.0
36.477,US,44.8
36.764,US,48.300004
37.052,US,50.9
37.337,US,52.6
37.625,US,52.0
37.912,US,52.2
38.198,US,52.2
38.485,US,48.7
38.773,US,49.5
39.060,US,53.800004
39.346,US,52.5
39.633,US,52.4
39.921,ST,52.3
40.207,US,52.7
40.494,US,54.8
40.782,US,53.100004
41.067,US,49.899996
41.355,US,49.0
41.642,US,48.6
41.928,US,49.199996
42.215,US,52.6
42.503,US,53.3
42.788,US,53.7
43.076,ST,53.6
43.364,US,53.3
43.649,US,49.199996
43.937,US,49.3
44.224,US,50.6
44.510,US,49.899996
44.797,US,49.7
45.085,US,49.5
45.371,ST,49.600004
45.658,US,49.899996
45.946,US,49.899996
46.231,US,45.4
46.518,US,49.4
46.806,US,52.1
47.092,US,50.4
47.379,US,50.8
47.667,US,51.3
47.952,US,51.7
48.240,US,51.5
48.527,US,49.4
48.813,US,49.899996
49.100,US,48.8
49.388,US,48.1
49.673,US,51.100004
49.961,US,48.8
50.248,US,47.4
50.536,US,46.0
50.822,US,45.600004
51.109,US,46.0
51.396,US,50.4
51.682,US,51.199996
51.970,US,49.8
52.257,US,50.0
52.543,US,50.7
52.830,US,51.3
53.118,US,51.800004
53.404,US,52.1
53.691,US,52.1
53.979,US,49.600004
54.264,US,48.5
54.552,US,48.1
54.839,US,48.6
55.125,US,51.899996
55.412,US,52.3
55.700,US,51.0
55.985,US,50.9
56.273,ST,50.9
56.561,US,51.3
56.846,US,51.7
57.134,US,52.2
57.421,US,52.5
57.707,US,53.0
57.994,US,52.9
58.281,US,42.6
58.567,US,39.8
58.855,US,39.5
59.142,US,49.7
59.428,US,52.8
59.715,US,51.100004
60.003,US,51.5
60.288,US,55.399996
60.576,US,54.8
60.864,US,53.6
61.149,US,53.2
61.437,ST,53.3
61.724,US,53.5
62.012,ST,53.5
62.297,US,49.5
62.585,US,49.3
62.872,US,50.2
63.158,US,50.4
63.445,US,50.6
63.733,ST,50.6
64.019,US,50.9
64.306,US,50.9
64.594,ST,51.0
64.879,ST,51.0
65.167,US,50.8
65.455,US,50.7
65.740,US,50.1
66.027,US,44.7
66.315,US,45.3
66.600,US,51.800004
66.888,US,50.1
67.175,US,50.4
67.461,US,53.100004
67.748,US,52.0
68.036,US,51.800004
68.322,US,52.2
68.609,US,52.3
68.896,US,48.6
69.182,US,49.7
69.470,US,50.4
69.757,US,49.5
70.043,US,49.8
70.330,US,52.5
70.618,US,50.3
70.903,US,47.1
71.191,US,48.300004
71.478,US,49.100004
71.764,US,52.8
72.051,US,50.7
72.339,US,49.7
72.627,US,50.0
72.912,US,50.1
73.200,ST,50.1
73.487,US,50.4
73.773,US,50.1
74.060,US,44.6
74.348,US,47.4
74.633,US,51.0
74.921,US,49.8
75.209,US,50.2
75.494,US,50.2
75.782,US,38.600004
76.069,US,34.0
76.354,US,48.9
76.642,US,51.899996
76.930,US,45.5
77.215,US,41.9
77.503,US,48.6
77.790,US,49.199996
78.076,US,49.0
78.363,US,47.8
78.651,US,39.3
78.936,US,47.600004
79.224,US,54.8
79.512,US,53.3
79.797,US,53.399996
80.085,US,52.8
80.373,US,52.8
80.658,US,53.0
80.945,US,48.2
81.233,US,47.899996
81.519,US,48.6
81.806,US,49.100004
82.093,US,44.8
82.379,US,36.3
82.666,US,35.6
82.954,US,44.6
83.239,US,51.5
83.527,US,51.399996
83.815,US,52.2
84.102,US,52.6
84.388,US,47.899996
84.675,US,47.7
84.963,US,46.300004
85.248,US,46.8
85.536,US,54.0
85.823,US,50.1
86.109,US,48.6
86.397,US,49.4
86.684,US,50.6
86.970,US,50.6
87.257,US,50.5
87.545,US,50.8
87.831,ST,50.7
88.118,US,50.6
88.406,US,50.4
88.691,US,44.8
88.978,US,46.8
89.266,US,52.9
89.551,US,51.800004
89.839,US,52.4
90.127,US,53.0
90.412,US,52.4
90.700,US,46.2
90.987,US,44.5
91.273,US,47.0
91.560,US,50.8
91.848,US,51.800004
92.133,US,50.7
92.421,US,48.4
92.709,US,50.1
92.994,US,49.899996
93.282,US,50.1
93.569,US,50.3
93.855,ST,50.3
94.142,US,41.2
94.430,US,43.4
94.715,US,51.5
95.003,US,49.3
95.290,US,44.100004
95.578,US,44.3
95.863,US,44.0
96.151,US,50.3
96.438,US,50.2
96.724,US,50.9
97.012,US,50.7
97.299,US,50.0
97.585,US,49.7
97.872,ST,49.8
98.160,US,49.5
98.445,US,36.7
98.733,US,47.1
99.020,US,50.7
99.306,US,52.8
99.593,US,52.0
99.881,US,46.5
100.166,US,45.8
100.454,US,46.100004
100.742,US,46.6
101.027,US,51.0
101.315,US,52.5
101.602,US,46.8
101.888,US,48.8
102.175,US,51.0
102.463,US,49.899996
102.748,US,54.2
103.036,US,51.7
103.323,US,49.600004
103.609,US,51.3
103.897,US,53.399996
104.184,US,52.1
104.470,US,52.7
104.757,US,52.7
105.045,US,52.4
105.330,US,52.7
105.618,US,52.7
105.906,ST,52.8
106.191,US,52.9
106.479,ST,52.8
106.766,US,53.2
107.054,US,53.6
107.339,US,50.0
107.627,US,47.1
107.914,US,45.699996
108.200,US,46.7
108.487,US,50.7
108.775,US,50.9
109.060,US,51.399996
109.348,US,55.8
109.635,US,57.100004
109.921,US,55.8
110.208,US,52.9
110.496,US,53.9
110.781,US,54.5
111.069,US,54.4
111.357,US,54.0
111.642,US,53.6
111.930,US,53.5
112.217,US,53.399996
112.503,US,53.100004
112.791,US,52.8
113.078,ST,52.8
113.364,ST,52.7
113.651,US,49.7
113.938,US,50.5
114.224,US,45.5
114.512,US,48.300004
114.799,US,48.5
115.085,US,48.4
115.372,US,54.4
115.660,US,53.3
115.945,US,51.899996
116.233,US,49.3
116.520,US,49.4
116.806,US,50.5
117.093,US,50.7
117.381,US,48.5
117.668,US,51.100004
117.954,US,55.0
118.241,US,53.3
118.529,US,51.7
118.815,US,50.1
119.102,US,43.2
119.390,US,45.0
119.675,US,52.2
119.963,US,54.5
120.250,US,52.9
120.536,US,53.100004
120.825,US,52.5
121.111,US,52.1
121.397,US,51.899996
121.684,US,46.2
121.971,US,49.7
122.257,US,51.199996
122.545,US,50.3
122.832,US,50.4
123.118,US,50.5
123.405,US,50.8
123.693,US,47.3
123.978,US,49.100004
124.266,US,48.5
124.553,US,48.8
124.839,US,52.7
125.126,US,52.5
125.414,US,47.0
125.699,US,40.600004
125.987,US,46.5
126.275,US,52.0
126.560,US,51.0
126.848,US,50.3
127.135,US,51.100004
127.421,US,51.800004
127.708,US,51.899996
127.996,US,51.600004
128.281,US,47.4
128.569,US,48.6
128.857,US,47.4
129.144,US,39.0
129.430,US,47.7
129.717,US,50.1
130.005,US,50.3
130.290,US,53.6
130.578,US,50.7
130.865,US,48.7
131.151,US,48.0
131.438,US,52.9
131.726,US,53.2
132.011,US,52.8
132.299,US,48.300004
132.586,US,48.8
132.872,US,47.5
133.160,US,45.0
133.447,US,50.7
133.733,US,49.5
134.020,US,51.3
134.308,US,51.800004
134.593,US,52.3
134.881,US,52.4
135.169,US,52.3
135.454,US,52.5
135.742,ST,52.4
136.029,US,52.7
136.314,US,55.100004
136.602,US,54.6
136.890,US,54.3
137.175,US,53.9
137.463,US,53.5
137.750,US,49.4
138.036,US,49.3
138.323,US,49.8
138.611,US,50.6
138.897,US,50.9
139.184,US,51.3
139.471,US,46.0
139.757,US,37.7
140.045,US,44.0
140.332,US,48.1
140.620,US,51.199996
140.905,US,49.3
141.193,US,49.199996
141.480,US,49.899996
141.766,US,49.899996
142.053,US,50.1
142.341,US,50.5
142.627,US,50.6
142.914,US,50.8
143.201,US,53.6
143.487,US,50.6
143.774,US,49.7
144.062,US,50.2
144.348,US,49.7
144.635,US,45.8
144.923,US,45.899996
145.209,US,38.4
145.496,US,35.6
145.783,US,44.8
146.069,US,54.2
146.357,US,53.7
146.644,US,51.899996
146.930,US,52.8
147.217,US,53.0
147.505,US,48.9
147.790,US,51.7
148.078,US,52.5
148.365,US,51.5
148.651,US,51.0
148.938,US,51.0
149.226,US,51.199996
149.512,US,51.7
149.799,US,51.800004
150.087,ST,51.800004
150.373,US,52.1
150.660,US,52.6
150.947,US,52.8
151.235,ST,52.7
151.520,US,52.4
151.808,US,52.4
152.096,US,51.899996
152.382,US,49.4
152.668,US,51.199996
152.956,US,42.5
153.241,US,49.199996
153.529,US,50.5
153.816,US,50.5
154.102,US,50.1
154.390,US,50.4
154.677,US,50.8
154.963,US,47.3
155.250,US,49.899996
155.538,US,53.2
155.823,US,55.7
156.111,US,52.9
156.398,US,50.1
156.684,US,50.9
156.972,US,50.7
157.259,US,51.199996
157.545,US,55.7
157.832,US,52.1
158.119,US,49.5
158.405,US,54.3
158.693,US,53.0
158.980,US,48.4
159.266,US,51.800004
159.553,US,53.0
159.841,US,51.5
160.126,US,52.3
160.414,US,57.6
160.701,US,54.9
160.987,US,50.8
161.275,US,41.3
161.562,US,42.9
161.848,US,44.399996
162.135,US,49.4
162.423,US,51.0
162.710,US,49.7
162.996,US,50.3
163.283,US,54.5
163.571,US,47.600004
163.857,US,46.6
164.144,US,48.5
164.431,US,53.7
164.717,US,54.3
165.004,US,53.2
165.292,US,52.5
165.578,US,52.9
165.865,US,53.2
166.153,US,53.2
166.439,US,52.9
166.726,US,52.7
167.013,US,58.4
167.299,US,57.6
167.586,US,54.0
167.874,US,53.9
168.160,US,54.6
168.447,US,53.6
168.734,US,50.7
169.020,US,52.1
169.308,US,52.0
169.595,US,46.9
169.881,US,51.600004
170.168,US,56.3
170.456,US,56.3
170.741,US,54.9
171.029,US,54.5
171.316,US,48.0
171.602,US,51.7
171.889,US,55.100004
172.177,US,56.1
172.463,US,54.8
172.750,US,54.0
173.038,US,54.4
173.323,US,54.4
173.611,US,48.9
173.898,US,50.2
174.186,US,50.9
174.471,US,51.600004
174.759,US,52.2
175.047,US,53.0
175.332,US,53.100004
175.620,ST,53.2
175.907,US,53.5
176.193,US,53.7
176.480,US,53.5
176.768,US,53.3
177.054,US,52.9
177.341,US,52.9
177.629,ST,52.9
177.914,US,50.0
178.201,US,52.4
178.489,US,52.5
178.775,US,52.7
179.062,US,48.7
179.349,US,47.7
179.635,US,48.1
179.923,US,54.8
180.210,US,54.2
180.496,US,54.699996
180.783,US,55.0
181.071,US,55.100004
181.356,US,48.8
181.644,US,45.8
181.931,US,49.899996
182.217,US,54.9
182.505,US,50.4
182.792,US,45.1
183.078,US,51.199996
183.365,US,46.7
183.653,US,44.3
183.938,US,52.8
184.226,US,55.8
184.513,US,53.6
184.799,US,52.8
185.086,US,53.2
185.374,US,56.699996
185.661,US,56.4
185.947,US,56.3
186.235,US,55.399996
186.522,US,54.699996
186.808,US,47.3
187.095,US,51.100004
187.383,US,50.6
187.668,US,50.8
187.956,US,55.0
188.243,US,54.4
188.529,US,54.5
188.816,US,54.3
189.104,US,54.1
189.390,US,54.0
189.677,US,48.4
189.964,US,48.9
190.250,US,52.8
190.538,US,50.0
190.825,US,50.7
191.111,US,56.1
191.398,US,50.3
191.686,US,38.7
191.971,US,47.4
192.259,US,54.2
192.546,US,53.7
192.832,US,55.6
193.120,US,55.6
193.407,US,55.399996
193.693,US,54.9
193.980,US,54.6
194.268,US,54.4
194.553,US,46.399996
194.841,US,47.8
195.128,US,52.1
195.414,US,51.3
195.701,US,51.5
195.989,US,52.2
196.276,US,49.0
196.562,US,53.399996
196.849,US,56.4
197.137,US,45.8
197.422,US,44.9
197.710,US,51.0
197.998,US,50.0
198.283,US,52.8
198.571,US,54.0
198.858,US,53.2
199.144,US,50.4
199.431,US,51.800004
199.719,US,55.0
200.005,US,54.0
200.292,US,54.699996
200.580,US,55.100004
200.866,US,54.8
201.153,US,54.8
201.441,ST,54.8
201.726,ST,54.9
202.014,US,55.0
202.301,US,50.5
202.586,US,46.5
202.874,US,51.600004
203.161,US,53.3
203.447,US,52.9
203.734,US,49.5
204.022,US,52.2
204.308,US,51.0
204.595,US,49.0
204.883,US,54.2
205.168,US,51.399996
205.456,US,50.7
205.743,US,51.899996
206.029,US,52.6
206.317,US,52.0
206.604,US,51.7
206.890,ST,51.800004
207.177,US,52.0
207.464,US,47.7
207.752,US,51.600004
208.038,US,52.7
208.325,US,52.1
208.613,US,52.2
208.898,US,52.8
209.186,US,53.2
209.473,US,53.100004
209.759,US,53.0
210.047,ST,53.100004
210.334,US,53.2
210.620,US,53.5
210.907,US,53.5
211.195,US,50.9
211.480,US,48.4
211.768,US,52.0
212.055,US,53.5
212.341,US,54.2
212.628,US,54.6
212.916,US,54.2
213.201,US,54.1
213.489,US,53.800004
213.777,US,53.800004
214.063,US,54.0
214.350,US,54.0
214.637,US,53.7
214.923,US,53.6
215.210,US,53.399996
215.498,US,53.7
215.784,US,53.800004
216.071,US,49.8
216.358,US,53.2
216.644,US,52.6
216.931,US,40.199996
217.219,US,50.4
217.504,US,53.399996
217.792,US,53.6
218.080,US,53.100004
218.366,US,53.399996
218.653,US,53.399996
218.940,US,53.2
219.228,US,56.600004
219.514,US,54.4
219.801,US,49.7
220.088,US,47.4
220.374,US,45.2
220.661,US,46.0
220.949,US,49.899996
221.235,US,46.9
221.522,US,44.3
221.810,US,50.5
222.095,US,50.7
222.383,US,50.6
222.670,US,43.9
222.956,US,49.0
223.243,US,54.2
223.531,US,52.4
223.816,US,49.8
224.104,US,50.5
224.391,US,50.8
224.677,US,50.6
224.964,US,44.3
225.252,US,48.8
225.538,US,51.100004
225.825,US,55.6
226.113,US,56.5
226.398,US,55.9
226.686,US,52.5
226.973,US,47.4
227.259,US,44.7
227.546,US,50.7
227.834,US,55.5
228.119,US,54.4
228.407,US,53.9
228.695,US,55.0
228.980,US,55.0
229.267,US,50.0
229.555,US,49.899996
229.843,US,51.800004
230.129,US,54.2
230.416,US,52.6
230.703,US,52.2
230.989,US,52.6
231.277,US,52.6
231.564,US,52.2
231.849,US,42.800004
232.137,US,47.8
232.425,US,57.100004
232.711,US,57.8
232.998,US,54.699996
233.285,US,53.0
233.571,US,47.5
233.858,US,44.0
234.146,US,46.8
234.431,US,50.1
234.719,US,52.5
235.006,US,52.7
235.292,US,53.6
235.580,US,54.1
235.867,US,54.1
236.153,US,54.5
236.440,US,54.6
236.728,US,47.1
237.013,US,40.600004
237.301,US,17.699998
237.588,US,1.4
237.874,US,13.0
238.161,US,35.0
238.449,US,49.0
238.734,US,46.7
239.022,US,50.2
239.310,US,43.8
239.595,US,42.9
239.883,US,47.0
