t_s,status,mg
0.056,ST,-1.0000
0.343,ST,-1.0000
0.631,ST,-1.1000
0.916,ST,-1.1000
1.204,ST,-1.1000
1.491,ST,-1.1000
1.777,ST,-1.1000
2.064,ST,-1.2000
2.352,ST,-1.2000
2.640,ST,-1.3000
2.925,US,-1.6000
3.212,ST,-1.6000
3.500,ST,-1.7000
3.786,US,-1.8000
4.073,ST,-1.8000
4.361,ST,-1.8000
4.646,ST,-1.8000
4.934,ST,-1.8000
5.222,ST,-1.8000
5.507,ST,-1.8000
5.795,ST,-1.8000
6.082,ST,-1.8000
6.368,ST,-1.8000
6.655,ST,-1.8000
6.943,ST,-1.8000
7.229,ST,-1.8000
7.516,ST,-1.8000
7.804,ST,-1.9000
8.089,ST,-1.9000
8.377,ST,-1.9000
8.665,ST,-1.9000
8.950,ST,-1.9000
9.238,ST,-1.9000
9.525,ST,-1.9000
9.811,ST,-1.9000
10.098,ST,-1.9000
10.386,ST,-1.9000
10.671,ST,-1.9000
10.959,ST,-1.8000
11.246,ST,-1.8000
11.532,ST,-1.8000
11.820,ST,-1.8000
12.107,ST,-1.8000
12.395,ST,-1.8000
12.680,ST,-1.8000
12.968,ST,-1.8000
13.255,ST,-1.8000
13.540,US,-2.1000
13.827,US,-2.2000
14.115,US,-2.3000
14.401,ST,-2.3000
14.688,ST,-2.2000
14.976,ST,-2.2000
15.261,ST,-2.2000
15.549,ST,-2.2000
15.837,ST,-2.2000
16.122,ST,-2.2000
16.410,ST,-2.2000
16.697,ST,-2.2000
16.983,ST,-2.2000
17.270,ST,-2.3000
17.557,US,-2.6000
17.843,US,-2.8000
18.130,US,-2.9000
18.418,US,-3.1000
18.704,US,-3.2000
18.991,US,-3.4000
19.279,US,-3.6000
19.564,US,-3.8000
19.852,US,-4.1000
20.139,US,-4.3000
20.425,US,-4.5000
20.712,US,-4.7000
21.000,US,-4.9000
21.285,US,-5.1000
21.573,US,-5.2000
21.860,US,-5.3000
22.148,US,-5.5000
22.433,US,-5.6000
22.721,ST,-5.6000
23.009,ST,-5.6000
23.294,ST,-5.6000
23.582,ST,-5.6000
23.869,ST,-5.6000
24.155,ST,-5.5000
24.442,ST,-5.5000
24.730,ST,-5.5000
25.016,ST,-5.4000
25.303,ST,-5.4000
25.590,US,-5.1000
25.876,US,-5.0000
26.164,ST,-5.0000
26.451,ST,-4.9000
26.737,US,-4.8000
27.024,US,-4.7000
27.312,ST,-4.8000
27.597,ST,-4.8000
27.885,ST,-4.8000
28.173,ST,-4.8000
28.458,ST,-4.8000
28.746,ST,-4.8000
29.033,ST,-4.8000
29.319,ST,-4.8000
29.606,ST,-4.8000
29.894,ST,-4.8000
30.180,ST,-4.8000
30.467,US,-5.1000
30.754,US,-5.3000
31.042,US,-5.4000
31.327,US,-5.5000
31.615,US,-5.7000
31.902,US,-6.0000
32.188,US,-6.2000
32.475,US,-6.4000
32.763,US,-6.6000
33.048,US,-6.7000
33.336,US,-6.8000
33.624,ST,-6.8000
33.909,ST,-6.8000
34.197,ST,-6.7000
34.484,ST,-6.6000
34.770,ST,-6.6000
35.057,ST,-6.5000
35.345,US,-6.2000
35.630,US,-6.1000
35.918,ST,-6.1000
36.206,ST,-6.1000
36.491,ST,-6.0000
36.779,ST,-6.0000
37.066,ST,-5.9000
37.352,ST,-5.9000
37.639,ST,-5.9000
37.927,ST,-5.8000
38.213,ST,-5.8000
38.500,ST,-5.8000
38.788,ST,-5.8000
39.073,ST,-5.8000
39.361,ST,-5.8000
39.649,ST,-5.8000
39.934,ST,-5.7000
40.221,US,-4.9000
40.509,US,-4.5000
40.796,US,-4.2000
41.082,US,-3.8000
41.369,US,-3.6000
41.657,ST,-3.7000
41.942,ST,-3.7000
42.230,ST,-3.6000
42.517,ST,-3.6000
42.803,ST,-3.6000
43.090,ST,-3.7000
43.378,ST,-3.6000
43.664,ST,-3.6000
43.951,ST,-3.6000
44.239,ST,-3.6000
44.524,ST,-3.6000
44.812,ST,-3.6000
45.100,ST,-3.7000
45.385,ST,-3.7000
45.673,ST,-3.7000
45.961,ST,-3.7000
46.246,ST,-3.7000
46.534,ST,-3.7000
46.821,ST,-3.7000
47.107,ST,-3.7000
47.395,ST,-3.7000
47.682,ST,-3.8000
47.968,ST,-3.8000
48.254,US,-4.4000
48.542,US,-4.5000
48.827,US,-4.6000
49.115,US,-4.8000
49.402,ST,-4.8000
49.688,ST,-4.8000
49.975,ST,-4.9000
50.263,ST,-4.9000
50.550,ST,-4.9000
50.836,ST,-4.9000
51.124,ST,-4.9000
51.411,ST,-5.0000
51.697,ST,-5.0000
51.984,ST,-5.0000
52.272,ST,-5.0000
52.558,ST,-5.1000
52.845,ST,-5.1000
53.133,ST,-5.1000
53.418,ST,-5.1000
53.706,ST,-5.1000
53.994,ST,-5.1000
54.279,ST,-5.1000
54.567,ST,-5.1000
54.854,ST,-5.2000
55.140,ST,-5.2000
55.427,ST,-5.2000
55.715,ST,-5.3000
56.000,US,-5.7000
56.287,US,-5.8000
56.576,ST,-5.7000
56.861,US,-5.6000
57.148,ST,-5.6000
57.436,ST,-5.5000
57.721,ST,-5.5000
58.009,ST,-5.5000
58.296,ST,-5.5000
58.582,ST,-5.5000
58.869,ST,-5.6000
59.156,US,-6.0000
59.444,US,-5.9000
59.730,US,-5.8000
60.017,ST,-5.8000
60.305,ST,-5.8000
60.590,ST,-5.7000
60.878,ST,-5.7000
61.166,ST,-5.7000
61.451,ST,-5.7000
61.739,ST,-5.8000
62.026,ST,-5.8000
62.312,ST,-5.8000
62.599,ST,-5.8000
62.887,ST,-5.8000
63.173,ST,-5.8000
63.460,ST,-5.7000
63.748,ST,-5.7000
64.034,ST,-5.7000
64.321,ST,-5.7000
64.609,ST,-5.7000
64.894,ST,-5.6000
65.182,ST,-5.6000
65.469,ST,-5.6000
65.755,ST,-5.6000
66.042,ST,-5.5000
66.330,ST,-5.5000
66.616,ST,-5.4000
66.903,ST,-5.4000
67.190,US,-4.8000
67.475,ST,-4.7000
67.763,ST,-4.7000
68.050,ST,-4.6000
68.336,ST,-4.5000
68.623,ST,-4.5000
68.911,ST,-4.6000
69.199,ST,-4.6000
69.484,ST,-4.6000
69.772,ST,-4.7000
70.059,ST,-4.7000
70.345,ST,-4.7000
70.633,ST,-4.7000
70.920,ST,-4.7000
71.206,ST,-4.7000
71.493,ST,-4.7000
71.781,ST,-4.7000
72.067,ST,-4.6000
72.354,ST,-4.6000
72.641,US,-4.2000
72.927,US,-4.1000
73.214,ST,-4.1000
73.502,ST,-4.1000
73.787,ST,-4.1000
74.075,ST,-4.1000
74.362,ST,-4.1000
74.648,ST,-4.0000
74.935,ST,-4.0000
75.223,ST,-4.0000
75.509,ST,-4.0000
75.796,US,-3.6000
76.083,US,-3.5000
76.369,ST,-3.4000
76.657,ST,-3.4000
76.944,ST,-3.5000
77.230,ST,-3.5000
77.517,ST,-3.5000
77.805,ST,-3.5000
78.090,ST,-3.5000
78.378,ST,-3.5000
78.665,ST,-3.5000
78.953,ST,-3.5000
79.239,ST,-3.5000
79.526,ST,-3.5000
79.814,ST,-3.5000
80.100,ST,-3.5000
80.387,ST,-3.5000
80.675,ST,-3.5000
80.959,US,-3.9000
81.247,US,-4.0000
81.535,ST,-4.0000
81.820,ST,-4.1000
82.108,ST,-4.2000
82.395,ST,-4.2000
82.681,ST,-4.3000
82.968,ST,-4.4000
83.256,ST,-4.5000
83.542,US,-4.6000
83.829,ST,-4.5000
84.117,ST,-4.5000
84.402,US,-4.7000
84.690,US,-4.8000
84.977,ST,-4.9000
85.263,ST,-4.9000
85.550,ST,-4.9000
85.838,ST,-5.0000
86.123,ST,-4.9000
86.411,ST,-4.9000
86.698,ST,-4.9000
86.984,ST,-4.9000
87.272,ST,-4.9000
87.559,ST,-4.9000
87.845,ST,-4.9000
88.132,ST,-4.9000
88.420,ST,-4.9000
88.708,ST,-4.9000
88.993,US,-5.3000
89.280,US,-5.4000
89.568,US,-5.5000
89.853,US,-5.6000
90.141,ST,-5.6000
90.428,ST,-5.5000
90.714,ST,-5.4000
91.001,ST,-5.3000
91.289,ST,-5.3000
91.574,US,-4.9000
91.862,US,-4.8000
92.150,US,-4.7000
92.435,ST,-4.7000
92.723,ST,-4.7000
93.010,ST,-4.7000
93.296,ST,-4.8000
93.583,ST,-4.8000
93.871,ST,-4.9000
94.156,ST,-4.9000
94.444,US,-5.1000
94.731,US,-5.1000
95.017,ST,-5.1000
95.305,ST,-5.1000
95.592,ST,-5.1000
95.878,ST,-5.1000
96.165,ST,-5.1000
96.453,ST,-5.1000
96.739,ST,-5.1000
97.026,ST,-5.1000
97.314,ST,-5.1000
97.602,ST,-5.1000
97.887,ST,-5.1000
98.175,ST,-5.1000
98.462,ST,-5.0000
98.748,ST,-5.0000
99.035,ST,-5.1000
99.323,ST,-5.1000
99.608,US,-5.5000
99.895,US,-5.6000
100.183,ST,-5.6000
100.468,ST,-5.6000
100.756,ST,-5.6000
101.043,ST,-5.6000
101.329,ST,-5.6000
101.617,ST,-5.6000
101.904,ST,-5.7000
102.190,ST,-5.7000
102.477,ST,-5.7000
102.764,US,-6.0000
103.050,US,-6.1000
103.338,ST,-6.0000
103.625,ST,-6.0000
103.911,ST,-6.0000
104.198,ST,-6.1000
104.486,ST,-6.1000
104.771,ST,-6.2000
105.059,ST,-6.2000
105.346,US,-6.6000
105.632,US,-6.7000
105.919,ST,-6.8000
106.207,ST,-6.9000
106.492,ST,-6.9000
106.780,ST,-7.0000
107.068,ST,-7.0000
107.355,ST,-6.9000
107.641,US,-6.8000
107.928,US,-6.7000
108.216,US,-6.2000
108.501,US,-5.9000
108.789,US,-5.7000
109.076,ST,-5.7000
109.362,ST,-5.8000
109.650,ST,-5.8000
109.937,ST,-5.8000
110.222,ST,-5.8000
110.510,ST,-5.7000
110.798,ST,-5.7000
111.083,US,-5.2000
111.371,US,-4.8000
111.658,US,-4.6000
111.944,US,-4.4000
112.231,US,-4.3000
112.519,ST,-4.2000
112.804,ST,-4.3000
113.092,ST,-4.4000
113.380,US,-4.5000
113.665,ST,-4.5000
113.953,ST,-4.5000
114.240,US,-4.7000
114.526,ST,-4.7000
114.813,ST,-4.8000
115.101,US,-4.9000
115.386,ST,-4.9000
115.674,ST,-5.0000
115.961,ST,-5.0000
116.247,ST,-5.1000
116.535,ST,-5.1000
116.822,ST,-5.1000
117.111,ST,-5.1000
117.396,ST,-5.1000
117.683,ST,-5.0000
117.971,ST,-5.0000
118.256,ST,-5.0000
118.544,ST,-5.1000
118.832,ST,-5.1000
119.117,ST,-5.1000
119.405,ST,-5.1000
119.692,ST,-5.1000
119.978,ST,-5.1000
120.265,ST,-5.1000
120.553,ST,-5.1000
120.838,ST,-5.1000
121.126,ST,-5.1000
121.414,ST,-5.1000
121.699,US,-5.6000
121.986,US,-5.8000
122.273,US,-5.9000
122.559,ST,-5.8000
122.846,ST,-5.8000
123.134,ST,-5.7000
123.419,US,-5.6000
123.707,ST,-5.5000
123.994,US,-5.3000
124.280,ST,-5.4000
124.567,ST,-5.4000
124.855,ST,-5.4000
125.141,ST,-5.4000
125.428,ST,-5.4000
125.716,ST,-5.5000
126.001,ST,-5.5000
126.289,ST,-5.5000
126.577,ST,-5.5000
126.864,ST,-5.5000
127.149,US,-5.9000
127.437,US,-6.0000
127.724,US,-6.2000
128.010,US,-6.2000
128.297,ST,-6.1000
128.585,US,-6.0000
128.871,ST,-6.0000
129.158,ST,-6.0000
129.446,ST,-5.9000
129.731,US,-5.6000
130.019,ST,-5.6000
130.306,ST,-5.7000
130.592,ST,-5.7000
130.879,ST,-5.7000
131.167,ST,-5.7000
131.453,ST,-5.7000
131.740,ST,-5.7000
132.028,ST,-5.7000
132.313,ST,-5.7000
132.601,ST,-5.7000
132.889,ST,-5.6000
133.174,US,-5.1000
133.461,US,-4.9000
133.749,US,-4.8000
134.034,ST,-4.7000
134.322,ST,-4.7000
134.609,ST,-4.7000
134.895,ST,-4.8000
135.182,US,-4.9000
135.470,US,-5.0000
135.758,US,-5.2000
136.043,US,-5.3000
136.331,US,-5.4000
136.618,US,-5.5000
136.904,US,-5.7000
137.191,US,-5.9000
137.479,US,-6.0000
137.764,US,-6.2000
138.052,US,-6.4000
138.339,US,-6.5000
138.625,US,-6.6000
138.912,ST,-6.5000
139.200,US,-6.4000
139.486,US,-6.3000
139.773,US,-6.2000
140.061,US,-5.9000
140.346,US,-5.7000
140.634,US,-5.5000
140.921,ST,-5.5000
141.207,ST,-5.5000
141.494,ST,-5.5000
141.782,ST,-5.5000
142.067,ST,-5.6000
142.355,ST,-5.6000
142.643,ST,-5.7000
142.929,ST,-5.7000
143.216,ST,-5.7000
143.503,ST,-5.8000
143.789,ST,-5.8000
144.077,ST,-5.8000
144.364,ST,-5.8000
144.650,ST,-5.8000
144.937,ST,-5.8000
145.225,ST,-5.7000
145.513,ST,-5.7000
145.799,ST,-5.7000
146.086,ST,-5.7000
146.373,ST,-5.7000
146.659,ST,-5.7000
146.945,US,-6.2000
147.233,US,-6.4000
147.519,US,-6.5000
147.806,US,-6.7000
148.094,US,-6.9000
148.379,US,-7.1000
148.667,US,-7.2000
148.954,US,-7.3000
149.240,US,-7.4000
149.528,US,-7.5000
149.815,ST,-7.5000
150.100,ST,-7.4000
150.388,ST,-7.4000
150.676,ST,-7.3000
150.961,ST,-7.3000
151.249,ST,-7.2000
151.536,ST,-7.2000
151.822,ST,-7.2000
152.110,ST,-7.2000
152.397,ST,-7.2000
152.683,ST,-7.2000
152.970,US,-7.7000
153.257,US,-7.9000
153.543,US,-8.1000
153.830,US,-8.3000
154.118,US,-8.4000
154.403,US,-8.6000
154.691,US,-8.7000
154.979,US,-8.8000
155.266,ST,-8.7000
155.552,US,-8.6000
155.839,ST,-8.6000
156.127,ST,-8.6000
156.412,ST,-8.6000
156.700,ST,-8.6000
156.988,ST,-8.5000
157.273,ST,-8.5000
157.561,ST,-8.5000
157.848,ST,-8.5000
158.134,ST,-8.4000
158.422,ST,-8.4000
158.709,ST,-8.4000
158.995,ST,-8.4000
159.282,ST,-8.4000
159.569,US,-9.0000
159.855,US,-9.2000
160.142,US,-9.3000
160.430,US,-9.5000
160.715,US,-9.6000
161.003,ST,-9.6000
161.290,ST,-9.6000
161.576,ST,-9.6000
161.864,ST,-9.5000
162.151,ST,-9.5000
162.437,ST,-9.5000
162.724,ST,-9.5000
163.012,ST,-9.5000
163.297,ST,-9.4000
163.585,US,-9.1000
163.872,ST,-9.0000
164.158,US,-8.9000
164.446,ST,-8.9000
164.733,ST,-8.9000
165.021,ST,-8.9000
165.306,ST,-8.9000
165.594,ST,-8.9000
165.881,ST,-8.9000
166.167,ST,-9.0000
166.455,ST,-9.0000
166.742,US,-9.4000
167.027,US,-9.5000
167.315,US,-9.6000
167.602,ST,-9.6000
167.888,ST,-9.6000
168.175,ST,-9.5000
168.463,ST,-9.5000
168.749,ST,-9.4000
169.036,US,-9.1000
169.324,US,-9.0000
169.609,ST,-9.0000
169.897,ST,-8.9000
170.184,ST,-8.8000
170.470,US,-8.7000
170.757,ST,-8.7000
171.045,ST,-8.7000
171.330,ST,-8.7000
171.618,ST,-8.7000
171.906,ST,-8.7000
172.191,ST,-8.7000
172.479,ST,-8.7000
172.766,ST,-8.7000
173.052,ST,-8.6000
173.340,ST,-8.6000
173.627,ST,-8.6000
173.913,ST,-8.6000
174.200,ST,-8.6000
174.488,ST,-8.6000
174.775,US,-8.9000
175.060,US,-9.0000
175.348,ST,-9.1000
175.635,US,-9.3000
175.921,US,-9.5000
176.208,US,-9.6000
176.496,ST,-9.6000
176.782,ST,-9.6000
177.069,ST,-9.7000
177.357,US,-9.5000
177.642,US,-9.4000
177.930,US,-9.1000
178.217,US,-9.0000
178.503,US,-8.9000
178.790,ST,-8.8000
179.078,ST,-8.7000
179.363,US,-8.5000
179.651,US,-8.4000
179.939,ST,-8.4000
