t_s,status,mg
0.084,ST,-0.7
0.370,ST,-0.799999936
0.657,ST,-0.799999936
0.945,ST,-0.799999936
1.231,US,-1.3
1.517,US,-1.5
1.805,US,-1.5999999
2.092,US,-1.7
2.378,ST,-1.7
2.665,ST,-1.7
2.953,ST,-1.7
3.239,ST,-1.7
3.526,ST,-1.7
3.814,ST,-1.5999999
4.100,ST,-1.5999999
4.387,ST,-1.5999999
4.675,ST,-1.5999999
4.960,ST,-1.5999999
5.248,ST,-1.5999999
5.535,ST,-1.5999999
5.821,ST,-1.5999999
6.109,ST,-1.5999999
6.396,ST,-1.5999999
6.682,ST,-1.5999999
6.969,ST,-1.5999999
7.257,ST,-1.7
7.543,ST,-1.5999999
7.830,ST,-1.5999999
8.118,ST,-1.5999999
8.403,US,-1.1
8.690,ST,-1.1
8.978,ST,-1.1
9.263,ST,-1.2
9.551,ST,-1.3
9.838,ST,-1.3
10.124,ST,-1.4
10.411,ST,-1.4
10.699,US,-1.5999999
10.984,ST,-1.5999999
11.272,ST,-1.7
11.559,ST,-1.7
11.847,ST,-1.7
12.132,ST,-1.8
12.420,ST,-1.8
12.708,ST,-1.8
12.993,ST,-1.8
13.281,ST,-1.7
13.568,US,-1.3
13.854,US,-1.3
14.141,ST,-1.3
14.429,ST,-1.3
14.714,ST,-1.3
15.002,ST,-1.4
15.289,US,-1.5
15.575,US,-1.7
15.862,US,-1.7
16.150,ST,-1.8
16.435,ST,-1.9
16.723,ST,-1.9
17.010,ST,-1.9
17.296,ST,-2.0
17.584,ST,-2.0
17.871,US,-2.2
18.157,US,-2.3
18.444,ST,-2.4
18.732,ST,-2.5
19.017,US,-2.7
19.305,ST,-2.7
19.592,ST,-2.7
19.878,ST,-2.6
20.165,ST,-2.6
20.453,ST,-2.6
20.739,ST,-2.5
21.026,ST,-2.5
21.314,ST,-2.4
21.601,ST,-2.4
21.887,ST,-2.4
22.175,ST,-2.4
22.462,ST,-2.4
22.748,ST,-2.4
23.036,ST,-2.5
23.323,ST,-2.5
23.608,US,-2.8
23.895,US,-2.8
24.183,ST,-2.7
24.469,ST,-2.7
24.756,ST,-2.7
25.044,ST,-2.6
25.329,ST,-2.6
25.617,ST,-2.6
25.905,ST,-2.6
26.190,ST,-2.6
26.478,ST,-2.6
26.765,ST,-2.6
27.050,US,-3.0
27.338,ST,-3.1000002
27.625,ST,-3.1000002
27.911,ST,-3.0
28.199,US,-2.8999998
28.486,US,-2.8
28.772,US,-2.5
29.059,US,-2.4
29.347,ST,-2.4
29.632,ST,-2.3
29.920,ST,-2.3
30.207,ST,-2.3
30.493,ST,-2.4
30.780,ST,-2.5
31.068,ST,-2.5
31.356,ST,-2.5
31.641,US,-2.8999998
31.928,US,-3.0
32.216,US,-3.1000002
32.502,US,-3.3
32.789,US,-3.5
33.077,US,-3.6
33.362,US,-3.7
33.650,ST,-3.8
33.937,ST,-3.8
34.223,ST,-3.8
34.510,ST,-3.8
34.798,ST,-3.8999998
35.084,ST,-3.8999998
35.371,ST,-3.8999998
35.659,ST,-3.8
35.944,ST,-3.8
36.232,ST,-3.8
36.520,ST,-3.8
36.805,ST,-3.8
37.093,ST,-3.7
37.380,ST,-3.7
37.666,ST,-3.7
37.954,ST,-3.7
38.241,ST,-3.6
38.527,ST,-3.6
38.814,ST,-3.6
39.102,ST,-3.6
39.387,ST,-3.6
39.675,ST,-3.6
39.963,ST,-3.5
40.250,ST,-3.5
40.535,US,-3.0
40.822,US,-2.8999998
41.110,US,-2.8
41.395,ST,-2.8
41.683,ST,-2.7
41.971,ST,-2.7
42.256,ST,-2.8
42.544,ST,-2.8999998
42.831,ST,-2.8999998
43.117,ST,-3.0
43.404,US,-3.3
43.692,US,-3.4
43.977,US,-3.5
44.265,US,-3.6
44.552,US,-3.7
44.838,US,-3.8
45.125,ST,-3.8
45.413,ST,-3.7
45.699,ST,-3.7
45.986,ST,-3.7
46.274,ST,-3.8
46.559,ST,-3.8
46.847,ST,-3.8
47.135,ST,-3.8
47.420,ST,-3.8999998
47.708,ST,-3.8999998
47.995,ST,-3.8999998
48.282,ST,-3.8999998
48.568,ST,-3.8999998
48.856,ST,-3.8999998
49.143,ST,-3.8999998
49.430,ST,-4.0
49.716,US,-4.5
50.003,ST,-4.6
50.289,ST,-4.7
50.577,US,-4.9
50.864,US,-5.0
51.150,ST,-4.9
51.437,US,-4.8
51.725,US,-4.7
52.011,ST,-4.7
52.298,ST,-4.7
52.586,ST,-4.7
52.871,US,-4.5
53.158,ST,-4.5
53.446,ST,-4.5
53.732,ST,-4.6
54.019,ST,-4.6
54.307,ST,-4.6
54.592,ST,-4.6
