t_s,status,mg
0.109,ST,-6.9
0.397,ST,-6.9
0.683,ST,-6.9
0.970,ST,-6.9
1.258,ST,-6.8
1.543,ST,-6.8
1.831,ST,-6.8
2.118,ST,-6.8
2.404,ST,-6.7
2.691,US,-6.3999996
2.979,US,-6.3
3.264,US,-6.2000004
3.552,ST,-6.2000004
3.839,ST,-6.1
4.125,ST,-6.0
4.412,US,-5.9
4.700,US,-5.7000004
4.987,US,-5.6
5.273,US,-5.5
5.561,ST,-5.5
5.848,ST,-5.6
6.134,US,-5.7000004
6.421,US,-5.7999996
6.709,US,-5.9
6.994,US,-6.2000004
7.282,US,-6.3
7.569,ST,-6.3
7.855,ST,-6.3
8.142,ST,-6.3
8.430,ST,-6.2000004
8.716,ST,-6.2000004
9.003,ST,-6.1
9.291,ST,-6.1
9.576,ST,-6.1
9.864,ST,-6.0
10.151,ST,-6.0
10.437,US,-5.7000004
10.724,US,-5.6
11.012,ST,-5.5
11.297,ST,-5.4
11.585,US,-5.2999996
11.872,US,-5.2
12.158,ST,-5.1000004
12.446,US,-5.0
12.733,ST,-5.0
13.021,ST,-5.1000004
13.306,ST,-5.1000004
13.594,ST,-5.1000004
13.881,ST,-5.1000004
14.167,ST,-5.1000004
14.454,ST,-5.1000004
14.742,ST,-5.1000004
15.028,ST,-5.1000004
15.316,ST,-5.1000004
15.603,ST,-5.1000004
15.888,ST,-5.1000004
16.175,US,-5.6
16.463,US,-5.7000004
16.749,ST,-5.7999996
17.036,ST,-5.9
17.324,US,-6.0
17.609,US,-6.1
17.897,US,-6.2000004
18.184,US,-6.3
18.470,ST,-6.3
18.757,ST,-6.3
19.045,ST,-6.3
19.330,ST,-6.3
19.623,ST,-6.3
19.906,ST,-6.2000004
20.191,US,-5.6
20.479,US,-5.4
20.766,US,-5.2
21.054,US,-5.1000004
21.339,US,-5.0
21.627,ST,-5.0
21.914,US,-5.1000004
22.200,US,-5.2
22.487,ST,-5.2
22.775,ST,-5.2
23.061,ST,-5.2
23.348,ST,-5.2
23.636,ST,-5.2999996
23.921,ST,-5.2999996
24.209,ST,-5.2999996
24.496,US,-5.6
24.782,ST,-5.6
25.069,ST,-5.6
25.357,ST,-5.6
25.642,ST,-5.5
25.930,ST,-5.5
26.218,ST,-5.5
26.503,ST,-5.5
26.791,ST,-5.5
27.078,ST,-5.5
27.364,ST,-5.6
27.652,ST,-5.6
27.939,ST,-5.6
28.225,ST,-5.6
28.512,ST,-5.6
28.800,ST,-5.6
29.088,ST,-5.6
29.373,ST,-5.6
29.661,ST,-5.6
29.947,US,-5.2
30.233,US,-4.9
30.520,US,-4.8
30.808,US,-4.6
31.093,US,-4.4
31.381,US,-4.3
31.669,US,-4.2
31.954,ST,-4.1
