t_s,status,mg
0.027,ST,-2684.6
0.314,ST,-2684.6
0.600,ST,-2684.6
0.887,ST,-2684.6
1.175,ST,-2684.6
1.460,ST,-2684.6
1.748,ST,-2684.7
2.036,ST,-2684.7
2.323,ST,-2684.7
2.609,ST,-2684.7
2.896,ST,-2684.7
3.184,ST,-2684.7998
3.469,ST,-2684.7998
3.757,ST,-2684.7998
4.044,ST,-2684.7998
4.330,ST,-2684.7998
4.617,ST,-2684.9002
4.905,ST,-2684.9002
5.190,ST,-2684.9002
5.478,ST,-2684.9002
5.765,ST,-2684.9002
6.051,ST,-2684.9002
6.339,ST,-2684.9002
6.626,ST,-2684.9002
6.912,ST,-2684.9002
7.199,ST,-2684.9002
7.487,ST,-2684.9002
7.772,ST,-2684.9002
8.060,ST,-2684.9002
8.347,ST,-2684.9002
8.633,ST,-2684.9002
8.920,ST,-2684.9002
9.208,ST,-2684.9002
9.493,ST,-2684.9002
9.781,ST,-2684.9002
10.069,ST,-2684.9002
10.354,ST,-2684.9002
10.642,ST,-2684.9002
10.929,ST,-2685.0
11.215,ST,-2685.0
11.502,ST,-2684.9002
11.790,ST,-2684.9002
12.077,ST,-2684.9002
12.363,ST,-2684.9002
12.651,ST,-2684.9002
12.938,ST,-2684.9002
13.224,ST,-2684.9002
13.511,ST,-2684.7998
13.799,ST,-2684.7998
14.084,ST,-2684.7998
14.372,ST,-2684.7998
14.659,ST,-2684.7998
14.945,ST,-2684.7998
15.232,ST,-2684.7
15.520,ST,-2684.7
15.805,ST,-2684.7
16.093,ST,-2684.7
16.380,ST,-2684.7
16.666,ST,-2684.7
16.954,ST,-2684.7
17.241,ST,-2684.7
17.527,ST,-2684.7
17.814,ST,-2684.7
18.102,ST,-2684.7
18.387,ST,-2684.7
18.675,ST,-2684.7
18.962,ST,-2684.7
19.248,ST,-2684.7
19.535,ST,-2684.7998
19.824,ST,-2684.7998
20.109,ST,-2684.7998
20.396,ST,-2684.7998
20.683,ST,-2684.7998
20.971,ST,-2684.7998
21.257,ST,-2684.7998
21.544,ST,-2684.7998
21.832,ST,-2684.7998
22.117,ST,-2684.7998
22.405,ST,-2684.7998
22.692,ST,-2684.9002
22.978,ST,-2684.9002
23.265,ST,-2684.9002
23.553,ST,-2684.9002
23.839,ST,-2684.9002
24.126,ST,-2684.9002
24.414,ST,-2684.9002
24.699,ST,-2684.9002
24.987,ST,-2684.9002
25.274,ST,-2685.0
25.560,ST,-2685.0
25.847,ST,-2685.0
26.135,ST,-2685.0
26.420,ST,-2685.0
26.708,ST,-2685.0
26.995,ST,-2685.0
27.281,ST,-2685.0
27.568,ST,-2685.0
27.856,ST,-2685.0
28.141,ST,-2684.9002
28.429,ST,-2684.9002
28.717,ST,-2684.9002
29.002,ST,-2684.9002
29.290,ST,-2684.9002
29.577,ST,-2684.7998
29.863,ST,-2684.7998
30.150,ST,-2684.7998
30.438,ST,-2684.7998
30.725,ST,-2684.7
31.011,ST,-2684.7
31.298,ST,-2684.7
31.586,ST,-2684.7
31.872,ST,-2684.7
32.159,ST,-2684.7
32.447,ST,-2684.7
32.732,ST,-2684.7
33.020,ST,-2684.7
33.307,ST,-2684.7
33.593,ST,-2684.7998
33.880,ST,-2684.7998
34.168,ST,-2684.7998
34.454,ST,-2684.7998
34.741,ST,-2684.7998
35.028,ST,-2684.7998
35.314,ST,-2684.9002
35.602,ST,-2684.9002
35.889,ST,-2684.9002
36.175,ST,-2684.9002
36.462,ST,-2684.9002
36.750,ST,-2684.9002
37.035,ST,-2684.9002
37.323,ST,-2684.9002
37.610,ST,-2684.9002
37.896,ST,-2684.9002
38.184,ST,-2685.0
38.471,ST,-2685.0
38.756,ST,-2685.0
39.044,ST,-2685.0
39.332,ST,-2685.0
39.619,ST,-2684.9002
39.905,ST,-2684.9002
40.192,ST,-2684.9002
40.480,ST,-2684.9002
40.765,ST,-2684.9002
