t_s,status,mg
0.076,US,-4474.1
0.363,US,-4474.3
0.651,US,-4474.5
0.936,US,-4474.7
1.224,US,-4474.8004
1.511,US,-4474.9
1.797,US,-4475.0
2.084,ST,-4475.1
2.372,US,-4475.2
2.657,ST,-4475.2
2.945,ST,-4475.2
3.233,ST,-4475.2
3.518,ST,-4475.2
3.806,ST,-4475.2
4.093,ST,-4475.2
4.379,ST,-4475.3
4.666,US,-4475.6996
4.954,US,-4475.9004
5.241,US,-4476.2
5.527,US,-4476.5
5.814,US,-4476.8
6.102,US,-4477.1
6.388,US,-4477.4
6.675,US,-4477.7
6.962,US,-4477.8
7.248,ST,-4477.8
7.536,ST,-4477.7
7.823,US,-4477.5
8.109,US,-4477.3004
8.396,US,-4477.0
8.684,US,-4476.6996
8.969,US,-4476.6
9.257,US,-4476.5
9.544,ST,-4476.4
9.830,ST,-4476.4
10.117,ST,-4476.4
10.405,ST,-4476.4
10.691,ST,-4476.4
10.978,ST,-4476.4
11.266,ST,-4476.4
11.551,ST,-4476.4
11.839,ST,-4476.5
12.127,ST,-4476.5
12.412,ST,-4476.5
12.700,ST,-4476.5
12.987,US,-4476.9
13.272,US,-4477.1
13.560,US,-4477.2
13.847,US,-4477.4
14.135,US,-4477.5
14.420,US,-4477.6
14.708,US,-4477.7
14.996,US,-4477.8
15.281,ST,-4477.8
15.569,ST,-4477.8
15.856,ST,-4477.8
16.142,ST,-4477.7
16.430,ST,-4477.6
16.717,US,-4477.1
17.003,US,-4476.6996
17.290,US,-4476.4
17.578,US,-4476.0
17.863,US,-4475.5996
18.151,US,-4475.4
18.438,US,-4475.1
18.724,US,-4474.9
19.011,US,-4474.7
19.299,US,-4474.5996
19.584,ST,-4474.5
19.872,ST,-4474.5
20.159,ST,-4474.5996
20.445,US,-4474.8004
20.733,US,-4475.0
21.020,US,-4475.4
21.305,US,-4475.6996
21.593,US,-4476.1
21.881,US,-4476.4
22.168,US,-4476.6996
22.454,US,-4477.1
22.741,US,-4477.5
23.029,US,-4477.9
23.314,US,-4478.3004
23.602,US,-4478.6
23.889,US,-4478.8
24.175,US,-4479.0
24.462,US,-4479.1996
24.750,ST,-4479.1996
25.035,ST,-4479.1996
25.323,ST,-4479.1996
25.611,ST,-4479.1996
25.896,ST,-4479.3
26.184,ST,-4479.3
26.471,ST,-4479.3
26.757,ST,-4479.4004
27.045,ST,-4479.4004
27.332,US,-4479.7
27.617,ST,-4479.8004
27.905,ST,-4479.9
28.192,ST,-4480.0
28.478,ST,-4480.0
28.765,ST,-4480.1
29.053,US,-4480.1996
29.339,US,-4480.3
29.626,US,-4480.5
29.914,US,-4480.7
30.199,US,-4480.9
30.487,US,-4481.1
30.774,US,-4481.4
31.062,US,-4481.6996
31.347,US,-4482.1
31.635,US,-4482.4
31.923,US,-4482.8
32.208,US,-4483.1
32.496,US,-4483.3004
32.783,US,-4483.5
33.069,US,-4483.6
33.356,ST,-4483.6
33.644,ST,-4483.6
33.929,ST,-4483.5
34.217,US,-4483.4
34.504,US,-4483.3004
34.790,US,-4483.0
35.077,US,-4482.9
35.365,US,-4482.8
35.650,US,-4482.6996
35.938,US,-4482.6
36.226,US,-4482.5
36.511,ST,-4482.5
36.799,ST,-4482.4
