t_s,status,mg
0.090,US,-5995.2
0.377,US,-5995.4
0.663,US,-5995.6996
0.950,US,-5995.9004
1.238,US,-5996.2
1.525,US,-5996.5
1.811,US,-5996.8
2.099,US,-5997.1
2.386,US,-5997.3004
2.672,US,-5997.6
2.959,US,-5997.8
3.247,US,-5998.0
3.532,US,-5998.3004
3.820,US,-5998.5
4.107,US,-5998.7
4.393,US,-5999.0
4.680,US,-5999.1
4.968,US,-5999.1996
5.253,ST,-5999.1996
5.541,ST,-5999.1996
5.829,ST,-5999.1996
6.114,ST,-5999.1996
6.402,ST,-5999.1996
6.689,ST,-5999.1996
6.975,ST,-5999.1
7.262,ST,-5999.1
7.550,ST,-5999.1
7.836,ST,-5999.1
8.123,ST,-5999.1
8.411,ST,-5999.1996
8.696,US,-5999.9
8.983,US,-6000.4
9.271,US,-6001.0
9.558,US,-6001.5
9.844,US,-6002.1
10.132,US,-6002.5
10.419,US,-6002.8
10.705,US,-6003.0
10.992,US,-6003.2
11.280,US,-6003.3004
11.565,US,-6003.4
11.853,US,-6003.5
12.140,US,-6003.6
12.426,US,-6003.6996
12.714,US,-6003.9
13.001,US,-6004.0996
13.286,US,-6004.4
13.574,US,-6004.7
13.862,US,-6005.0
14.147,US,-6005.3
14.435,US,-6005.6
14.722,US,-6005.8
15.008,US,-6006.0
15.295,ST,-6006.0
15.583,ST,-6006.1
15.868,ST,-6006.1
16.156,ST,-6006.0
16.444,US,-6005.9
16.731,US,-6005.8
17.017,ST,-6005.8
17.304,US,-6005.6
17.592,US,-6005.4004
17.877,US,-6005.3
18.165,US,-6005.1996
18.452,ST,-6005.1996
18.738,ST,-6005.3
19.025,ST,-6005.3
19.313,ST,-6005.3
19.599,ST,-6005.4004
19.886,ST,-6005.5
20.173,US,-6005.7
20.459,ST,-6005.7
20.747,ST,-6005.7
21.034,ST,-6005.6
21.320,ST,-6005.6
21.607,ST,-6005.6
21.895,ST,-6005.5
22.180,ST,-6005.5
22.468,ST,-6005.6
22.756,ST,-6005.6
23.041,US,-6006.1
23.328,US,-6006.1996
23.616,ST,-6006.1
23.902,US,-6005.9
24.189,US,-6005.8
24.477,ST,-6005.7
24.764,US,-6005.1996
25.049,US,-6004.9
25.337,US,-6004.7
25.625,US,-6004.5
25.910,US,-6004.3004
26.198,US,-6004.0
26.485,US,-6003.8
26.771,US,-6003.5
27.058,US,-6003.3004
27.346,US,-6003.3004
27.631,ST,-6003.3004
27.919,ST,-6003.3004
28.207,ST,-6003.4
28.492,ST,-6003.5
28.780,ST,-6003.5
29.067,ST,-6003.5
29.353,ST,-6003.5
29.641,ST,-6003.5
29.928,ST,-6003.4
30.213,US,-6003.0
30.501,US,-6002.8
30.788,US,-6002.6
31.074,US,-6002.5
31.361,ST,-6002.5
31.649,ST,-6002.6
31.935,US,-6002.9
32.222,US,-6003.0
32.510,US,-6003.5
32.797,US,-6003.6996
33.083,US,-6003.9
33.370,ST,-6003.9
33.658,ST,-6003.9
33.943,US,-6003.6996
