t_s,status,mg
0.054,US,-5732.6
0.340,US,-5732.2
0.628,US,-5731.8004
0.915,US,-5731.4
1.201,US,-5731.0
1.488,US,-5730.6
1.776,US,-5730.1996
2.061,US,-5730.0
2.349,US,-5729.8004
2.636,ST,-5729.8004
2.922,ST,-5729.9
3.210,US,-5730.1
3.497,US,-5730.4
3.782,US,-5730.6
4.070,US,-5730.8004
4.358,US,-5731.0
4.643,US,-5731.1
4.931,US,-5731.3
5.218,US,-5731.5996
5.504,US,-5731.8004
5.791,US,-5732.2
6.079,US,-5732.6
6.364,US,-5732.9
6.652,US,-5733.0
6.939,ST,-5733.0
7.227,ST,-5733.0
7.512,ST,-5732.9
7.800,US,-5732.6996
8.088,US,-5732.6
8.373,US,-5732.5
8.661,ST,-5732.6
8.948,US,-5732.6996
9.234,US,-5732.8
9.521,US,-5733.3004
9.809,US,-5733.6
10.094,US,-5733.9
10.382,US,-5734.1
10.669,US,-5734.5
10.955,US,-5744.8004
11.242,US,-5746.8
11.530,US,-5746.8
11.815,US,-5751.8004
12.103,US,-5759.6996
12.390,US,-5762.8004
12.676,US,-5762.9
12.964,ST,-5762.9
13.251,US,-5763.1
13.537,US,-5763.3
13.824,US,-5763.6
14.112,US,-5763.9
14.397,US,-5764.2
14.685,US,-5764.4
14.972,US,-5764.6996
15.260,US,-5764.9004
15.546,ST,-5764.9004
15.833,ST,-5764.9004
16.121,ST,-5764.9004
16.406,ST,-5764.9004
16.694,US,-5765.1
16.981,US,-5765.3
17.267,US,-5765.6996
17.554,US,-5766.1
17.842,US,-5766.5
18.127,US,-5766.8
18.415,US,-5767.1
18.703,US,-5767.4
18.988,US,-5767.5
19.276,US,-5767.6
19.563,ST,-5767.7
19.849,US,-5767.9
20.136,US,-5768.0996
20.424,US,-5768.3004
20.709,US,-5768.4004
20.997,US,-5768.6
21.284,US,-5768.8
21.570,US,-5769.0
21.857,US,-5769.1
22.145,US,-5769.1996
22.430,ST,-5769.1996
22.718,ST,-5769.1996
23.006,ST,-5769.1996
23.293,ST,-5769.1996
23.579,ST,-5769.1996
23.866,ST,-5769.1996
24.154,ST,-5769.1996
24.440,ST,-5769.1996
24.727,ST,-5769.3
25.014,US,-5769.6
25.300,US,-5769.6
25.587,ST,-5769.6
25.875,ST,-5769.6
